run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices
3,24,complete,121,60,60,4.054,1448.135,12.846,7,7,14.057,6,3,0,2.52682,0,-0.51956,-8.4822,-0.226249,1.71713,2.52682,0.080245,48.16399999999999,13.670999999999992,1.8792,0,,0,1,66,132,66,67,62
3,25,complete,133,72,60,2.958,422.016,3.375,16,0.685,19.442,3,2,0.31849,0.99196,-0.049932,-0.14633,-1.49987,-0.21178,1.21569,1.14604,0.058671,28.77799999999999,9.115999999999985,1.23793,0,,0,1,85,170,85,88,80
3,26,complete,121,60,60,4.034,1163.861,2.725,11,3.988,-17.849,2,1,0,3.38726,0,0.58574,-7.62204,0.285509,1.0808,3.38726,0.110766,14.863,17.224999999999966,1.702737,0,,0,1,76,152,76,82,72
3,27,complete,121,60,60,4.88,2744.433,3.428,6,0,12.931,1,1,0,1.18752,0,-1.52179,-9.82163,-0.091947,2.16963,1.37789,0.062384,18.831999999999994,5.347000000000037,0.48394000000000004,0,,0,1,66,132,66,70,66
3,28,complete,120,59,60,3.352,665.675,2.082,3,1.995,-13.103,2,1,0,2.33756,0,0.70755,-8.65146,0.249407,1.99867,2.62412,0.319898,51.37700000000001,27.024,5.668399,11.79000000000002,,0,1,92,184,92,95,80
3,29,complete,125,64,60,4.632,1624.548,2.816,3,2.234,-9.616,2,2,-1.36932,-0.7679,0.013044,-1.17815,-3.5731,0.210667,1.36932,0.7679,0.02445,13.85899999999998,1.5120000000000005,0.20583799999999997,1.225999999999999,,0,1,83,166,83,91,70
3,30,complete,122,61,60,3.614,888.625,5.169,11,0,10.669,1,1,-1.09061,0.35124,-0.036352,-0.23211,-0.11401,0.02619,1.81153,2.18511,0.087149,48.09100000000001,23.017999999999972,1.745451,0,,0,1,61,122,61,63,64
3,31,complete,133,72,60,3.292,592.235,0.868,7,0,3.659,1,1,0.77056,-0.13815,0.038717,0.04582,-0.10528,-0.016065,0.87931,0.3645,0.051635,12.199999999999989,3.717999999999961,0.6038889999999999,0.8149999999999977,,0,1,58,116,58,65,67
3,32,complete,121,60,60,2.092,204.507,2.907,1,0.999,5.51,2,1,0,0.34024,0,-0.81177,-10.66909,-0.051291,1.63049,2.44446,0.094168,56.697,23.161,1.718849,0,,0,1,65,130,65,69,61
3,33,complete,126,65,60,4.174,3360.447,4.337,18,0,1.491,1,1,1.74485,-0.22161,0.099715,0.72567,-1.79115,-0.03296,2.13368,1.15929,0.099715,26.334000000000003,8.616999999999962,0.9472039999999999,8.084000000000003,,0,1,60,120,60,61,58
3,34,complete,121,60,60,5.678,3952.389,3.007,18,0,-17.849,1,1,0,3.11031,0,0.46272,-7.89881,0.17301,2.58241,3.11031,0.084107,40.01600000000002,6.603000000000009,1.3175400000000002,0,,0,1,74,148,74,79,73
3,35,complete,122,61,60,3.648,4219.988,2.161,14,0,6.927,1,1,0,0.49422,0,-0.61498,-10.72873,-0.07135,1.07881,1.10639,0.066675,9.972000000000008,5.93100000000004,0.551757,4.849000000000046,,0,1,38,76,38,38,48
3,36,complete,124,63,60,4.756,2213.019,1.122,5,5,14.42,4,4,0.35263,-0.45747,0.016728,0.2203,-5.66999,-0.227559,0.70312,0.57671,0.036266,4.513999999999982,3.0790000000000077,0.21916100000000005,0.9990000000000236,,0,1,63,126,63,63,48
3,37,complete,120,59,60,3.776,957.905,2.374,13,9,13.93,4,2,-0.29674,2.89698,0,-0.29674,-8.01698,-0.293561,1.30583,3.81279,0.289096,18.704000000000008,17.279999999999973,2.35964,0,,0,1,71,142,71,83,62
