run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx
3,1,1,239,241,3,11043;11046,195.000,195.387,0.387,473.151,472.610,-0.541,0.000000,-0.035208,-0.035208,0.539398,1.054512,0.515114,-0.110296,-0.011257,0.099040,-0.042315,-0.103435,-0.061121,1.010,3.000,0.898,1.054512,241,1.035,0.898,-0.011257,-1.054512,0.103435,241,1.054512,2.070319
3,1,2,286,291,6,10985;10986;10988,206.294,207.548,1.254,489.203,489.012,-0.192,-1.105096,-1.101356,0.003739,1.095418,0.811626,-0.283792,0.916612,0.505490,-0.411122,-0.026301,0.025353,0.051654,0.892,4.030,28.704,0.201918,286,4.023,28.704,-1.901414,-0.201918,0.061340,286,0.201918,0.553666
3,1,3,296,480,185,10986;11042,208.571,211.804,3.233,489.928,491.792,1.864,-1.069401,-1.007605,0.061795,0.830051,-0.000001,-0.830053,0.785557,-0.000000,-0.785557,0.026709,-0.000000,-0.026710,0.847,68.797,36.188,0.124601,308,1.381,36.074,-0.026245,0.124601,0.032878,305,0.124601,1.327561
3,2,1,239,240,2,11130;11131,195.000,195.139,0.139,476.913,476.373,-0.540,0.000000,-0.018280,-0.018280,0.581225,1.097615,0.516390,-0.245446,-0.322042,-0.076596,-0.076440,-0.173732,-0.097292,3.018,6.000,0.594,0.581225,239,6.000,0.594,-11.234424,-0.581225,0.097292,240,0.581225,1.097615
3,2,2,291,292,2,11050;11093,207.864,208.062,0.198,492.843,492.674,-0.169,-2.032427,-2.031927,0.000500,0.777940,0.692593,-0.085348,-0.004020,0.066829,0.070849,0.001968,0.011924,0.009956,0.896,39.804,26.091,0.131557,291,39.804,6.623,-2.911024,0.131557,0.145924,291,0.131557,0.216904
3,2,3,296,480,185,11093;11050,208.761,210.055,1.294,492.867,492.890,0.023,-2.019880,-2.024242,-0.004362,0.569759,0.000180,-0.569579,-0.042729,-0.002084,0.040645,0.005208,0.000007,-0.005201,0.900,39.810,12.517,0.114916,296,0.901,12.482,-0.320482,0.114916,0.010758,328,0.114916,1.416634
3,3,1,242,484,243,11221;11222;11217;11219,195.000,196.452,1.452,488.223,488.222,-0.001,0.000000,-0.038463,-0.038463,-0.220300,-0.000001,0.220300,3.032650,-0.000003,-3.032653,-0.251047,0.000000,0.251047,6.036,60.133,35.385,0.220300,242,8.000,15.312,-8.065860,0.220300,0.251047,242,0.220300,1.417856
3,4,1,240,480,241,11278;11277;11239;11267,195.000,232.989,37.989,476.030,498.869,22.839,0.000000,1.079026,1.079026,0.149516,0.000000,-0.149516,-0.044599,0.000000,0.044599,0.078716,0.000000,-0.078716,0.510,64.411,37.222,0.247426,394,64.411,5.858,-0.111634,0.247426,0.078716,240,0.247426,4.224201
3,5,1,239,240,2,11363;11364,195.000,194.933,-0.067,480.886,480.791,-0.095,0.000000,-0.065366,-0.065366,-0.264898,-0.389269,-0.124371,1.196556,1.262812,0.066257,-0.257320,-0.236997,0.020323,5.055,9.000,9.980,0.264898,239,9.000,8.374,-9.836445,0.264898,0.257320,239,0.264898,0.389269
3,5,2,251,252,2,11355,193.888,193.747,-0.141,484.899,485.004,0.105,-0.701491,-0.754679,-0.053188,-0.553548,-0.903839,-0.350292,0.337012,0.406556,0.069544,-0.209383,-0.150497,0.058886,2.871,2.937,4.252,0.350292,252,2.871,4.252,0.069544,0.350292,0.058886,252,0.350292,0.528867
3,5,3,288,480,193,11287;11288;11289;11313,186.153,185.484,-0.669,498.808,499.136,0.328,-2.019170,-1.989450,0.029719,-0.674742,-0.000000,0.674741,1.244219,0.000000,-1.244219,0.047086,-0.000000,-0.047086,5.466,40.309,24.738,0.151141,289,6.767,24.322,-0.042927,-0.151141,0.179049,288,0.151141,0.815001
