run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx
3,31,1,240,241,2,13311;13312,195.000,195.067,0.067,481.611,481.553,-0.058,0.000000,0.066172,0.066172,0.264515,0.381320,0.116806,0.972133,1.039248,0.067115,0.260493,0.186174,-0.074319,4.057,7.000,9.953,0.264515,240,7.000,6.863,-10.069287,-0.264515,0.260493,240,0.264515,0.381320
3,31,2,278,480,203,13284;13285;13268;13293,198.356,191.429,-6.926,501.870,503.510,1.639,1.671733,1.313921,-0.357813,0.777215,0.000000,-0.777215,-0.263574,0.000000,0.263574,0.030179,-0.000000,-0.030179,0.958,27.613,24.920,0.444133,278,6.964,3.679,-3.514053,-0.444133,0.132443,278,0.444133,4.641140
3,32,1,241,241,1,13379,195.000,195.000,0.000,482.991,482.991,0.000,0.000000,0.000000,0.000000,-0.138110,-0.138110,0.000000,1.174413,1.174413,0.000000,-0.333969,-0.333969,0.000000,1.000,1.000,3.859,0.138110,241,1.000,3.859,-9.875430,0.138110,0.333969,241,0.138110,0.138110
3,32,2,250,250,1,13374,194.693,194.693,0.000,486.353,486.353,0.000,-0.742303,-0.742303,0.000000,-0.260320,-0.260320,0.000000,1.523341,1.523341,0.000000,-0.291151,-0.291151,0.000000,2.150,2.150,5.552,0.126349,250,2.150,5.552,-0.170952,0.126349,0.032807,250,0.126349,0.126349
3,32,3,269,283,15,13315;13316;13317,193.501,198.430,4.929,495.725,490.065,-5.660,-2.075907,-2.271274,-0.195366,-0.210087,1.874454,2.084541,1.604707,-0.860366,-2.465073,-0.174105,-0.016991,0.157114,1.391,3.411,29.769,0.520188,270,3.411,28.059,-1.075745,-0.520188,0.098007,269,0.520188,2.293072
3,32,4,295,296,2,13315,203.918,204.366,0.448,488.870,488.867,-0.003,-2.321022,-2.321107,-0.000085,1.764029,1.701690,-0.062339,-0.034460,0.036505,0.070965,-0.000337,0.017953,0.018289,1.413,1.413,23.270,0.062339,296,1.413,23.267,0.070965,0.062339,0.018289,296,0.062339,0.097012
3,32,5,306,307,2,13315,208.517,208.927,0.410,489.915,490.104,0.188,-2.277313,-2.269860,0.007453,1.614005,1.557866,-0.056140,0.699343,0.767501,0.068158,0.029341,0.045035,0.015694,1.409,1.410,24.848,0.056140,307,1.409,24.848,0.068158,0.056140,0.015694,307,0.056140,0.087618
3,32,6,319,340,22,13315,213.488,221.015,7.527,493.648,504.687,11.039,-2.138004,-1.801189,0.336815,1.474588,1.316775,-0.157813,1.528410,2.732117,1.203707,0.053499,0.080558,0.027059,1.202,1.381,35.818,0.020320,319,1.381,28.605,0.043537,0.020320,0.010284,319,0.020320,0.217447
3,32,7,343,512,170,13369;13371;13372;13374;13315,222.015,223.416,1.401,506.134,506.338,0.205,-1.740032,-1.755419,-0.015387,1.229907,0.000013,-1.229894,2.325212,0.000001,-2.325211,0.000934,0.000000,-0.000934,0.983,69.227,29.956,0.213907,345,69.227,2.570,-1.942095,0.213907,0.079009,343,0.213907,1.370927
3,33,1,246,248,3,13438;13439;13440;13441,195.000,195.423,0.423,490.997,490.686,-0.311,0.000000,0.044801,0.044801,0.566359,1.294198,0.727839,0.313554,0.402494,0.088940,0.098263,0.070228,-0.028035,5.040,20.000,18.287,0.566359,246,20.000,12.437,-10.824760,-0.566359,0.098263,246,0.566359,1.294198
