run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx
3,26,1,242,243,2,12941;12942,195.000,195.048,0.048,484.059,484.810,0.751,0.000000,0.084702,0.084702,0.188711,0.283740,0.095030,3.786737,3.843086,0.056349,0.333442,0.320142,-0.013300,4.070,11.000,18.078,0.188711,242,11.000,16.504,-7.278252,-0.188711,0.333442,242,0.188711,0.283740
3,26,2,247,248,2,12930;12932;12934,195.335,195.533,0.198,487.887,487.571,-0.316,0.408137,0.442972,0.034835,0.781280,1.302020,0.520740,-1.270287,-1.194595,0.075692,0.137134,0.075877,-0.061257,3.568,4.862,4.500,0.520740,248,3.568,2.702,0.075692,-0.520740,0.179348,247,0.520740,1.021523
3,26,3,302,488,187,12928;12930;12903;12905;12906;12877,211.380,219.839,8.459,496.954,501.908,4.954,1.366495,1.671981,0.305486,1.197105,0.000000,-1.197105,1.944088,0.000000,-1.944088,0.069671,0.000000,-0.069671,0.986,42.189,27.203,0.344393,318,42.189,8.619,-0.110324,0.344393,0.092629,317,0.344393,3.333176
3,27,1,239,480,242,13010;12994,195.000,182.668,-12.332,480.810,486.925,6.115,0.000000,-0.355572,-0.355572,-0.116888,-0.000001,0.116888,1.769985,0.000000,-1.769985,-0.097896,-0.000000,0.097896,1.000,47.169,23.904,0.981904,245,1.078,13.977,-0.000542,0.981904,0.097896,239,0.981904,5.059959
3,28,1,242,243,2,13103;13104,195.000,195.048,0.048,481.460,481.617,0.158,0.000000,0.062522,0.062522,0.200953,0.289072,0.088119,2.972411,2.956962,-0.015449,0.261450,0.247134,-0.014316,2.059,3.000,12.725,0.200953,242,3.000,9.773,-8.063967,-0.200953,0.261450,242,0.200953,0.289072
3,28,2,245,248,4,13101,195.190,195.611,0.420,483.124,482.521,-0.603,0.184173,0.238839,0.054666,0.366732,0.803155,0.436423,-0.416081,-0.454975,-0.038894,0.103746,0.028494,-0.075252,2.149,2.180,11.098,0.191643,246,2.165,10.113,-0.184878,-0.191643,0.142498,245,0.191643,0.515123
3,28,3,252,488,237,13101;13021;13023;13025;13071;13072,196.422,240.250,43.828,482.256,497.276,15.020,0.267626,1.461870,1.194244,0.816404,0.308517,-0.507887,-0.209245,-0.119416,0.089829,0.021190,0.004692,-0.016498,0.993,64.726,31.941,0.255765,479,64.726,0.537,-2.147840,0.255765,0.064525,479,0.255765,3.473484
3,29,1,242,244,3,13188;13189,195.000,194.822,-0.178,482.499,482.708,0.209,0.000000,-0.075973,-0.075973,-0.244518,-0.750650,-0.506132,1.739575,1.368864,-0.370711,-0.168341,-0.135238,0.033103,2.039,3.000,11.756,0.253963,243,2.039,10.401,-0.300554,0.253963,0.168341,242,0.253963,0.750650
3,29,2,253,255,3,13186,193.176,192.687,-0.489,486.489,487.359,0.870,-0.372655,-0.433052,-0.060397,-0.846591,-1.417444,-0.570853,1.717399,1.400825,-0.316574,-0.127176,-0.104292,0.022884,1.295,1.327,15.652,0.339270,255,1.327,15.652,-0.217892,0.339270,0.016592,254,0.339270,0.688801
3,29,3,265,484,220,13169;13170;13159;13152;13149;13134;13131;13111,189.229,145.803,-43.426,491.524,493.907,2.383,-0.687464,-2.183895,-1.496432,-1.707381,-0.036770,1.670610,0.169424,-0.037103,-0.206527,-0.082277,-0.000910,0.081367,0.651,33.834,25.248,0.427656,285,21.949,0.642,-1.360250,-0.427656,0.029020,402,0.427656,5.709747
3,30,1,238,239,2,13251;13252,195.000,194.931,-0.069,478.793,478.557,-0.235,0.000000,-0.042100,-0.042100,-0.272782,-0.548479,-0.275697,0.280187,0.349949,0.069762,-0.165734,-0.124351,0.041383,5.038,11.000,9.658,0.275697,239,5.038,9.658,0.069762,0.275697,0.165734,238,0.275697,0.548479
3,30,2,285,528,244,13232;13231;13217;13218;13219;13220;13221;13222,189.154,185.705,-3.449,499.881,502.392,2.511,-1.351872,-1.573078,-0.221206,-0.595715,0.000000,0.595715,1.501684,0.000000,-1.501684,-0.143660,-0.000000,0.143660,0.968,28.000,12.902,0.783354,294,27.997,0.019,-1.764891,-0.783354,0.041705,294,0.783354,6.448973
