run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,solver_delta_angular_velocity,correction_delta_angular_velocity,total_delta_angular_velocity,decomposition_residual,decomposition_consistent,observed_delta_angular_velocity,observed_vs_event_residual,observed_vs_total_residual,observed_consistent,start_pre_angular_velocity,start_solver_delta_angular_velocity,start_correction_delta_angular_velocity,start_total_delta_angular_velocity,sum_solver_delta_angular_including_start,sum_correction_delta_angular_including_start,sum_total_delta_angular_including_start,inclusive_decomposition_residual,inclusive_consistent,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
1,31,1,240,242,3,2305;2316,195.000,195.149,0.149,481.610,481.906,0.297,0.000000,0.106563,0.106563,0.234639,0.486671,0.252032,1.090775,1.186513,0.095738,0.270473,0.133905,-0.136568,0.215426,-0.081522,0.133905,0.270473,0,-0.136568,0.000000,-0.270473,0,0.000000,0.312376,-0.041903,0.270473,0.527802,-0.123425,0.404377,0.270473,0,4.059,7.000,11.514,0.234639,240,7.000,6.863,-9.952324,-0.234639,0.270473,240,0.234639,0.486671,2
1,31,2,273,284,12,2313;2339;2352;2353;2356,198.692,201.488,2.797,498.869,502.990,4.121,1.081360,1.403363,0.322003,0.478866,0.928625,0.449759,2.978377,-0.541236,-3.519614,0.127541,0.074722,-0.052820,-0.045704,-0.007116,-0.052820,0.000000,1,-0.052820,0.000000,0.000000,1,0.119685,0.007856,0.000000,0.007856,-0.037848,-0.007116,-0.044964,0.000000,1,0.946,30.577,23.823,0.489899,281,30.577,2.183,-2.547377,0.489899,0.052089,281,0.489899,2.268581,8
1,31,3,289,544,256,2352;2356;2338;2339,202.604,198.421,-4.183,502.605,503.518,0.913,1.493162,1.315271,-0.177891,0.983534,0.000000,-0.983534,-0.232218,0.000000,0.232218,0.065326,-0.000000,-0.065326,-0.065326,0.000000,-0.065326,0.000000,1,-0.065326,0.000000,0.000000,1,0.073652,-0.008325,0.000000,-0.008325,-0.073652,0.000000,-0.073652,0.000000,1,0.958,27.612,24.912,0.288132,295,7.000,5.439,-0.294595,0.288132,0.036331,419,0.288132,4.390134,15
1,32,1,243,243,1,2366,195.000,195.000,0.000,482.991,482.991,0.000,0.000000,0.000000,0.000000,-0.138110,-0.138110,0.000000,1.175585,1.175585,0.000000,-0.312393,-0.312393,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,1,0.000000,-0.334318,0.021925,-0.312393,-0.334318,0.021925,-0.312393,0.000000,1,1.000,1.000,3.859,0.138110,243,1.000,3.859,-9.884361,0.138110,0.312393,243,0.138110,0.138110,1
1,32,2,252,252,1,2364,194.697,194.697,0.000,486.130,486.130,0.000,-0.685322,-0.685322,0.000000,-0.298650,-0.298650,0.000000,0.882933,0.882933,0.000000,-0.272550,-0.272550,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,1,-0.303234,0.032057,-0.001372,0.030685,0.032057,-0.001372,0.030685,0.000000,1,2.181,2.181,3.628,0.164588,252,2.181,3.628,-0.801094,0.164588,0.030685,252,0.164588,0.164588,1
1,32,3,274,448,175,2359;2360;2364;2371;2376;2388,193.126,204.810,11.684,494.461,506.337,11.876,-2.118863,-1.755648,0.363215,-0.240986,-0.000013,0.240973,1.250548,-0.000002,-1.250550,-0.163350,-0.000000,0.163349,0.496686,-0.333337,0.163349,-0.000000,1,0.163349,-0.000000,0.000000,1,-0.251929,0.295265,-0.206686,0.088580,0.791952,-0.540023,0.251929,0.000000,1,0.983,69.218,36.476,0.191758,276,2.210,26.834,-0.537356,-0.191758,0.088580,274,0.191758,3.036367,9
1,33,1,245,724,480,2430;2435;2434;2439;2483;2485,195.000,206.566,11.566,489.996,495.710,5.715,0.000000,0.464815,0.464815,0.104074,-0.000002,-0.104077,2.531465,-0.000001,-2.531466,0.072485,-0.000000,-0.072485,0.083307,-0.047846,0.035461,0.107946,0,-0.072485,0.000000,-0.107946,0,0.000000,0.173964,-0.101479,0.072485,0.257271,-0.149325,0.107946,0.107946,0,0.423,32.186,27.287,1.082185,249,5.061,19.193,-0.054961,-1.082185,0.072485,245,1.082185,7.275319,28
1,34,1,241,242,2,2490;2492;2493;2495;2502,195.000,195.185,0.185,486.096,485.791,-0.305,0.000000,0.042048,0.042048,0.727932,1.315564,0.587632,0.027228,0.097957,0.070729,0.165528,0.135087,-0.030441,-0.030441,0.000000,-0.030441,0.000000,1,-0.030441,0.000000,0.000000,1,0.000000,0.165528,0.000000,0.165528,0.135087,0.000000,0.135087,0.000000,1,17.069,20.000,11.113,0.727932,241,20.000,10.145,-11.056220,-0.727932,0.165528,241,0.727932,1.315564,2
1,34,2,269,608,340,2551;2554;2555;2498,203.614,247.153,43.540,492.284,487.897,-4.387,0.907532,2.202441,1.294910,1.198598,0.000000,-1.198598,-0.870892,-0.000000,0.870892,0.098832,-0.000000,-0.098832,-0.115051,0.016219,-0.098832,0.000000,1,-0.098832,0.000000,0.000000,1,0.122497,-0.078882,0.055217,-0.023665,-0.193933,0.071436,-0.122497,-0.000000,1,0.788,38.818,24.298,0.189214,383,38.814,5.697,-0.849582,0.189214,0.024345,383,0.189214,5.309253,15
1,35,1,250,251,2,2565;2569,195.000,194.739,-0.261,503.759,503.354,-0.405,0.000000,-0.014825,-0.014825,-1.091583,-1.088540,0.003043,-0.041758,0.025059,0.066817,-0.061992,-0.061753,0.000240,0.000240,0.000000,0.000240,0.000000,1,0.000240,0.000000,0.000000,1,0.000000,-0.061992,0.000000,-0.061992,-0.061753,0.000000,-0.061753,0.000000,1,5.014,14.000,9.043,1.091583,250,14.000,6.288,-11.297327,1.091583,0.061992,250,1.091583,1.094625,2
