run,piece,event_index,change_index,substep,reason,part_ids,contact_width_px,contact_offset_px,vx_before,vx_after,delta_vx,vy_before,vy_after,delta_vy,angular_before,angular_after,delta_angular,solver_delta_angular,correction_delta_angular,total_delta_angular,delta_vn,delta_vt,x,angle,cumulative_delta_x,cumulative_delta_angle,contact_points,support_count
1,6,1,1,241,START,428,11.000,10.578,0.000000,0.120286,0.120286,11.002562,1.180509,-9.822053,0.000000,0.225923,0.225923,0.225923,0.000000,0.225923,-9.822053,-0.120286,195.000,0.000000,0.000,0.000000,2,2
1,6,1,2,242,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,416,2.111,14.573,0.120286,0.234063,0.113777,1.180509,-1.578044,-2.758552,0.225923,0.186820,-0.039103,-0.130342,0.091240,-0.039103,-2.758552,-0.113777,195.031,0.057390,0.031,0.057390,2,2
1,6,1,3,243,RESPONSE,416,2.198,12.595,0.234063,0.473841,0.239778,-1.578044,-1.934550,-0.356506,0.186820,0.167304,-0.019516,-0.046449,0.026933,-0.019516,-0.356506,-0.239778,195.090,0.104847,0.090,0.104847,2,2
1,6,1,4,244,RESPONSE,416,2.272,10.799,0.473841,0.718036,0.244195,-1.934550,-1.856317,0.078233,0.167304,0.150749,-0.016555,-0.030963,0.014408,-0.016555,0.078233,-0.244195,195.210,0.147346,0.210,0.147346,1,2
1,6,2,1,309,START,429;437;444;446,8.531,15.900,0.564402,0.320257,-0.244146,2.503163,-0.007167,-2.510330,0.118494,0.000630,-0.117864,-0.117864,0.000000,-0.117864,-2.510330,0.244146,205.558,2.319693,0.000,0.000000,4,8
1,6,2,2,310,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,444;446,2.878,13.067,0.320257,0.257750,-0.062506,-0.007167,-0.034364,-0.027197,0.000630,0.003090,0.002460,0.002460,0.000000,0.002460,-0.027197,0.062506,205.639,2.319853,0.081,0.000160,2,4
1,6,2,3,342,PART_CHANGE+WIDTH_CHANGE,446,1.485,12.896,-0.335794,-0.348424,-0.012630,0.124250,0.154635,0.030385,-0.011070,-0.011135,-0.000065,-0.000065,0.000000,-0.000065,0.030385,0.012630,205.025,2.304932,-0.533,-0.014761,1,2
1,6,2,4,386,PART_CHANGE+WIDTH_CHANGE,446;447,3.126,21.043,-1.043314,-1.090429,-0.047115,0.816208,0.779960,-0.036248,-0.037306,-0.038373,-0.001068,-0.001068,0.000000,-0.001068,-0.036248,0.047115,197.418,2.043164,-8.139,-0.276529,2,4
1,6,2,5,391,PART_CHANGE+WIDTH_CHANGE,447,0.911,21.380,-1.199835,-1.226593,-0.026758,0.838536,0.870572,0.032036,-0.038767,-0.038099,0.000668,0.000668,0.000000,0.000668,0.032036,0.026758,195.977,1.996148,-9.580,-0.323545,1,2
1,6,2,6,400,PART_CHANGE+WIDTH_CHANGE,447;449,4.108,22.566,-1.308635,-1.372259,-0.063624,1.106588,1.034331,-0.072257,-0.045757,-0.048274,-0.002517,-0.002517,0.000000,-0.002517,-0.072257,0.063624,193.160,1.902040,-12.397,-0.417653,2,4
1,6,2,7,401,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,447;449;459,10.123,19.906,-1.372259,-1.433610,-0.061351,1.034331,0.948155,-0.086176,-0.048274,-0.050851,-0.002577,-0.002577,0.000000,-0.002577,-0.086176,0.061351,192.812,1.889777,-12.746,-0.429916,3,6
1,6,2,8,402,PART_CHANGE+WIDTH_CHANGE,449;459,6.976,18.679,-1.433610,-1.441009,-0.007399,0.948155,0.981439,0.033284,-0.050851,-0.051464,-0.000614,-0.000614,0.000000,-0.000614,0.033284,0.007399,192.447,1.876860,-13.110,-0.442833,2,4
1,6,2,9,403,PART_CHANGE+WIDTH_CHANGE,459,3.830,17.454,-1.441009,-1.450129,-0.009120,0.981439,1.014450,0.033011,-0.051464,-0.051987,-0.000522,-0.000522,0.000000,-0.000522,0.033011,0.009120,192.081,1.863787,-13.476,-0.455907,1,2
1,6,2,10,406,PART_CHANGE+WIDTH_CHANGE,459;460,7.028,16.949,-1.465211,-1.535324,-0.070113,1.083698,0.932960,-0.150738,-0.053195,-0.057273,-0.004078,-0.004078,0.000000,-0.004078,-0.150738,0.070113,190.970,1.823731,-14.587,-0.495963,2,4
1,6,2,11,407,PART_CHANGE+WIDTH_CHANGE,460,2.915,15.271,-1.535324,-1.530076,0.005249,0.932960,0.961394,0.028434,-0.057273,-0.058842,-0.001569,-0.001569,0.000000,-0.001569,0.028434,-0.005249,190.580,1.809182,-14.977,-0.510511,1,2
1,6,2,12,425,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,412;413;460,62.072,7.427,-1.586942,-1.445970,0.140972,1.504923,-0.006286,-1.511209,-0.074476,-0.000459,0.074017,0.074017,0.000000,0.074017,-1.511209,-0.140972,183.656,1.520851,-21.902,-0.798842,5,6
1,6,2,13,426,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,412;413,2.048,37.437,-1.445970,-1.302328,0.143642,-0.006286,-0.013903,-0.007617,-0.000459,-0.000666,-0.000206,-0.000206,0.000000,-0.000206,-0.007617,-0.143642,183.289,1.520735,-22.269,-0.798959,4,4
1,6,2,14,427,RESPONSE,412;413,2.048,37.434,-1.302328,-1.124840,0.177488,-0.013903,-0.037121,-0.023219,-0.000666,-0.001276,-0.000610,-0.000610,0.000000,-0.000610,-0.023219,-0.177488,182.958,1.520566,-22.600,-0.799128,3,4
1,6,2,15,428,RESPONSE,412;413,2.048,37.427,-1.124840,-0.875246,0.249594,-0.037121,-0.093949,-0.056827,-0.001276,-0.002795,-0.001520,-0.001520,0.000000,-0.001520,-0.056827,-0.249594,182.672,1.520242,-22.886,-0.799452,3,4
1,6,2,16,429,RESPONSE,412;413,2.049,37.412,-0.875246,-0.597172,0.278074,-0.093949,-0.170387,-0.076439,-0.002795,-0.004507,-0.001712,-0.001712,0.000000,-0.001712,-0.076439,-0.278074,182.463,1.519573,-23.095,-0.800120,3,4
1,6,2,17,430,RESPONSE,412;413,2.050,37.389,-0.597172,-0.430086,0.167086,-0.170387,-0.192966,-0.022579,-0.004507,-0.005114,-0.000607,-0.000607,0.000000,-0.000607,-0.022579,-0.167086,182.320,1.518495,-23.238,-0.801198,3,4
1,6,2,18,451,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,412;413;460,62.065,7.789,0.318258,0.209856,-0.108402,0.563104,-0.000529,-0.563634,0.014935,0.000612,-0.014323,-0.014323,0.000000,-0.014323,-0.563634,0.108402,182.593,1.538310,-22.965,-0.781383,5,6
1,6,2,19,452,PART_CHANGE+RESPONSE,412;460,62.065,7.793,0.209856,0.052516,-0.157340,-0.000529,-0.052698,-0.052168,0.000612,0.002416,0.001804,0.001804,0.000000,0.001804,-0.052168,0.157340,182.646,1.538466,-22.911,-0.781228,3,4
1,6,2,20,453,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,460,2.998,21.727,0.052516,0.026538,-0.025978,-0.052698,-0.022965,0.029732,0.002416,0.001597,-0.000819,-0.000819,0.000000,-0.000819,0.029732,0.025978,182.660,1.539079,-22.898,-0.780614,1,2
1,6,2,21,459,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,412;413;460,62.066,7.760,-0.094034,-0.010815,0.083218,0.089545,-0.005338,-0.094883,-0.004422,-0.000092,0.004330,0.004330,0.000000,0.004330,-0.094883,-0.083218,182.611,1.536869,-22.947,-0.782825,4,6
1,7,1,1,240,START,477;483,4.000,13.103,0.000000,0.209599,0.209599,10.995795,2.833906,-8.161889,0.000000,0.144990,0.144990,0.250395,-0.105405,0.144990,-8.161889,-0.209599,195.000,0.000000,0.000,0.000000,4,4
1,7,1,2,241,PART_CHANGE+WIDTH_CHANGE,477,2.035,14.688,0.209599,0.325619,0.116020,2.833906,2.204913,-0.628993,0.000000,0.046737,0.046737,0.155790,-0.109053,0.046737,-0.628993,-0.116020,195.053,0.036831,0.053,0.036831,2,2
1,7,1,3,242,RESPONSE,477,2.046,15.195,0.325619,0.555127,0.229508,2.204913,1.035787,-1.169126,0.046737,0.066578,0.019841,0.019841,0.000000,0.019841,-1.169126,-0.229508,195.136,0.048703,0.136,0.048703,2,2
