run,piece,transition_index,previous_event_index,next_event_index,previous_end_substep,next_start_substep,gap_substeps,previous_duration_substeps,next_duration_substeps,previous_end_x,next_start_x,delta_x_during_gap,previous_end_y,next_start_y,delta_y_during_gap,previous_end_angle,next_start_angle,delta_angle_during_gap,previous_end_vx,next_start_vx,delta_vx_across_gap,previous_end_vy,next_start_vy,delta_vy_across_gap,previous_end_angular_velocity,next_start_angular_velocity,delta_angular_across_gap,next_start_contact_width_px,next_start_contact_offset_px,previous_max_abs_delta_vx,previous_max_abs_delta_angular,previous_max_delta_vt,loop_class,angular_persistence,linear_persistence
1,1,1,1,2,243,281,37,3,3,195.452,207.689,12.238,472.613,484.487,11.875,-0.043129,-1.301728,-1.258600,1.379551,0.952818,-0.426733,-0.018581,-0.026417,-0.007836,-0.141880,-0.031413,0.110467,5.086,22.533,0.643864,0.071209,0.643864,MIXED_RECONTACT_LOOP,0,0
1,1,2,2,3,283,295,11,3,242,208.162,210.625,2.462,483.818,483.843,0.025,-1.313075,-1.311738,0.001337,0.840952,0.761291,-0.079661,-0.301660,0.318644,0.620305,0.000457,0.015006,0.014549,0.967,21.332,0.246790,0.091961,0.246790,ANGULAR_RECONTACT_LOOP,1,0
1,2,1,1,2,241,286,44,3,2,195.440,204.739,9.300,476.309,490.722,14.413,-0.056078,-1.245559,-1.189481,0.900177,0.235197,-0.664980,-0.235333,-0.151689,0.083643,-0.115138,0.017526,0.132664,2.534,6.034,0.900177,0.115138,0.900177,MIXED_RECONTACT_LOOP,0,0
1,2,2,2,3,287,295,7,2,186,204.799,205.132,0.333,490.594,490.912,0.318,-1.241107,-1.189041,0.052066,0.167300,0.263826,0.096526,-0.080276,0.166528,0.246804,0.026156,0.021765,-0.004390,1.673,7.210,0.527878,0.115128,0.527878,ANGULAR_RECONTACT_LOOP,1,0
1,5,1,1,2,240,251,10,2,1,194.933,193.891,-1.042,480.790,484.875,4.085,-0.065285,-0.704497,-0.639212,-0.388284,-0.552313,-0.164029,1.108581,0.361234,-0.747347,-0.238147,-0.210014,0.028133,2.933,2.509,0.263885,0.257003,0.263885,ANGULAR_RECONTACT_LOOP,1,0
1,5,2,2,3,251,281,29,1,200,193.891,189.995,-3.895,484.875,494.687,9.812,-0.704497,-2.185674,-1.481176,-0.552313,-0.302779,0.249535,0.361234,0.370735,0.009501,-0.210014,-0.096331,0.113683,3.604,24.365,0.178290,0.019386,0.178290,RECONTACT,0,0
