piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices
1,falling,0,1.0,,195.000,97.029,0.00000,0.55000,0.55000,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,1,5.0,,195.000,97.218,0.00000,0.63086,0.63086,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,2,16.0,,195.000,97.752,0.00000,0.80795,0.80795,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,3,32.0,,195.000,98.772,0.00000,1.06298,1.06298,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,4,49.0,,195.000,100.129,0.00000,1.33005,1.33005,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,5,66.0,,195.000,101.754,0.00000,1.59303,1.59303,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,6,82.0,,195.000,103.517,0.00000,1.83676,1.83676,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,7,99.0,,195.000,105.651,0.00000,2.09199,2.09199,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,8,116.0,,195.000,108.041,0.00000,2.34332,2.34332,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,9,133.0,,195.000,110.514,0.00000,2.57624,2.57624,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,10,149.0,,195.000,113.391,0.00000,2.82016,2.82016,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,11,166.0,,195.000,116.512,0.00000,3.06034,3.06034,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,12,183.0,,195.000,119.664,0.00000,3.28294,3.28294,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,13,199.0,,195.000,123.250,0.00000,3.51604,3.51604,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,14,216.0,,195.000,127.071,0.00000,3.74558,3.74558,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,15,233.0,,195.000,130.871,0.00000,3.95831,3.95831,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,16,249.0,,195.000,135.135,0.00000,4.18108,4.18108,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,17,266.0,,195.000,139.624,0.00000,4.40044,4.40044,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,18,283.0,,195.000,144.043,0.00000,4.60374,4.60374,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,19,299.0,,195.000,148.956,0.00000,4.81664,4.81664,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,20,316.0,,195.000,154.083,0.00000,5.02628,5.02628,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,21,333.0,,195.000,159.095,0.00000,5.22057,5.22057,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
