piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices
1,falling,32,527.0,,195.000,233.819,0.00000,7.36602,7.36602,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,33,544.0,,195.000,241.507,0.00000,7.53665,7.53665,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,34,561.0,,195.000,248.894,0.00000,7.69479,7.69479,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,35,577.0,,195.000,256.911,0.00000,7.86039,7.86039,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,36,594.0,,195.000,265.095,0.00000,8.02346,8.02346,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,37,611.0,,195.000,272.943,0.00000,8.17459,8.17459,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,38,627.0,,195.000,281.442,0.00000,8.33285,8.33285,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,39,644.0,,195.000,290.101,0.00000,8.48869,8.48869,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,40,661.0,,195.000,298.389,0.00000,8.63312,8.63312,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,41,677.0,,195.000,307.349,0.00000,8.78437,8.78437,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,42,694.0,,195.000,316.461,0.00000,8.93330,8.93330,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,43,711.0,,195.000,325.169,0.00000,9.07133,9.07133,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,44,727.0,,195.000,334.569,0.00000,9.21587,9.21587,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,45,744.0,,195.000,344.115,0.00000,9.35820,9.35820,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,46,761.0,,195.000,353.225,0.00000,9.49011,9.49011,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,47,777.0,,195.000,363.046,0.00000,9.62824,9.62824,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,48,794.0,,195.000,373.006,0.00000,9.76427,9.76427,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,49,810.0,,195.000,382.500,0.00000,9.89033,9.89033,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,50,827.0,,195.000,392.723,0.00000,10.02234,10.02234,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,51,844.0,,195.000,403.079,0.00000,10.15233,10.15233,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
