piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices
1,falling,0,0.0,,195.000,97.029,0.00000,0.55000,0.55000,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,1,10.0,,195.000,97.456,0.00000,0.71172,0.71172,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,2,14.0,,195.000,97.593,0.00000,0.75980,0.75980,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,3,30.0,,195.000,98.645,0.00000,1.03150,1.03150,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,4,47.0,,195.000,99.970,0.00000,1.29905,1.29905,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,5,64.0,,195.000,101.455,0.00000,1.54702,1.54702,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,6,80.0,,195.000,103.298,0.00000,1.80668,1.80668,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,7,97.0,,195.000,105.402,0.00000,2.06237,2.06237,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,8,113.0,,195.000,107.609,0.00000,2.29934,2.29934,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,9,130.0,,195.000,110.207,0.00000,2.54749,2.54749,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,10,147.0,,195.000,113.055,0.00000,2.79185,2.79185,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,11,163.0,,195.000,115.953,0.00000,3.01831,3.01831,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,12,180.0,,195.000,119.273,0.00000,3.25547,3.25547,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,13,197.0,,195.000,122.832,0.00000,3.48899,3.48899,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,14,213.0,,195.000,126.389,0.00000,3.70542,3.70542,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,15,230.0,,195.000,130.400,0.00000,3.93206,3.93206,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,16,247.0,,195.000,134.638,0.00000,4.15523,4.15523,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
