piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices
1,falling,0,1.0,,195.000,97.029,0.00000,0.55000,0.55000,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,1,14.0,,195.000,97.565,0.00000,0.74406,0.74406,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,2,24.0,,195.000,98.172,0.00000,0.92003,0.92003,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,3,40.0,,195.000,99.298,0.00000,1.17345,1.17345,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,4,57.0,,195.000,100.766,0.00000,1.43883,1.43883,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,5,74.0,,195.000,102.500,0.00000,1.70014,1.70014,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,6,90.0,,195.000,104.365,0.00000,1.94233,1.94233,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,7,107.0,,195.000,106.605,0.00000,2.19594,2.19594,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,8,124.0,,195.000,109.099,0.00000,2.44568,2.44568,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,9,140.0,,195.000,111.669,0.00000,2.67713,2.67713,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,10,157.0,,195.000,114.647,0.00000,2.91950,2.91950,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,11,174.0,,195.000,117.666,0.00000,3.14413,3.14413,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,12,190.0,,195.000,121.113,0.00000,3.37936,3.37936,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,13,207.0,,195.000,124.796,0.00000,3.61099,3.61099,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,14,224.0,,195.000,128.468,0.00000,3.82565,3.82565,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,15,240.0,,195.000,132.600,0.00000,4.05045,4.05045,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,16,257.0,,195.000,136.957,0.00000,4.27182,4.27182,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,17,274.0,,195.000,141.537,0.00000,4.48979,4.48979,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,18,291.0,,195.000,146.041,0.00000,4.69180,4.69180,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,19,307.0,,195.000,151.042,0.00000,4.90335,4.90335,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,20,324.0,,195.000,155.938,0.00000,5.09941,5.09941,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,21,341.0,,195.000,161.348,0.00000,5.30472,5.30472,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,22,357.0,,195.000,166.966,0.00000,5.50689,5.50689,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
