run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,bottom_width_1px,bottom_width_2px,bottom_width_4px,bottom_width_8px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,max_speed,max_angular_velocity,min_angle,max_angle,angle_range,min_x,max_x,x_range,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices
1,1,complete,119,58,60,4.348,1775.255,7.415,3,3,11,12,12,3,-0.787,4,2,10.8428,0.059869,-0.460468,0.087223,0.5476909999999999,193.726,198.328,4.602000000000004,,0,1,88,176,88,91,83
1,2,complete,119,58,60,4.144,971.803,3.723,6,6,6,7,10,7,-1.094,6,3,10.91925,0.101136,-0.78025,0,0.78025,178.639,199.982,21.34299999999999,,0,1,83,166,83,90,76
1,3,complete,120,59,60,6.218,2680.781,8.535,8,8,60,61,61,61,-10.188,12,6,11.01502,0.019953,-0.038377,0.037975,0.076352,191.018,195.282,4.26400000000001,,0,1,89,178,89,93,68
1,4,complete,120,59,60,2.636,378.793,10.821,9,9,10,11,11,11,-3.944,14,7,10.92498,0.364411,-4.077852,0,4.077852,195,243.289,48.28899999999999,,0,0,54,108,54,54,62
1,5,complete,120,59,60,4.202,918.333,0.519,9,9,11,12,16,9,8.374,4,2,10.92562,0.101701,-0.671479,0.047747,0.719226,182.059,195,12.941000000000003,,0,1,84,168,84,91,85
1,6,complete,120,59,60,4.956,1754.612,4.805,35,35,35,37,39,37,1.422,16,8,10.92571,0.106815,-0.332072,0.204184,0.536256,193.992,216.178,22.186000000000007,,0,1,63,126,63,66,67
1,7,complete,119,58,60,4.74,1831.832,2.853,4,4,5,7,12,5,-12.603,6,3,10.89843,0.035645,0,0.387678,0.387678,187.65,202.934,15.283999999999992,,0,1,102,204,102,107,84
1,8,complete,120,59,60,5.508,2566.696,2.475,5,5,6,10,22,6,-24.468,6,3,10.92545,0.06941,0,0.694609,0.694609,195,208.797,13.796999999999997,,0,0,68,136,68,69,57
1,9,complete,119,58,60,5.038,2670.843,2.201,5,5,7,9,37,7,-33.175,6,3,10.91925,0.024453,0,0.613374,0.613374,195,213.964,18.964,,0,1,78,156,78,82,79
1,10,complete,121,60,60,6.51,5147.624,3.157,50,50,52,53,55,68,-3.823,38,19,11.06246,0.009735,-0.023433,0.011775,0.035208,194.456,196.165,1.7090000000000032,,0,1,97,194,97,102,84
1,11,complete,121,60,60,7.92,8547.864,7.191,25,25,28,31,47,49,2.504,28,14,11.04208,0.002555,-0.017444,0,0.017444,194.86,195.458,0.5979999999999848,,0,1,78,156,78,80,67
1,12,complete,121,60,60,3.718,2601.283,4.837,6,6,8,11,15,6,-17.727,4,2,11.03479,0.023842,0,0.348301,0.348301,195,208.455,13.455000000000013,,0,1,65,130,65,66,71
1,13,complete,122,61,60,4.536,3981.248,4.575,14,14,25,41,75,48,12.891,22,11,11.14846,0.016059,-0.025646,0,0.025646,193.025,195,1.9749999999999943,,0,1,57,114,57,60,65
1,14,complete,121,60,60,7.566,7101.376,6.276,25,25,30,43,64,65,-7.096,24,12,11.07599,0.002797,0,0.018385,0.018385,194.375,195.3,0.9250000000000114,,0,1,71,142,71,80,78
1,15,complete,120,59,60,5.814,3593.304,4.465,13,13,13,15,25,30,8.756,18,9,11.03552,0.020536,-0.422762,0.001292,0.42405400000000004,181.882,195,13.117999999999995,,0,1,55,110,55,55,49
1,16,complete,122,61,60,3.306,3597.108,6.323,12,12,15,21,23,21,6.308,10,5,11.14901,0.007938,-0.217369,0,0.217369,189.276,195,5.7239999999999895,,0,1,49,98,49,49,48
1,17,complete,122,61,60,5.48,5629.969,2.731,19,19,25,42,47,49,4.747,30,15,11.15532,0.005363,-0.116383,0,0.116383,191.204,195,3.7959999999999923,,0,1,58,116,58,59,60
1,18,complete,119,58,60,3.562,630.087,1.933,18,18,18,19,21,18,-2.896,4,2,10.88455,0.108541,-0.127508,1.396122,1.52363,194.653,204.592,9.939000000000021,,0,1,86,172,86,97,82
1,19,complete,120,59,60,4.006,1049.179,2.425,8,8,9,11,12,10,9.332,8,4,10.92579,0.044516,-0.779184,0,0.779184,178.43,195,16.569999999999993,,0,1,72,144,72,73,59
1,20,complete,120,59,60,4.246,1052.603,1.069,5,5,5,6,27,27,-9.141,20,10,10.99452,0.074748,-0.109112,0.334849,0.443961,195,221.233,26.233000000000004,,0,1,122,244,122,127,82
1,21,complete,120,59,60,8.592,8519.244,3.325,59,59,59,60,60,60,1.692,18,9,11.02184,0,0,0,0,195,195.001,0.0010000000000047748,,0,1,50,100,50,50,44
1,22,complete,121,60,60,3.966,1328.128,2.502,5,5,6,6,15,15,-2.468,14,7,11.04134,0.031765,-0.496336,0.122133,0.618469,188.104,195.811,7.706999999999994,,0,1,67,134,67,70,54
1,23,complete,122,61,60,3.404,1817.289,0.999,56,56,57,57,57,71,-1.598,36,18,11.14833,0.006908,-0.016755,0.002748,0.019503,193.834,195.042,1.2079999999999984,,0,1,71,142,71,78,70
1,24,complete,121,60,60,4.054,1448.135,12.846,7,7,9,11,26,13,13.057,20,10,11.04065,0.034071,-0.380359,0,0.380359,175.116,195,19.883999999999986,,0,1,66,132,66,67,62
1,25,complete,120,59,60,2.958,422.016,3.375,16,16,16,16,17,16,-4.436,14,7,10.92516,0.149411,-2.245902,0.243475,2.489377,195,267.732,72.73200000000003,,0,0,85,170,85,88,80
1,26,complete,121,60,60,4.034,1163.861,2.725,11,11,14,17,23,43,-3.504,24,12,11.04771,0.049921,-0.015594,0.363331,0.378925,194.9,211.424,16.524,,0,1,76,152,76,82,72
1,27,complete,120,59,60,4.88,2744.433,3.428,6,6,9,12,12,6,13.294,6,3,10.9245,0.02401,-0.329199,0,0.329199,168.088,195,26.912000000000006,,0,1,66,132,66,70,66
1,28,complete,120,59,60,3.352,665.675,2.082,3,3,4,5,30,30,3.727,26,13,11.00819,0.061801,-0.278701,0.027311,0.30601199999999995,195,236.218,41.21799999999999,,0,1,92,184,92,95,80
1,29,complete,120,59,60,4.632,1624.548,2.816,3,3,12,16,22,19,4.358,22,11,11.00819,0.043724,-0.482475,0.022565,0.5050399999999999,177.059,195,17.941000000000003,,0,1,83,166,83,91,70
1,30,complete,120,59,60,3.614,888.625,5.169,11,11,11,12,12,11,6.887,4,2,10.9245,0.074611,-0.01678,0.969313,0.986093,179.647,195,15.353000000000009,,0,1,61,122,61,63,64
1,31,complete,120,59,60,3.292,592.235,0.868,7,7,9,10,20,4,-7.363,2,1,10.92473,0.045695,-0.874037,0.073027,0.9470639999999999,190.77,205.962,15.191999999999979,,0,1,58,116,58,65,67
1,32,complete,121,60,60,2.092,204.507,2.907,1,1,2,3,4,25,-7.141,12,6,11.0411,0.114087,0,2.036557,2.036557,190.773,199.641,8.867999999999995,,0,1,65,130,65,69,61
1,33,complete,121,60,60,4.174,3360.447,4.337,18,18,20,22,23,20,-12.437,8,4,11.04065,0.012528,0,0.42117,0.42117,195,211.119,16.119,,0,1,60,120,60,61,58
1,34,complete,121,60,60,5.678,3952.389,3.007,18,18,20,29,38,35,-5.645,24,12,11.04067,0.031416,0,0.270646,0.270646,195,213.419,18.41900000000001,,0,1,74,148,74,79,73
1,35,complete,122,61,60,3.648,4219.988,2.161,14,14,18,47,60,14,6.288,4,2,11.14901,0.00945,-0.141907,0,0.141907,191.616,195,3.383999999999986,,0,1,38,76,38,38,48
1,36,complete,120,59,60,4.756,2213.019,1.122,5,5,5,13,18,21,-13.524,22,11,11.01502,0.028605,-0.122543,0.295987,0.41853,195,217.483,22.483000000000004,,0,1,63,126,63,63,48
1,37,complete,120,59,60,3.776,957.905,2.374,13,13,14,23,27,27,8.93,26,13,11.00132,0.057201,-0.576787,0,0.576787,149.722,195,45.27799999999999,,0,0,71,142,71,83,62
