run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_span_from_com_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_com_distance_px,landing_contact_asymmetry_px
3,1,complete,120,59,60,4.348,1775.255,7.415,3,1,-0.853,2,1,0.13374,0.00133,0.005298,0.13374,-10.88512,0.005298,1.28453,0.51512,0.028487,29.974999999999994,4.757999999999981,0.509235,0,,0,1,88,176,88,91,83,-1.353,-0.353,1.353,1.570796,-0.852966,0.853,0.853
3,2,complete,120,59,60,4.144,971.803,3.723,6,3,-1.094,2,1,0.20439,0,0.010455,0.20439,-10.89969,0.010455,1.97688,1.66412,0.071168,43.566,16.642999999999972,1.019847,0.0020000000000095497,,0,1,83,166,83,90,76,-2.594,0.406,2.594,1.570796,-1.093629,1.094,1.094
3,3,complete,121,60,60,6.218,2680.781,8.535,8,7,15.812,2,1,-0.15973,3.25951,0,-0.15973,-7.74984,-0.260655,0.31873,3.25951,0.014532,0.8669999999999902,0.9230000000000018,0.062387,0.4119999999999777,,0,1,89,178,89,93,68,12.312,19.312,19.312,1.570796,15.811837,15.812,15.812
3,4,complete,120,59,60,2.636,378.793,10.821,9,5,-1.944,2,1,0.20813,0,0,0.20813,-10.93028,0.06039,1.72219,2.56595,0.069405,40.95599999999999,22.833000000000027,1.112983,0,,0,1,54,108,54,54,62,-4.444,0.556,4.444,1.570796,-1.943854,1.944,1.944
3,5,complete,121,60,60,4.202,918.333,0.519,9,0,7.776,1,1,0,0.51619,0,-1.28665,-10.49282,-0.061231,1.90259,1.4598,0.082994,64.39100000000002,18.303999999999974,1.96206,0,,0,1,84,168,84,91,85,7.776,7.776,7.776,1.570796,7.775997,7.776,7.776
3,6,complete,120,59,60,4.956,1754.612,4.805,35,35,0.422,10,5,0,0,0,-0.66598,-11.99982,0.161249,1.41146,3.14988,0.115387,22.824000000000012,29.224999999999966,1.945902,9.160999999999945,,0,1,63,126,63,66,67,-17.078,17.922,17.922,1.570796,0.421711,0.422,0.422
3,7,complete,122,61,60,4.74,1831.832,2.853,4,0,15.461,1,1,0.88343,-0.62543,0.032527,0.06585,-3.1546,-0.145847,1.04264,0.62543,0.032527,16.021000000000015,3.1989999999999554,0.31193200000000004,2.5819999999999936,,0,1,102,204,102,107,84,15.461,15.461,15.461,1.570796,15.461144,15.461,15.461
3,8,complete,123,62,60,5.508,2566.696,2.475,5,0,10.432,1,1,1.11557,-0.63411,0.0177,0.66515,-6.52312,-0.216201,1.11557,0.63411,0.027838,11.593999999999994,2.2369999999999663,0.406276,1.7549999999999955,,0,1,68,136,68,69,57,10.432,10.432,10.432,1.570796,10.431576,10.432,10.432
3,9,complete,120,59,60,5.038,2670.843,2.201,5,5,-32.175,4,2,0.18247,6.96112,0,0.18247,-3.96651,0.230051,1.80506,7.13694,0.282238,44.31,11.262,2.241478,0,,0,1,78,156,78,82,79,-34.675,-29.675,34.675,1.570796,-32.174672,32.175,32.175
3,10,complete,121,60,60,6.51,5147.624,3.157,50,0,-18.516,1,1,0,0,0,-0.58773,-12.56277,-0.068332,1.13844,1.20157,0.067293,21.09299999999999,7.283999999999992,0.578916,6.47199999999998,,0,1,97,194,97,102,84,-18.516,-18.516,18.516,1.570796,-18.51587,18.516,18.516
