run,piece,transition_index,previous_event_index,next_event_index,previous_end_substep,next_start_substep,gap_substeps,previous_duration_substeps,next_duration_substeps,previous_end_x,next_start_x,delta_x_during_gap,previous_end_y,next_start_y,delta_y_during_gap,previous_end_angle,next_start_angle,delta_angle_during_gap,previous_end_vx,next_start_vx,delta_vx_across_gap,previous_end_vy,next_start_vy,delta_vy_across_gap,previous_end_angular_velocity,next_start_angular_velocity,delta_angular_across_gap,next_start_contact_width_px,next_start_contact_offset_px,previous_max_abs_delta_vx,previous_max_abs_delta_angular,previous_max_delta_vt,loop_class,angular_persistence,linear_persistence
3,31,1,1,2,242,269,26,1,244,195.000,195.783,0.783,481.111,499.065,17.954,0.000000,1.911542,1.911542,0.122231,0.081894,-0.040337,1.822248,1.070832,-0.751416,0.298358,0.176248,-0.122110,0.943,23.662,0.122231,0.298358,0.122231,RECONTACT,0,0
3,32,1,1,2,241,250,8,1,1,195.000,194.693,-0.307,482.991,486.351,3.359,0.000000,-0.741787,-0.741787,-0.138110,-0.260508,-0.122398,1.173632,1.517682,0.344050,-0.333737,-0.291031,0.042706,2.150,5.534,0.138110,0.333737,0.138110,ANGULAR_RECONTACT_LOOP,1,0
3,32,2,2,3,250,269,18,1,15,194.693,193.500,-1.193,486.351,495.757,9.406,-0.741787,-2.074839,-1.333053,-0.260508,-0.210315,0.050194,1.517682,1.601396,0.083714,-0.291031,-0.174075,0.116955,2.234,29.795,0.126538,0.032702,0.126538,RECONTACT,0,1
3,32,3,3,4,283,295,11,15,2,198.409,203.868,5.460,490.117,488.961,-1.156,-2.269180,-2.317090,-0.047910,1.864695,1.754954,-0.109741,-0.849507,-0.023761,0.825746,-0.016363,0.000115,0.016478,1.413,23.393,0.519295,0.097925,0.519295,ANGULAR_RECONTACT_LOOP,1,0
3,32,4,4,5,296,306,9,2,2,204.314,208.445,4.130,488.962,490.030,1.068,-2.317061,-2.272714,0.044347,1.693165,1.606042,-0.087122,0.047163,0.709258,0.662095,0.018179,0.029564,0.011384,1.409,24.761,0.061789,0.018065,0.061789,RECONTACT,1,0
3,32,5,5,6,307,319,11,2,22,208.853,213.392,4.539,490.220,493.784,3.564,-2.265204,-2.133329,0.131875,1.550428,1.468217,-0.082210,0.777378,1.537077,0.759699,0.045041,0.053536,0.008494,1.379,28.730,0.055615,0.015477,0.055615,RECONTACT,1,0
3,32,6,6,7,340,342,1,22,171,220.878,221.540,0.662,504.879,506.302,1.423,-1.795891,-1.754881,0.041010,1.306486,1.276588,-0.029898,2.742176,2.293577,-0.448599,0.080875,0.032114,-0.048760,0.983,28.698,0.020427,0.010315,0.020427,RECONTACT,1,0
3,34,1,1,2,241,264,22,1,4,195.000,197.306,2.306,485.562,490.921,5.358,0.000000,0.994027,0.994027,0.419841,0.634918,0.215077,0.215026,-1.488609,-1.703634,0.180941,0.138731,-0.042210,1.676,18.060,0.419841,0.180941,0.419841,ANGULAR_RECONTACT_LOOP,1,0
3,34,2,2,3,267,303,35,4,202,198.114,212.223,14.109,489.100,485.930,-3.171,1.091428,1.952591,0.861163,1.679177,1.645752,-0.033424,-1.684556,0.291907,1.976463,0.102494,0.083378,-0.019116,1.856,4.382,0.506617,0.027881,0.506617,RECONTACT,1,0
3,35,1,1,2,249,270,20,2,219,194.748,189.545,-5.202,503.358,504.704,1.347,-0.015158,-0.273141,-0.257983,-1.035314,-0.279916,0.755399,-0.143053,-0.497806,-0.354753,-0.051341,-0.016931,0.034410,33.511,12.918,1.035314,0.059673,1.035314,ANGULAR_RECONTACT_LOOP,1,0
