run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
3,16,1,247,488,242,12127;12132;12128;12140;12148,195.000,191.915,-3.085,499.745,502.258,2.512,0.000000,-0.219843,-0.219843,-0.122210,0.000000,0.122210,1.127816,0.000000,-1.127816,-0.095452,0.000000,0.095452,0.213,58.032,40.523,0.310718,260,53.595,17.467,-1.462397,-0.310718,0.095452,247,0.310718,3.903439,17
3,17,1,245,246,2,12174;12182,195.000,194.922,-0.078,494.579,494.177,-0.401,0.000000,-0.017960,-0.017960,-0.307786,-0.626534,-0.318748,0.020348,0.091103,0.070756,-0.070704,-0.062086,0.008618,5.017,19.000,9.747,0.318748,246,5.017,8.220,0.070756,0.318748,0.070704,245,0.318748,0.626534,2
3,17,2,254,496,243,12175;12174,193.702,195.250,1.548,494.731,494.685,-0.045,-0.138854,-0.093316,0.045539,-0.677005,0.656313,1.333317,-0.611175,-0.192723,0.418452,-0.041407,0.024917,0.066323,0.361,29.270,12.150,0.100702,492,29.270,1.245,-0.699022,0.100702,0.019091,254,0.100702,2.045535,5
3,18,1,241,241,1,12246;12260,195.000,195.000,0.000,478.438,478.438,0.000,0.000000,0.000000,0.000000,0.277050,0.277050,0.000000,-1.245923,-1.245923,0.000000,0.191755,0.191755,0.000000,18.000,18.000,2.896,0.277050,241,18.000,2.896,-12.248480,-0.277050,0.191755,241,0.277050,0.277050,1
3,18,2,298,540,243,12242;12261;12273;12276;12280;12241;12244;12269;12237;12270;12262;12239;12253;12260;12268;12277,198.551,173.044,-25.506,488.427,499.630,11.204,2.457430,1.432624,-1.024806,-0.036015,0.100644,0.136659,0.624436,0.004591,-0.619845,-0.037276,0.004353,0.041628,0.645,39.558,31.726,0.343360,299,5.502,17.865,-0.391171,0.343360,0.192590,298,0.343360,6.356910,31
3,19,1,239,239,1,12335,195.000,195.000,0.000,479.359,479.359,0.000,0.000000,0.000000,0.000000,-0.110734,-0.110734,0.000000,2.312799,2.312799,0.000000,-0.290411,-0.290411,0.000000,7.000,7.000,10.832,0.110734,239,7.000,10.832,-8.693138,0.110734,0.290411,239,0.110734,0.110734,1
3,19,2,265,508,244,12362;12390;12387;12382,194.315,196.332,2.017,499.261,501.890,2.629,-1.797647,-1.649303,0.148344,-0.068293,0.000076,0.068370,1.100995,-0.000024,-1.101020,-0.007182,-0.000002,0.007180,0.990,28.284,27.326,0.134042,278,28.284,16.727,-0.896564,-0.134042,0.257173,265,0.134042,4.351358,20
3,20,1,241,242,2,12428;12440,195.000,194.783,-0.217,479.465,478.907,-0.559,0.000000,0.020063,0.020063,-0.854875,-1.483616,-0.628742,-0.268225,-0.478620,-0.210395,0.078981,0.183089,0.104109,4.019,5.000,1.859,0.854875,241,5.000,1.859,-11.284329,0.854875,0.104109,242,0.854875,1.483616,2
3,20,2,287,294,8,12457;12462;12467;12470;12475;12486;12511;12514;12515,177.262,174.105,-3.157,493.959,496.547,2.587,2.182302,2.050564,-0.131738,-1.306802,0.295718,1.602520,1.070862,-0.700089,-1.770951,-0.048408,-0.173774,-0.125366,0.887,32.646,26.236,1.266070,293,17.882,4.077,-0.543638,-1.266070,0.200037,287,1.266070,1.764806,7
3,20,3,319,320,2,12473;12474;12480;12494;12503;12504,175.750,175.656,-0.094,496.964,496.696,-0.268,1.083936,1.084195,0.000259,-0.392816,0.184309,0.577125,-0.830793,-0.930410,-0.099617,0.001085,-0.031338,-0.032423,3.119,7.590,12.987,0.664748,319,7.590,12.987,-1.676539,0.664748,0.160882,319,0.664748,1.241873,2
3,20,4,332,528,197,12440;12480;12503;12451;12492;12500;12512;12514,176.196,190.280,14.085,494.933,497.509,2.577,0.992442,1.525983,0.533541,0.144748,-0.319658,-0.464407,-0.227582,-0.040784,0.186798,-0.023055,-0.010718,0.012336,0.856,21.948,31.795,0.188244,519,11.000,1.562,-0.023881,-0.188244,0.016003,519,0.188244,3.863879,19
