run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,solver_delta_angular_velocity,correction_delta_angular_velocity,total_delta_angular_velocity,decomposition_residual,decomposition_consistent,observed_delta_angular_velocity,observed_vs_event_residual,observed_vs_total_residual,observed_consistent,start_pre_angular_velocity,start_solver_delta_angular_velocity,start_correction_delta_angular_velocity,start_total_delta_angular_velocity,sum_solver_delta_angular_including_start,sum_correction_delta_angular_including_start,sum_total_delta_angular_including_start,inclusive_decomposition_residual,inclusive_consistent,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
1,16,1,247,248,2,1171;1176,195.000,194.924,-0.076,500.247,500.033,-0.214,0.000000,-0.028340,-0.028340,-0.299375,-0.591971,-0.292596,0.545596,0.614342,0.068746,-0.111564,-0.105491,0.006072,0.006072,0.000000,0.006072,0.000000,1,0.006072,0.000000,0.000000,1,0.000000,-0.111564,0.000000,-0.111564,-0.105491,0.000000,-0.105491,0.000000,1,6.026,12.000,13.392,0.299375,247,12.000,10.808,-10.674023,0.299375,0.111564,247,0.299375,0.591971,2
1,16,2,256,504,249,1172;1184;1192;1176;1171,193.771,194.080,0.308,501.747,502.278,0.532,-0.233753,-0.218366,0.015388,-0.525636,0.000000,0.525636,-1.109295,0.000000,1.109295,-0.027158,0.000000,0.027158,0.027158,0.000000,0.027158,0.000000,1,0.027158,0.000000,0.000000,1,-0.102792,0.075634,0.000000,0.075634,0.102792,0.000000,0.102792,0.000000,1,0.211,50.440,41.164,0.222375,387,50.440,16.065,-0.382106,-0.222375,0.075634,256,0.222375,2.723198,21
1,17,1,244,245,2,1218;1226,195.000,194.926,-0.074,494.579,494.170,-0.409,0.000000,-0.016905,-0.016905,-0.307786,-0.616610,-0.308824,0.020345,0.086938,0.066593,-0.070692,-0.052286,0.018406,-0.062349,0.010063,-0.052286,-0.070692,0,0.018406,0.000000,0.070692,0,0.000000,-0.070692,0.000000,-0.070692,-0.133041,0.010063,-0.122978,-0.070692,0,5.016,19.000,9.747,0.308824,245,5.016,8.193,0.066593,0.308824,0.070692,244,0.308824,0.616610,2
1,17,2,252,800,549,1218;1219,193.869,193.605,-0.265,494.790,494.927,0.137,-0.106535,-0.127233,-0.020697,-0.708291,-0.000006,0.708284,0.399832,-0.000002,-0.399834,-0.049470,-0.000000,0.049469,0.049469,0.000000,0.049469,-0.000000,1,0.049469,-0.000000,0.000000,1,-0.051132,0.001662,0.000000,0.001662,0.051132,0.000000,0.051132,-0.000000,1,0.362,29.274,12.168,0.114635,556,29.272,1.122,-0.404519,-0.114635,0.015958,254,0.114635,5.607907,16
1,18,1,240,240,1,1290;1304,195.000,195.000,0.000,478.438,478.438,0.000,0.000000,0.000000,0.000000,0.277050,0.277050,0.000000,-1.245692,-1.245692,0.000000,0.191717,0.191717,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,1,0.000000,0.191717,0.000000,0.191717,0.191717,0.000000,0.191717,0.000000,1,18.000,18.000,2.896,0.277050,240,18.000,2.896,-12.246563,-0.277050,0.191717,240,0.277050,0.277050,1
1,18,2,297,624,328,1305;1317;1320;1324;1285;1288;1313;1281;1314;1306;1283;1297;1312;1321,198.544,167.111,-31.433,488.340,499.883,11.543,2.452323,1.207608,-1.244715,-0.018910,-0.000008,0.018902,0.499620,-0.000004,-0.499624,0.028710,0.000000,-0.028710,-0.039267,0.010557,-0.028710,0.000000,1,-0.028710,0.000000,0.000000,1,0.155388,-0.184427,0.057749,-0.126678,-0.223694,0.068305,-0.155388,0.000000,1,0.631,34.174,28.583,0.301475,362,21.531,18.481,-1.007887,0.301475,0.126678,297,0.301475,6.445496,31
1,19,1,240,241,2,1379;1386,195.000,194.939,-0.061,479.859,480.048,0.189,0.000000,-0.074864,-0.074864,-0.240705,-0.368440,-0.127735,1.932459,1.995900,0.063442,-0.294712,-0.244163,0.050550,-0.273444,0.029281,-0.244163,-0.294712,0,0.050550,0.000000,0.294712,0,0.000000,-0.294712,0.000000,-0.294712,-0.568156,0.029281,-0.538875,-0.294712,0,7.055,8.000,13.880,0.240705,240,8.000,10.332,-9.088722,0.240705,0.294712,240,0.240705,0.368440,2
1,19,2,270,532,263,1406;1434;1431,192.414,194.456,2.041,500.736,501.891,1.154,-1.747777,-1.650008,0.097769,-0.303488,0.000045,0.303533,1.389912,-0.000013,-1.389926,0.008827,0.000001,-0.008827,-0.004805,-0.004022,-0.008827,0.000000,1,-0.008827,0.000000,0.000000,1,-0.219766,0.265395,-0.036802,0.228593,0.260590,-0.040824,0.219766,-0.000000,1,0.990,28.284,27.165,0.387776,274,28.284,16.659,-1.039881,-0.387776,0.228593,270,0.387776,3.891330,14
1,20,1,241,242,2,1472;1484,195.000,194.783,-0.217,479.465,478.907,-0.559,0.000000,0.020063,0.020063,-0.854879,-1.483625,-0.628746,-0.268228,-0.478622,-0.210394,0.078981,0.183091,0.104109,0.104109,0.000000,0.104109,0.000000,1,0.104109,0.000000,0.000000,1,0.000000,0.078981,0.000000,0.078981,0.183091,0.000000,0.183091,0.000000,1,4.019,5.000,1.859,0.854879,241,5.000,1.859,-11.284352,0.854879,0.104109,242,0.854879,1.483625,2
1,20,2,294,732,439,1511;1514;1519;1555;1559;1558;1556;1544;1536;1495;1547;1524,177.308,161.083,-16.225,493.892,497.670,3.778,2.176604,1.569283,-0.607321,-1.232199,-0.007356,1.224843,1.017084,-0.007323,-1.024406,0.002267,-0.000568,-0.002835,-0.012833,0.009998,-0.002835,0.000000,1,-0.002835,0.000000,0.000000,1,0.151165,-0.196205,0.047307,-0.148898,-0.209038,0.057306,-0.151733,0.000000,1,0.884,28.174,26.468,0.219844,295,6.070,23.126,-0.117101,-0.219844,0.148898,294,0.219844,8.346224,34
