run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
1,26,1,242,244,3,3919;3920,195.000,195.109,0.109,483.559,485.643,2.085,0.000000,0.133958,0.133958,0.148451,0.348710,0.200260,5.664715,4.764524,-0.900191,0.250329,0.264726,0.014397,4.000,4.098,19.807,0.148451,242,4.000,15.004,-5.386813,-0.148451,0.250329,242,0.148451,0.348710,3
1,26,2,247,484,238,3896;3899;3900;3903;3904;3920,195.374,193.041,-2.333,488.488,488.378,-0.110,0.334928,0.270619,-0.064309,0.631145,0.008248,-0.622897,-0.212295,0.004488,0.216783,-0.006374,-0.000861,0.005513,1.231,34.205,24.230,0.304877,249,1.268,5.362,-0.073477,-0.304877,0.269079,247,0.304877,4.165375,10
1,27,1,239,248,10,4053;4054,195.000,192.000,-3.000,480.812,481.925,1.113,0.000000,-0.091973,-0.091973,-0.263108,-1.330922,-1.067813,2.230559,0.354606,-1.875953,-0.123519,-0.036881,0.086639,1.000,1.088,14.396,1.587322,245,1.073,13.761,0.066340,1.587322,0.123519,239,1.587322,4.647395,5
1,27,2,250,480,231,4053;4054;4021;4022,191.326,182.159,-9.167,482.194,486.928,4.734,-0.110675,-0.356950,-0.246275,-1.326795,0.000952,1.327747,0.478435,-0.000309,-0.478743,-0.036556,0.000078,0.036634,1.104,47.167,23.908,0.276605,276,2.224,21.362,-0.210003,-0.276605,0.043021,275,0.276605,4.445764,7
1,28,1,239,240,2,4237;4238;4239;4240,195.000,195.099,0.099,481.461,482.001,0.540,0.000000,0.086684,0.086684,0.391037,0.534323,0.143286,3.984270,3.965038,-0.019232,0.341242,0.324116,-0.017127,2.079,3.000,13.659,0.391037,239,3.000,9.773,-7.055485,-0.391037,0.341242,239,0.391037,0.534323,2
1,28,2,242,244,3,4230;4233;4234,195.370,195.368,-0.002,482.897,481.862,-1.034,0.251036,0.314608,0.063572,0.035639,0.008881,-0.026758,-1.014332,-1.043575,-0.029243,0.119186,0.114828,-0.004358,2.199,4.123,7.865,0.496640,242,4.123,7.865,-5.035038,0.496640,0.203690,242,0.496640,0.630268,2
1,28,3,296,480,185,4073;4074;4077;4078;4172;4173;4174;4175;4176;4225;4226;4229;4230;4233;4234,195.472,188.922,-6.550,491.714,497.900,6.185,1.664290,1.440970,-0.223320,-0.037994,0.000002,0.037995,1.591677,-0.000000,-1.591677,0.048462,0.000000,-0.048462,0.992,62.787,31.894,0.436631,329,62.787,1.027,-1.525677,-0.436631,0.046878,329,0.436631,3.034459,12
1,29,1,242,243,2,4407;4408,195.000,194.933,-0.067,482.000,482.441,0.440,0.000000,-0.049866,-0.049866,-0.262353,-0.512103,-0.249751,2.066810,1.716995,-0.349815,-0.196303,-0.180359,0.015943,2.000,2.047,10.767,0.262353,242,2.000,8.858,-8.971256,0.262353,0.196303,242,0.262353,0.512103,2
1,29,2,260,500,241,4367;4368;4369;4370;4347;4348;4333;4334;4327;4328;4297;4291;4251,192.817,153.053,-39.764,491.986,493.899,1.913,-0.795246,-2.184922,-1.389676,-1.114663,-0.002565,1.112098,0.733525,0.006786,-0.726739,-0.135297,0.000024,0.135321,0.819,33.834,25.193,0.632582,260,2.842,5.146,-1.968464,0.632582,0.044927,261,0.632582,6.179935,19
1,30,1,238,240,3,4529;4530;4531;4532,195.000,194.568,-0.432,478.793,477.961,-0.832,0.000000,0.031451,0.031451,-0.657559,-1.142219,-0.484660,-0.482442,-1.060451,-0.578009,0.034123,0.112204,0.078081,5.008,11.000,7.521,0.657559,238,11.000,6.887,-11.493486,0.657559,0.055568,239,0.657559,1.142219,3
1,30,2,301,480,180,4435;4436;4439;4440;4443;4444;4528;4529;4530,179.026,169.974,-9.052,493.914,499.173,5.259,1.558215,1.333393,-0.224822,-1.168299,0.000000,1.168300,1.512961,0.000000,-1.512961,0.029472,0.000000,-0.029472,0.973,64.761,36.153,0.256605,301,3.000,22.110,-1.378049,0.256605,0.060087,301,0.256605,2.056823,7
