run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,solver_delta_angular_velocity,correction_delta_angular_velocity,total_delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
1,16,1,249,250,2,1171;1176,195.000,194.937,-0.063,500.245,500.016,-0.229,0.000000,-0.026836,-0.026836,-0.265190,-0.524525,-0.259334,0.548137,0.612831,0.064693,-0.112222,-0.106810,0.005411,-0.106810,0.000000,-0.106810,6.025,12.000,13.361,0.265190,249,12.000,10.808,-10.674764,0.265190,0.112222,249,0.265190,0.524525,2
1,16,2,258,500,243,1172;1184;1192;1171;1176,193.900,194.296,0.396,501.684,502.283,0.598,-0.237915,-0.218066,0.019849,-0.506596,0.000000,0.506596,-1.144145,0.000000,1.144145,-0.026056,0.000000,0.026056,0.104030,0.000000,0.104030,0.213,58.035,41.246,0.250817,321,58.035,8.277,-1.282975,0.250817,0.077974,258,0.250817,2.315373,17
1,17,1,244,245,2,1218;1226,195.000,194.926,-0.074,494.579,494.170,-0.409,0.000000,-0.016916,-0.016916,-0.307786,-0.616610,-0.308824,0.020357,0.086951,0.066593,-0.070738,-0.052324,0.018414,-0.133133,0.010071,-0.123062,5.016,19.000,9.747,0.308824,245,5.016,8.193,0.066593,0.308824,0.070738,244,0.308824,0.616610,2
1,17,2,252,484,233,1218;1219,193.869,198.969,5.099,494.790,493.406,-1.385,-0.106612,0.072680,0.179292,-0.708418,-0.038817,0.669601,0.400191,0.011613,-0.388578,-0.049501,-0.001405,0.048096,0.049764,0.000000,0.049764,0.361,29.274,12.085,0.105417,252,5.078,10.517,-0.093532,0.105417,0.015972,254,0.105417,2.553266,7
1,18,1,241,243,3,1289;1290;1299;1304,195.000,195.251,0.251,479.188,478.155,-1.033,0.000000,0.051189,0.051189,0.556200,0.154829,-0.401371,-0.540258,-0.710118,-0.169859,0.088655,0.176240,0.087585,0.176240,0.000000,0.176240,5.992,18.000,3.855,0.556200,241,18.000,2.896,-11.556361,-0.556200,0.088655,241,0.556200,0.957571,3
1,18,2,298,540,243,1305;1317;1320;1324;1285;1288;1313;1281;1314;1306;1283;1297;1304;1312;1321,197.168,173.249,-23.919,493.126,499.909,6.782,2.232822,1.209286,-1.023536,-0.027447,-0.000000,0.027446,1.370352,-0.000000,-1.370352,-0.002738,0.000000,0.002738,-0.209336,0.065393,-0.143943,0.954,39.559,29.544,0.337309,300,4.391,23.772,-0.298479,0.337309,0.146681,298,0.337309,5.896486,28
1,19,1,239,240,2,1379;1386,195.000,194.939,-0.061,479.859,480.048,0.189,0.000000,-0.074851,-0.074851,-0.240705,-0.368444,-0.127739,1.932137,1.995580,0.063443,-0.294662,-0.275671,0.018992,-0.273393,-0.002277,-0.275671,7.055,8.000,13.880,0.240705,239,8.000,10.332,-9.087342,0.240705,0.294662,239,0.240705,0.368444,2
1,19,2,267,480,214,1399;1406;1434;1431;1426,192.588,194.292,1.704,498.589,501.867,3.278,-1.833592,-1.660024,0.173568,-0.265644,0.167745,0.433389,1.012934,0.040629,-0.972305,0.034732,0.008603,-0.026129,0.259225,-0.000531,0.258694,0.990,28.284,27.314,0.157206,270,6.804,25.557,-0.041995,-0.157206,0.284822,267,0.157206,4.780023,21
1,20,1,241,243,3,1472;1484,195.000,194.488,-0.512,479.464,478.811,-0.653,0.000000,0.055840,0.055840,-0.793230,-1.453610,-0.660380,-0.135371,-0.375102,-0.239731,0.071605,0.180212,0.108607,0.180212,0.000000,0.180212,4.017,5.000,1.859,0.793230,241,5.000,1.859,-11.151495,0.793230,0.090296,242,0.793230,1.453610,2
1,20,2,294,296,3,1485;1501;1506;1511;1514;1519;1522;1525;1530,177.654,176.920,-0.733,495.303,495.272,-0.030,2.142893,2.114842,-0.028051,-1.449765,-1.429544,0.020221,0.602395,0.739191,0.136796,-0.054914,-0.055506,-0.000591,-0.204865,0.000000,-0.204865,1.711,21.089,25.569,0.245014,294,21.089,20.676,-2.257107,0.245014,0.204274,294,0.245014,0.265235,3
1,20,3,302,536,235,1555;1558;1559;1556;1544;1495;1536;1524;1547,174.804,160.634,-14.170,496.589,497.365,0.776,2.032669,1.461849,-0.570820,-1.296071,0.230857,1.526928,-0.155803,0.011257,0.167060,-0.047091,0.009505,0.056597,0.063970,0.000000,0.063970,0.872,23.382,12.908,0.205869,376,23.382,3.643,-0.587275,-0.205869,0.021696,376,0.205869,4.359360,15
