run,piece,event_index,change_index,substep,reason,part_ids,contact_width_px,contact_offset_px,vx_before,vx_after,delta_vx,vy_before,vy_after,delta_vy,angular_before,angular_after,delta_angular,solver_delta_angular,correction_delta_angular,total_delta_angular,delta_vn,delta_vt,x,angle,cumulative_delta_x,cumulative_delta_angle,contact_points,support_count
1,21,1,1,240,START,1562;1563;1589;1590,59.000,2.192,0.000000,-0.378360,-0.378360,11.061633,-0.272806,-11.334439,0.000000,-0.010025,-0.010025,-0.010025,0.000000,-0.010025,-11.334439,0.378360,195.000,0.000000,0.000,0.000000,8,8
1,21,1,2,241,PART_CHANGE+RESPONSE,1562;1590,59.002,2.281,0.000000,-0.353743,-0.353743,0.000000,-0.258777,-0.258777,-0.010025,-0.009421,0.000604,0.000604,0.000000,0.000604,-0.258777,0.353743,194.910,-0.002397,-0.090,-0.002397,4,4
1,21,1,3,242,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,1590,54.004,0.136,-0.353743,-0.326329,0.027414,-0.258777,-0.234435,0.024342,-0.009421,-0.009200,0.000221,0.000221,0.000000,0.000221,0.024342,-0.027414,194.825,-0.004650,-0.175,-0.004650,1,2
1,21,1,4,275,PART_CHANGE+WIDTH_CHANGE,1562;1590,59.001,2.139,0.375922,0.292502,-0.083420,0.271807,-0.053119,-0.324927,0.009970,0.001637,-0.008333,-0.008333,0.000000,-0.008333,-0.324927,0.083420,195.061,0.001423,0.061,0.001423,4,4
1,22,1,1,243,START,1616;1618;1620,6.000,1.032,0.000000,0.930850,0.930850,11.086806,0.011343,-11.075462,0.000000,-0.130033,-0.130033,-0.130033,0.000000,-0.130033,-11.075462,-0.930850,195.000,0.000000,0.000,0.000000,6,6
1,22,1,2,244,PART_CHANGE+RESPONSE,1616;1618,5.063,1.672,0.930850,1.366236,0.435386,0.011343,-0.147322,-0.158666,-0.130033,-0.175851,-0.045818,-0.045818,0.000000,-0.045818,-0.158666,-0.435386,195.236,-0.033032,0.236,-0.033032,3,4
1,22,1,3,245,PART_CHANGE+RESPONSE,1616,4.064,3.657,0.000000,1.819460,1.819460,0.000000,-0.080125,-0.080125,0.000000,-0.217571,-0.217571,-0.223594,0.006023,-0.217571,-0.080125,-1.819460,195.563,-0.075084,0.563,-0.075084,2,2
1,22,2,1,286,START,1629;1633;1635;1642;1643;1645;1650,10.279,23.564,1.566172,1.060179,-0.505993,2.509009,0.279866,-2.229143,-0.187283,0.045069,0.232352,0.232352,0.000000,0.232352,-2.229143,0.505993,212.784,-2.134319,0.000,0.000000,10,14
1,22,2,2,287,PART_CHANGE+WIDTH_CHANGE,1642;1643;1650,4.782,22.445,1.060179,1.055978,-0.004201,0.279866,0.349629,0.069763,0.045069,0.044851,-0.000218,-0.000218,0.000000,-0.000218,0.069763,0.004201,213.053,-2.122871,0.269,0.011449,4,6
1,22,2,3,288,PART_CHANGE+WIDTH_CHANGE,1643,0.857,23.301,1.055978,1.051871,-0.004107,0.349629,0.419125,0.069496,0.044851,0.044684,-0.000167,-0.000167,0.000000,-0.000167,0.069496,0.004107,213.321,-2.111478,0.538,0.022842,1,2
1,22,3,1,299,START,1665,0.913,1.802,1.013238,0.977449,-0.035789,1.083889,-0.053854,-1.137743,0.043043,0.040066,-0.002976,-0.002976,0.000000,-0.002976,-1.137743,0.035789,216.145,-1.991541,0.000,0.000000,1,2
1,22,3,2,315,PART_CHANGE+WIDTH_CHANGE,1665;1668,5.091,0.349,0.901477,0.865632,-0.035845,0.084585,-0.078780,-0.163364,0.040446,0.041043,0.000596,0.000596,0.000000,0.000596,-0.163364,0.035845,219.711,-1.825153,3.566,0.166388,2,4
1,22,3,3,317,PART_CHANGE+WIDTH_CHANGE,1668,0.973,1.980,0.844006,0.852477,0.008472,-0.068493,-0.060063,0.008430,0.041775,0.040595,-0.001180,-0.001180,0.000000,-0.001180,0.008430,-0.008472,220.132,-1.804727,3.988,0.186814,1,2
1,22,3,4,335,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,1668;1676,20.024,7.773,0.831676,0.713363,-0.118313,0.080173,-0.337318,-0.417490,0.037291,0.022864,-0.014428,-0.014428,0.000000,-0.014428,-0.417490,0.118313,223.867,-1.628812,7.722,0.362729,2,4
1,22,3,5,336,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,1676,2.996,16.165,0.713363,0.665135,-0.048228,-0.337318,-0.333512,0.003806,0.022864,0.022669,-0.000195,-0.000195,0.000000,-0.000195,0.003806,0.048228,224.048,-1.623004,7.903,0.368537,1,2
