run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies
3,21,complete,120,59,60,8.592,8519.244,3.325,59,10,5,0,0,10.98902,0,-0.08381,0,-0.00218,-0.08381,-11.04342,-0.00218,0.08381,0.01319,0.00218,0.05000000000001137,0.8379999999999654,0.001504,0.8379999999999654,,0,1,50,100,50,50,44,-27.308,31.692,1.570796,2.191574,7085;7085;7086;7086;7087;7087;7088;7088;7089;7089,31.692:35.681;-27.308:35.681;25.692:36.681;-27.308:36.681;31.692:36.681;26.692:36.681;26.692:37.681;-27.308:37.681;31.692:37.681;27.692:37.681,31.691574;-27.308426;25.691574;-27.308426;31.691574;26.691574;26.691574;-27.308426;31.691574;27.691574
3,22,complete,127,66,60,3.966,1328.128,2.502,5,1,1,-0.62548,0.72084,1.43464,-0.090198,0.08009,0.14931,-0.045098,-0.64075,-1.28533,0.0451,1.33196,0.90248,0.061741,36.71199999999999,9.086999999999989,1.472744,0,,0,1,67,134,67,70,54,3.403,3.403,1.570796,3.403454,7149,3.403:30.278,3.403454
3,23,complete,122,61,60,3.404,1817.289,0.999,56,6,3,0.003515,0,11.11664,0,0,0,0.010967,0.39014,-11.39116,0.010967,0.38686,0.18324,0.013172,1.4440000000000168,1.1940000000000168,0.053670999999999996,1.1940000000000168,,0,1,71,142,71,78,70,-36.19,19.81,1.570796,-8.189715,7229;7229;7230;7230;7231;7231,-32.190:25.958;-36.190:25.943;19.810:26.140;7.810:26.098;18.807:27.137;9.807:27.105,-32.189567;-36.189542;19.810112;7.810186;18.806603;9.806658
3,24,complete,121,60,60,4.054,1448.135,12.846,7,4,2,0,0,11.00223,0,-0.31267,2.64006,0,-0.31267,-8.36218,-0.241874,1.60694,2.88161,0.238195,32.86099999999999,13.99799999999999,1.86768,0,,0,1,66,132,66,67,62,10.557,16.557,1.570796,13.556734,7297;7297;7299;7299,12.557:34.289;10.557:34.289;16.557:34.289;14.557:34.289,12.556734;10.556734;16.556734;14.556734
3,25,complete,126,65,60,2.958,422.016,3.375,16,1,1,2.713106,0.36395,1.92294,0.40331,0.53515,-1.4737,0.114761,0.17119,-3.39664,-0.288549,1.66908,2.10272,0.114761,51.733000000000004,20.11700000000002,2.1192920000000006,3.6090000000000373,,0,1,85,170,85,88,80,9.397,9.397,1.570796,9.396698,7304,9.397:33.963,9.396698
3,26,complete,121,60,60,4.034,1163.861,2.725,11,1,1,0.081879,0,11.00251,0,0,3.76604,0,0.44679,-7.23647,0.302062,0.88877,3.76604,0.126479,11.404000000000025,17.132000000000005,1.803289,0,,0,1,76,152,76,82,72,-16.025,-16.025,1.570796,-16.02498,7464,-16.025:36.278,-16.024980
3,27,complete,121,60,60,4.88,2744.433,3.428,6,1,1,-0.066128,0,11.00239,0,0,1.18595,0,-1.52096,-9.81644,-0.091902,1.19004,1.37971,0.027924,18.82299999999998,5.347000000000037,0.485091,0,,0,1,66,132,66,70,66,12.929,12.929,1.570796,12.928666,7532,12.929:39.446,12.928666
3,28,complete,120,59,60,3.352,665.675,2.082,3,2,1,0.081975,0,10.97541,0,0,2.89198,0,0.50448,-8.08343,0.29207,1.6241,2.89198,0.06699,37.06699999999998,16.65100000000001,1.37975,0.5790000000000077,,0,1,92,184,92,95,80,-14.515,-12.522,1.570796,-13.518789,7626;7626,-12.522:39.171;-14.515:39.007,-12.522147;-14.515431
3,29,complete,126,65,60,4.632,1624.548,2.816,3,2,2,-1.065226,-0.19099,2.81938,-0.197444,-1.90531,-0.83603,0.017798,-1.71432,-3.65541,0.215241,1.90531,0.83603,0.040775,24.10899999999998,2.143000000000029,0.4242640000000001,1.9020000000000437,,0,1,83,166,83,91,70,-10.592,-8.358,1.570796,-9.475135,7674;7681,-10.592:27.446;-8.358:27.539,-10.592186;-8.358083
3,30,complete,129,68,60,3.614,888.625,5.169,11,1,1,-2.01201,-0.15689,3.31518,-0.229145,-0.2293,-0.33219,-0.028133,-0.07241,-3.64737,0.201012,1.05205,0.66062,0.056408,12.443999999999988,4.875,0.6220839999999999,0.5600000000000023,,0,1,61,122,61,63,64,-4.952,-4.952,1.570796,-4.952319,7739,-4.952:22.923,-4.952319
