run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,solver_delta_angular_velocity,correction_delta_angular_velocity,total_delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
2,31,1,240,241,2,7783;7794,195.000,195.063,0.063,481.611,481.585,-0.027,0.000000,0.070247,0.070247,0.264885,0.367141,0.102256,1.074001,1.136801,0.062800,0.293752,0.191298,-0.102454,,,,4.060,7.000,10.112,0.264885,240,7.000,6.863,-9.967419,-0.264885,0.293752,240,0.264885,0.367141,2
2,31,2,277,279,3,7830;7834,198.148,198.492,0.344,501.845,501.245,-0.600,1.677552,1.717220,0.039668,0.624241,0.986248,0.362007,-0.693878,-0.555797,0.138080,0.093502,0.052978,-0.040524,,,,5.936,6.960,3.635,0.302387,277,6.960,3.568,-3.974714,-0.302387,0.074200,277,0.302387,0.664394,3
2,31,3,287,480,194,7834;7816;7830;7817,200.456,190.942,-9.513,500.713,503.520,2.807,1.822683,1.315531,-0.507152,0.955109,0.000000,-0.955109,-0.202961,0.000000,0.202961,0.046513,-0.000000,-0.046513,,,,0.947,27.613,24.902,0.188914,381,24.737,4.677,-0.531331,-0.188914,0.039089,381,0.188914,4.033666,12
2,32,1,242,242,1,7844,195.000,195.000,0.000,482.991,482.991,0.000,0.000000,0.000000,0.000000,-0.138110,-0.138110,0.000000,1.174608,1.174608,0.000000,-0.313117,-0.313117,0.000000,,,,1.000,1.000,3.859,0.138110,242,1.000,3.859,-9.876919,0.138110,0.313117,242,0.138110,0.138110,1
2,32,2,251,251,1,7842,194.695,194.695,0.000,486.149,486.149,0.000,-0.691434,-0.691434,0.000000,-0.277895,-0.277895,0.000000,0.963745,0.963745,0.000000,-0.279715,-0.279715,0.000000,,,,2.178,2.178,3.835,0.143894,251,2.178,3.835,-0.726937,0.143894,0.024085,251,0.143894,0.143894,1
2,32,3,272,512,241,7837;7838;7854;7866,193.287,204.535,11.247,494.537,506.337,11.801,-2.108569,-1.755675,0.352895,-0.242949,0.000001,0.242951,1.293132,0.000000,-1.293132,-0.168617,0.000000,0.168617,,,,0.983,67.264,36.286,0.212409,274,2.214,27.174,-0.567274,-0.212409,0.090752,272,0.212409,3.012031,8
2,33,1,246,247,2,7908;7913;7920;7936,195.000,195.144,0.144,490.997,490.606,-0.391,0.000000,0.040423,0.040423,0.567872,0.812395,0.244523,0.446807,0.515932,0.069124,0.159129,0.149227,-0.009901,,,,5.036,20.000,18.157,0.567872,246,20.000,12.437,-10.691479,-0.567872,0.159129,246,0.567872,0.812395,2
2,33,2,264,265,2,7912;7917,198.456,198.731,0.275,495.162,495.042,-0.120,0.648773,0.680420,0.031647,1.083610,1.413085,0.329475,-0.312802,-0.240772,0.072030,0.124583,0.113337,-0.011246,,,,0.629,2.609,2.402,0.329475,265,0.629,0.589,0.072030,-0.329475,0.015991,264,0.329475,0.647798,2
2,33,3,274,504,231,7960;7961;7962;7963,201.913,204.387,2.474,494.823,493.037,-1.787,0.935605,0.996165,0.060560,1.413018,-1.231641,-2.644659,-1.494450,1.058169,2.552619,0.063176,-0.044005,-0.107181,,,,1.645,6.610,26.490,0.086403,275,5.233,26.490,-0.044242,-0.086403,0.046739,274,0.086403,3.474909,7
2,34,1,241,241,1,7968;7970;7971,195.000,195.000,0.000,485.562,485.562,0.000,0.000000,0.000000,0.000000,0.419841,0.419841,0.000000,0.215026,0.215026,0.000000,0.180941,0.180941,0.000000,,,,18.000,18.000,10.145,0.419841,241,18.000,10.145,-10.861728,-0.419841,0.180941,241,0.419841,0.419841,1
2,34,2,264,267,4,8029;8032,197.306,198.069,0.763,490.919,489.092,-1.827,0.994028,1.092029,0.098001,0.606394,1.614301,1.007907,-1.488612,-1.703468,-0.214855,0.139073,0.103116,-0.035957,,,,0.873,1.714,18.060,0.465209,265,1.714,16.995,-0.351248,-0.465209,0.027501,264,0.465209,1.227796,4
2,34,3,305,504,200,8033;7976;7969,212.348,214.133,1.786,486.161,486.427,0.267,2.004089,2.049175,0.045086,1.574436,0.003805,-1.570631,0.450854,0.009862,-0.440992,0.084679,0.001445,-0.083233,,,,1.455,38.817,24.152,0.195814,317,38.814,5.715,-1.256544,0.195814,0.039091,317,0.195814,4.672730,10
2,35,1,247,248,2,8043;8047,195.000,194.739,-0.261,503.759,503.354,-0.405,0.000000,-0.014825,-0.014825,-1.091599,-1.088556,0.003043,-0.041758,0.025059,0.066817,-0.061993,-0.061753,0.000240,,,,5.014,14.000,9.043,1.091599,247,14.000,6.288,-11.297493,1.091599,0.061993,247,1.091599,1.094642,2
2,35,2,258,488,231,8047;8049;8055;8073;8075;8043,192.084,193.521,1.437,504.371,503.831,-0.539,-0.165467,-0.081352,0.084115,-1.015686,-0.351595,0.664091,0.125611,0.157670,0.032059,-0.060989,-0.020447,0.040542,,,,0.187,29.402,29.308,0.338830,266,29.402,14.764,-1.069604,-0.338830,0.022825,266,0.338830,2.549233,13
