run,piece,event_index,change_index,substep,reason,part_ids,contact_width_px,contact_offset_px,vx_before,vx_after,delta_vx,vy_before,vy_after,delta_vy,angular_before,angular_after,delta_angular,solver_delta_angular,correction_delta_angular,total_delta_angular,delta_vn,delta_vt,x,angle,cumulative_delta_x,cumulative_delta_angle,contact_points,support_count
1,16,1,1,247,START,1171;1176;1183,15.000,9.308,0.000000,-0.462408,-0.462408,11.232768,0.258120,-10.974648,0.000000,-0.106636,-0.106636,-0.106636,0.000000,-0.106636,-10.974648,0.462408,195.000,0.000000,0.000,0.000000,6,6
1,16,1,2,248,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,1171,6.025,13.366,-0.462408,-0.754464,-0.292056,0.258120,0.327966,0.069846,-0.106636,-0.100576,0.006060,0.006060,0.000000,0.006060,0.069846,0.292056,194.883,-0.027088,-0.117,-0.027088,2,2
1,16,2,1,257,START,1172;1184;1192,14.306,36.732,-0.731684,-0.554744,0.176940,0.877205,-1.208796,-2.086002,-0.097540,-0.027698,0.069841,0.069841,0.000000,0.069841,-2.086002,-0.176940,193.195,-0.252088,0.000,0.000000,3,6
1,16,2,2,258,PART_CHANGE+WIDTH_CHANGE,1172;1184,11.146,35.031,-0.554744,-0.557287,-0.002542,-1.208796,-1.137778,0.071018,-0.027698,-0.027514,0.000185,0.000185,0.000000,0.000185,0.071018,0.002542,193.062,-0.258712,-0.133,-0.006624,2,4
1,16,2,3,259,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,1184,0.262,40.344,-0.557287,-0.552951,0.004336,-1.137778,-1.081924,0.055854,-0.027514,-0.026908,0.000606,0.000606,0.000000,0.000606,0.055854,-0.004336,192.929,-0.265291,-0.266,-0.013203,1,2
1,16,2,4,267,PART_CHANGE+WIDTH_CHANGE,1184;1192,3.468,40.958,-0.449149,-0.413585,0.035564,-0.796965,-0.784064,0.012901,-0.020259,-0.018502,0.001757,0.001757,0.000000,0.001757,0.012901,-0.035564,191.945,-0.311385,-1.250,-0.059297,2,4
1,16,2,5,277,PART_CHANGE+WIDTH_CHANGE,1192,0.340,41.734,-0.245259,-0.224137,0.021122,-0.428704,-0.390594,0.038110,-0.010309,-0.009399,0.000910,0.000910,0.000000,0.000910,0.038110,-0.021122,191.125,-0.347018,-2.070,-0.094930,1,2
1,16,2,6,304,PART_CHANGE+WIDTH_CHANGE,1184;1192,3.491,40.427,0.295491,0.324217,0.028726,0.525780,0.537998,0.012218,0.012588,0.013912,0.001324,0.001324,0.000000,0.001324,0.012218,-0.028726,191.406,-0.335144,-1.788,-0.083056,2,4
1,16,2,7,313,PART_CHANGE+WIDTH_CHANGE,1184,0.293,39.687,0.446192,0.460027,0.013835,0.800167,0.834697,0.034530,0.020287,0.021106,0.000819,0.000819,0.000000,0.000819,0.034530,-0.013835,192.269,-0.297038,-0.926,-0.044950,1,2
1,16,2,8,320,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,1172;1184,11.149,35.098,0.530479,0.567081,0.036602,1.047638,1.023849,-0.023789,0.026005,0.028214,0.002209,0.002209,0.000000,0.002209,-0.023789,-0.036602,193.153,-0.255150,-0.042,-0.003062,2,4
