run,piece,event_index,change_index,substep,reason,part_ids,contact_width_px,contact_offset_px,vx_before,vx_after,delta_vx,vy_before,vy_after,delta_vy,angular_before,angular_after,delta_angular,delta_vn,delta_vt,x,angle,cumulative_delta_x,cumulative_delta_angle,contact_points,support_count
3,14,1,1,240,START,12008,20.000,5.596,0.000000,0.196695,0.196695,11.083484,-0.153891,-11.237376,0.000000,0.033833,0.033833,-11.237376,-0.196695,195.000,0.000000,0.000,0.000000,2,2
3,14,1,2,268,WIDTH_CHANGE+OFFSET_CHANGE,12008,0.128,0.032,0.539105,0.498644,-0.040462,-0.000341,0.001353,0.001694,0.013992,0.015393,0.001401,0.001694,0.040462,198.518,0.128139,3.518,0.128139,1,2
3,14,1,3,300,PART_CHANGE+WIDTH_CHANGE,12008;12028,12.612,2.100,0.534815,0.460831,-0.073983,0.062302,-0.130877,-0.193178,0.014913,0.015241,0.000328,-0.193178,0.073983,202.622,0.245183,7.622,0.245183,2,4
3,14,1,4,301,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,12028,0.246,8.159,0.460831,0.464877,0.004046,-0.130877,-0.116682,0.014195,0.015241,0.014521,-0.000721,0.014195,-0.004046,202.732,0.248828,7.732,0.248828,1,2
3,14,1,5,452,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,12008;12028,12.613,2.059,-0.383155,-0.376546,0.006610,0.100121,-0.045692,-0.145813,-0.012499,-0.011664,0.000835,-0.145813,-0.006610,203.064,0.246375,8.064,0.246375,2,4
3,14,1,6,455,PART_CHANGE+WIDTH_CHANGE,12008,0.237,3.891,-0.448708,-0.429615,0.019094,-0.033534,-0.034179,-0.000645,-0.008213,-0.008524,-0.000310,-0.000645,-0.019094,202.729,0.239567,7.729,0.239567,1,2
3,15,1,1,243,START,12072;12075,13.000,17.256,0.000000,-0.353841,-0.353841,11.066449,2.236613,-8.829837,0.000000,-0.194029,-0.194029,-8.829837,0.353841,195.000,0.000000,0.000,0.000000,4,4
3,15,1,2,244,PART_CHANGE+RESPONSE,12072,13.033,19.079,-0.353841,-0.675130,-0.321289,2.236613,2.224640,-0.011973,-0.194029,-0.175300,0.018729,-0.011973,0.321289,194.910,-0.049288,-0.090,-0.049288,1,2
3,15,1,3,245,RESPONSE,12072,13.037,20.594,0.000000,-0.924840,-0.924840,2.224640,2.276721,0.052081,0.000000,-0.159809,-0.159809,0.052081,0.924840,194.749,-0.091209,-0.251,-0.091209,1,2
3,15,1,4,246,RESPONSE,12072,13.020,21.943,-0.924840,-1.438133,-0.513293,2.276721,2.108671,-0.168050,-0.159809,-0.134655,0.025154,-0.168050,0.513293,194.528,-0.129425,-0.472,-0.129425,1,2
3,15,1,5,247,RESPONSE,12072,12.991,23.055,-1.438133,-1.831906,-0.393773,2.108671,1.950663,-0.158008,-0.134655,-0.116994,0.017661,-0.158008,0.393773,194.184,-0.161626,-0.816,-0.161626,1,2
3,15,1,6,248,RESPONSE,12072,12.955,24.002,-1.831906,-2.101157,-0.269251,1.950663,1.862284,-0.088379,-0.116994,-0.105093,0.011901,-0.088379,0.269251,193.746,-0.189603,-1.254,-0.189603,1,2
3,15,1,7,249,WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,12072,0.215,18.539,0.000000,-2.282295,-2.282295,1.862284,1.815622,-0.046662,0.000000,-0.029216,-0.029216,-0.046662,2.282295,193.212,-0.216299,-1.788,-0.216299,1,2
3,15,1,8,253,RESPONSE,12072,0.253,19.892,0.000000,-2.137309,-2.137309,0.898494,0.965891,0.067397,0.000000,-0.015123,-0.015123,0.067397,2.137309,190.919,-0.256260,-4.081,-0.256260,1,2
3,15,1,9,254,RESPONSE,12072,0.257,20.021,-2.137309,-1.986144,0.151165,0.965891,0.687581,-0.278310,-0.015123,-0.034168,-0.019045,-0.278310,-0.151165,190.376,-0.260101,-4.624,-0.260101,1,2
3,15,1,10,266,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,12072;12097,34.004,7.662,-1.634286,-1.322220,0.312066,1.274884,-0.383968,-1.658852,-0.052556,-0.042591,0.009966,-1.658852,-0.312066,185.224,-0.399528,-9.776,-0.399528,2,4
3,15,1,11,267,PART_CHANGE+WIDTH_CHANGE,12097,0.399,8.817,-1.322220,-1.297320,0.024900,-0.383968,-0.361340,0.022628,-0.042591,-0.042729,-0.000138,0.022628,-0.024900,184.888,-0.410347,-10.112,-0.410347,1,2
3,15,1,12,271,PART_CHANGE+WIDTH_CHANGE,12097;12101,3.111,8.850,-1.261205,-1.230242,0.030963,-0.308462,-0.390807,-0.082344,-0.041216,-0.040002,0.001215,-0.082344,-0.030963,183.586,-0.452852,-11.414,-0.452852,2,4
3,15,1,13,275,PART_CHANGE+WIDTH_CHANGE,12101,0.943,8.808,-1.204056,-1.188344,0.015712,-0.329457,-0.313573,0.015884,-0.038110,-0.037853,0.000257,0.015884,-0.015712,182.403,-0.490865,-12.597,-0.490865,1,2
3,15,1,14,335,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,12101;12114,10.227,1.360,-0.958709,-0.908971,0.049738,0.186560,-0.065882,-0.252442,-0.028618,-0.029785,-0.001167,-0.252442,-0.049738,167.568,-0.948314,-27.432,-0.948314,2,4
3,15,1,15,336,PART_CHANGE+WIDTH_CHANGE,12114,1.634,2.703,-0.908971,-0.905231,0.003740,-0.065882,-0.053318,0.012564,-0.029785,-0.029506,0.000279,0.012564,-0.003740,167.337,-0.955880,-27.663,-0.955880,1,2
3,15,1,16,339,PART_CHANGE+WIDTH_CHANGE,12114;12117,5.263,3.854,-0.911166,-0.879577,0.031589,-0.042317,-0.142024,-0.099707,-0.028342,-0.028407,-0.000066,-0.099707,-0.031589,166.684,-0.976578,-28.316,-0.976578,2,4
3,15,1,17,343,PART_CHANGE+WIDTH_CHANGE,12117,1.687,4.791,-0.883866,-0.838892,0.044974,-0.103970,-0.103054,0.000915,-0.026141,-0.027755,-0.001615,0.000915,-0.044974,165.805,-1.004040,-29.195,-1.004040,1,2
3,15,1,18,357,PART_CHANGE,12117;12118,1.776,1.964,-0.783516,-0.777140,0.006377,-0.030811,-0.074589,-0.043778,-0.023977,-0.023447,0.000530,-0.043778,-0.006377,162.959,-1.092978,-32.041,-1.092978,2,4
3,15,1,19,364,WIDTH_CHANGE+OFFSET_CHANGE,12117;12118,7.669,3.624,-0.742234,-0.735760,0.006474,-0.045717,-0.045910,-0.000192,-0.022213,-0.022114,0.000100,-0.000192,-0.006474,161.665,-1.132691,-33.335,-1.132691,2,4
3,15,1,20,366,PART_CHANGE+WIDTH_CHANGE,12118,5.462,4.390,-0.725727,-0.725579,0.000148,-0.041196,-0.037079,0.004116,-0.022210,-0.021807,0.000403,0.004116,-0.000148,161.294,-1.143950,-33.706,-1.143950,1,2
3,15,1,21,438,PART_CHANGE+WIDTH_CHANGE,12115;12118,7.000,8.374,-0.881616,-0.940347,-0.058731,0.363713,0.167327,-0.196386,-0.031265,-0.030282,0.000983,-0.196386,0.058731,148.257,-1.568871,-46.743,-1.568871,4,4
3,15,1,22,449,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,12115,0.997,7.932,-0.963460,-0.970476,-0.007015,0.232795,0.242657,0.009862,-0.032388,-0.032472,-0.000084,0.009862,0.007015,145.651,-1.654152,-49.349,-1.654152,1,2
3,15,1,23,475,PART_CHANGE+WIDTH_CHANGE,12115;12116,4.112,13.041,-1.121584,-1.153329,-0.031745,0.568905,0.466170,-0.102735,-0.041196,-0.042500,-0.001304,-0.102735,0.031745,138.888,-1.889015,-56.112,-1.889015,2,4
3,15,1,24,477,PART_CHANGE+WIDTH_CHANGE,12116,2.829,12.969,-1.160046,-1.159398,0.000648,0.483869,0.497347,0.013478,-0.042785,-0.043439,-0.000654,0.013478,-0.000648,138.318,-1.910042,-56.682,-1.910042,1,2
3,15,1,25,478,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,12102;12116,17.684,5.810,-1.159398,-1.144357,0.015041,0.497347,-0.129044,-0.626392,-0.043439,-0.040276,0.003163,-0.626392,-0.015041,138.041,-1.920430,-56.959,-1.920430,2,4
3,15,1,26,479,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,12102,2.808,1.369,-1.144357,-1.132110,0.012248,-0.129044,-0.111670,0.017374,-0.040276,-0.040262,0.000014,0.017374,-0.012248,137.767,-1.930062,-57.233,-1.930062,1,2
