piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,bottom_width_1px,bottom_width_2px,bottom_width_4px,bottom_width_8px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices
30,falling,0,11.0,,195.000,96.196,0.00000,0.26667,0.26667,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,1,27.0,,195.000,96.753,0.00000,0.54592,0.54592,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,2,44.0,,195.000,97.590,0.00000,0.82090,0.82090,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,3,61.0,,195.000,98.623,0.00000,1.07575,1.07575,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,4,77.0,,195.000,99.992,0.00000,1.34262,1.34262,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,5,94.0,,195.000,101.630,0.00000,1.60541,1.60541,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,6,111.0,,195.000,103.405,0.00000,1.84896,1.84896,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,7,127.0,,195.000,105.551,0.00000,2.10401,2.10401,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,8,144.0,,195.000,107.953,0.00000,2.35515,2.35515,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,9,161.0,,195.000,110.438,0.00000,2.58790,2.58790,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,10,177.0,,195.000,113.326,0.00000,2.83164,2.83164,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,11,194.0,,195.000,116.459,0.00000,3.07165,3.07165,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,12,211.0,,195.000,119.621,0.00000,3.29408,3.29408,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,13,227.0,,195.000,123.219,0.00000,3.52702,3.52702,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,14,244.0,,195.000,127.050,0.00000,3.75639,3.75639,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,15,261.0,,195.000,130.861,0.00000,3.96896,3.96896,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,16,277.0,,195.000,135.136,0.00000,4.19157,4.19157,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,17,294.0,,195.000,139.635,0.00000,4.41077,4.41077,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,18,311.0,,195.000,144.064,0.00000,4.61392,4.61392,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,19,327.0,,195.000,148.987,0.00000,4.82666,4.82666,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,20,344.0,,195.000,154.124,0.00000,5.03615,5.03615,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,21,361.0,,195.000,159.145,0.00000,5.23029,5.23029,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,22,377.0,,195.000,164.688,0.00000,5.43360,5.43360,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,23,394.0,,195.000,170.434,0.00000,5.63380,5.63380,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,24,411.0,,195.000,176.021,0.00000,5.81934,5.81934,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,25,427.0,,195.000,182.155,0.00000,6.01364,6.01364,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,26,444.0,,195.000,188.484,0.00000,6.20497,6.20497,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,27,461.0,,195.000,194.611,0.00000,6.38228,6.38228,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,28,477.0,,195.000,201.310,0.00000,6.56797,6.56797,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,29,494.0,,195.000,208.196,0.00000,6.75081,6.75081,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,30,510.0,,195.000,214.839,0.00000,6.92026,6.92026,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,31,527.0,,195.000,222.079,0.00000,7.09772,7.09772,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,32,544.0,,195.000,229.051,0.00000,7.26218,7.26218,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,33,560.0,,195.000,236.634,0.00000,7.43440,7.43440,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,34,577.0,,195.000,244.390,0.00000,7.60399,7.60399,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,35,594.0,,195.000,251.841,0.00000,7.76115,7.76115,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,36,610.0,,195.000,259.925,0.00000,7.92574,7.92574,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,37,627.0,,195.000,268.174,0.00000,8.08781,8.08781,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,38,644.0,,195.000,276.083,0.00000,8.23801,8.23801,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,39,660.0,,195.000,284.646,0.00000,8.39531,8.39531,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,40,677.0,,195.000,293.367,0.00000,8.55019,8.55019,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,41,694.0,,195.000,301.713,0.00000,8.69374,8.69374,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,42,710.0,,195.000,310.734,0.00000,8.84405,8.84405,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,43,728.0,,195.000,319.906,0.00000,8.99207,8.99207,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,44,744.0,,195.000,328.670,0.00000,9.12925,9.12925,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,45,760.0,,195.000,338.129,0.00000,9.27291,9.27291,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,46,777.0,,195.000,347.731,0.00000,9.41437,9.41437,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,47,794.0,,195.000,356.895,0.00000,9.54547,9.54547,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,48,810.0,,195.000,366.771,0.00000,9.68276,9.68276,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,49,827.0,,195.000,376.786,0.00000,9.81794,9.81794,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,50,844.0,,195.000,386.331,0.00000,9.94323,9.94323,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,51,860.0,,195.000,396.607,0.00000,10.07443,10.07443,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,52,877.0,,195.000,407.015,0.00000,10.20363,10.20363,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,53,894.0,,195.000,416.925,0.00000,10.32336,10.32336,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,54,910.0,,195.000,427.583,0.00000,10.44875,10.44875,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,55,927.0,,195.000,438.367,0.00000,10.57222,10.57222,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
30,falling,56,944.0,,195.000,448.626,0.00000,10.68664,10.68664,0.000000,0.000000,0,0,3.61400,888.625,5.169,11.000,11.000,11.000,12.000,12.000,0.000,0.000,0,0,1.6908,61,122,61,63,64
