run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,solver_delta_angular_velocity,correction_delta_angular_velocity,total_delta_angular_velocity,decomposition_residual,decomposition_consistent,observed_delta_angular_velocity,observed_vs_event_residual,observed_vs_total_residual,observed_consistent,start_pre_angular_velocity,start_solver_delta_angular_velocity,start_correction_delta_angular_velocity,start_total_delta_angular_velocity,sum_solver_delta_angular_including_start,sum_correction_delta_angular_including_start,sum_total_delta_angular_including_start,inclusive_decomposition_residual,inclusive_consistent,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
1,31,1,240,241,2,2305;2316;2322,195.000,195.093,0.093,482.110,481.580,-0.530,0.000000,0.069482,0.069482,0.364949,0.480311,0.115362,0.442360,0.511501,0.069141,0.273524,0.175172,-0.098352,0.246955,-0.071783,0.175172,0.273524,0,-0.098352,0.000000,-0.273524,0,0.000000,0.273524,0.000000,0.273524,0.520479,-0.071783,0.448697,0.273524,0,4.060,9.000,10.082,0.480311,241,4.060,10.082,0.069141,-0.480311,0.273524,240,0.480311,0.845260,2
1,31,2,283,508,226,2356;2338;2352;2339,199.762,190.646,-9.115,500.988,503.520,2.532,1.772288,1.315839,-0.456449,0.501626,0.000000,-0.501626,-0.265912,0.000000,0.265912,0.041188,-0.000000,-0.041188,-0.041188,0.000000,-0.041188,-0.000000,1,-0.041188,-0.000000,0.000000,1,0.150108,-0.108920,0.000000,-0.108920,-0.150108,0.000000,-0.150108,-0.000000,1,0.958,27.611,24.901,0.159104,387,24.736,4.588,-0.487865,-0.159104,0.108920,283,0.159104,3.574866,12
1,32,1,241,241,1,2366,195.000,195.000,0.000,482.991,482.991,0.000,0.000000,0.000000,0.000000,-0.138110,-0.138110,0.000000,1.175195,1.175195,0.000000,-0.313281,-0.313281,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,1,0.000000,-0.334202,0.020921,-0.313281,-0.334202,0.020921,-0.313281,0.000000,1,1.000,1.000,3.859,0.138110,241,1.000,3.859,-9.881391,0.138110,0.313281,241,0.138110,0.138110,1
1,32,2,249,249,1,2364,194.725,194.725,0.000,485.983,485.983,0.000,-0.623649,-0.623649,0.000000,-0.293578,-0.293578,0.000000,0.271817,0.271817,0.000000,-0.261416,-0.261416,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,1,-0.304988,0.043572,0.000000,0.043572,0.043572,0.000000,0.043572,0.000000,1,2.208,2.208,1.532,0.159124,249,2.208,1.532,-1.362451,0.159124,0.043572,249,0.159124,0.159124,1
1,32,3,274,283,10,2359;2360,192.972,193.751,0.780,492.615,488.396,-4.218,-2.184930,-2.341502,-0.156572,-0.228994,0.496426,0.725420,0.893242,-0.809699,-1.702941,-0.157349,-0.013971,0.143378,0.373510,-0.230132,0.143378,0.000000,1,0.143378,0.000000,0.000000,1,-0.238822,0.271578,-0.190105,0.081473,0.645088,-0.420236,0.224851,0.000000,1,1.411,2.211,26.913,0.250567,275,2.196,25.784,-0.830624,-0.250567,0.081473,274,0.250567,0.928575,5
1,32,4,297,472,176,2359;2376;2388,195.446,212.851,17.405,487.362,506.337,18.974,-2.389179,-1.755475,0.633703,0.438012,0.000012,-0.437999,0.137583,0.000002,-0.137582,-0.006927,0.000000,0.006927,0.006927,0.000000,0.006927,-0.000000,1,0.006927,-0.000000,0.000000,1,-0.013304,0.021256,-0.014879,0.006377,0.028183,-0.014879,0.013304,-0.000000,1,0.983,67.263,36.253,0.157525,368,66.282,3.941,-0.045612,0.157525,0.081260,361,0.157525,2.319577,5
1,33,1,245,246,2,2430;2435;2442,195.000,195.107,0.107,490.664,490.630,-0.034,0.000000,0.041940,0.041940,0.421492,0.666387,0.244895,0.602852,0.671380,0.068527,0.165101,0.155192,-0.009909,-0.009909,0.000000,-0.009909,0.000000,1,-0.009909,0.000000,0.000000,1,0.000000,0.165101,0.000000,0.165101,0.155192,0.000000,0.155192,0.000000,1,5.038,18.000,18.202,0.421492,245,18.000,12.437,-10.520513,-0.421492,0.165101,245,0.421492,0.666387,2
1,33,2,261,888,628,2434;2439;2483;2485;2484;2435,197.542,203.246,5.704,495.125,495.437,0.312,0.608944,0.901920,0.292975,0.810778,-0.000000,-0.810778,-0.290563,0.000000,0.290563,0.135688,-0.000000,-0.135688,-0.135688,0.000000,-0.135688,0.000000,1,-0.135688,0.000000,0.000000,1,0.147218,-0.011530,0.000000,-0.011530,-0.147218,0.000000,-0.147218,0.000000,1,0.421,33.579,27.339,0.359674,262,0.600,1.536,0.071945,-0.359674,0.039156,273,0.359674,8.224050,30
1,34,1,241,241,1,2490;2492;2493,195.000,195.000,0.000,485.562,485.562,0.000,0.000000,0.000000,0.000000,0.419841,0.419841,0.000000,0.214885,0.214885,0.000000,0.180819,0.180819,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,1,0.000000,0.180819,0.000000,0.180819,0.180819,0.000000,0.180819,0.000000,1,18.000,18.000,10.145,0.419841,241,18.000,10.145,-10.855145,-0.419841,0.180819,241,0.419841,0.419841,1
1,34,2,264,267,4,2551;2554,197.306,198.114,0.808,490.932,489.111,-1.821,0.993358,1.090660,0.097302,0.634742,1.677890,1.043148,-1.487328,-1.685199,-0.197871,0.138605,0.102390,-0.036215,-0.059123,0.022908,-0.036215,0.000000,1,-0.036215,0.000000,0.000000,1,0.166500,-0.092982,0.065087,-0.027894,-0.152105,0.087995,-0.064110,0.000000,1,0.873,1.713,18.080,0.506251,265,1.713,17.019,-0.326588,-0.506251,0.027894,264,0.506251,1.291297,4
1,34,3,303,688,386,2555;2491;2498,212.212,220.522,8.311,485.925,487.895,1.970,1.950949,2.202757,0.251808,1.644729,0.000000,-1.644729,0.286627,-0.000000,-0.286627,0.083256,-0.000000,-0.083256,-0.083256,0.000000,-0.083256,-0.000000,1,-0.083256,-0.000000,0.000000,1,0.089780,-0.006525,0.000000,-0.006525,-0.089780,0.000000,-0.089780,-0.000000,1,1.460,41.996,25.508,0.309783,319,41.996,7.096,-1.306757,0.309783,0.037804,319,0.309783,6.262624,15
1,35,1,247,248,2,2565;2569,195.000,194.739,-0.261,503.759,503.354,-0.405,0.000000,-0.014833,-0.014833,-1.092235,-1.089183,0.003052,-0.041783,0.025034,0.066817,-0.062029,-0.061789,0.000240,0.000240,0.000000,0.000240,0.000000,1,0.000240,0.000000,0.000000,1,0.000000,-0.062029,0.000000,-0.062029,-0.061789,0.000000,-0.061789,0.000000,1,5.014,14.000,9.044,1.092235,247,14.000,6.288,-11.304075,1.092235,0.062029,247,1.092235,1.095287,2
1,35,2,258,752,495,2569;2571;2577;2595;2597;2573;2565,192.050,190.217,-1.833,504.374,504.553,0.179,-0.167341,-0.279821,-0.112479,-1.015977,0.000710,1.016687,0.127581,0.000007,-0.127573,-0.061021,0.000043,0.061064,0.061064,0.000000,0.061064,-0.000000,1,0.061064,-0.000000,0.000000,1,-0.059708,-0.001313,0.000000,-0.001313,0.059751,0.000000,0.059751,-0.000000,1,0.181,33.513,29.394,0.243193,266,22.123,18.383,-0.742729,-0.243193,0.017382,266,0.243193,3.793316,35
