run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,solver_delta_angular_velocity,correction_delta_angular_velocity,total_delta_angular_velocity,decomposition_residual,decomposition_consistent,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
1,31,1,240,241,2,2305;2316,195.000,195.063,0.063,481.611,481.585,-0.027,0.000000,0.070247,0.070247,0.264885,0.367141,0.102256,1.074004,1.136804,0.062800,0.293753,0.191299,-0.102454,0.270138,-0.078839,0.191299,0.293753,0,4.060,7.000,10.112,0.264885,240,7.000,6.863,-9.967441,-0.264885,0.293753,240,0.264885,0.367141,2
1,31,2,277,279,3,2352;2356,198.153,198.536,0.383,501.836,501.205,-0.631,1.680053,1.723807,0.043754,0.664199,0.943721,0.279522,-0.712653,-0.565816,0.146837,0.096178,0.064476,-0.031702,-0.031940,0.000238,-0.031702,0.000000,1,5.930,6.958,3.547,0.342345,277,6.958,3.520,-3.993492,-0.342345,0.071524,277,0.342345,0.621868,2
1,31,3,286,480,195,2356;2338;2352;2339,200.140,190.791,-9.349,500.668,503.516,2.848,1.833397,1.314780,-0.518617,0.962112,-0.000000,-0.962112,-0.214284,0.000000,0.214284,0.055019,0.000000,-0.055019,-0.055019,0.000000,-0.055019,0.000000,1,0.947,27.614,24.915,0.169303,379,24.738,4.708,-0.524165,-0.169303,0.040426,379,0.169303,4.310526,12
1,32,1,243,244,2,2365;2366,195.000,194.924,-0.076,483.991,483.250,-0.741,0.000000,-0.058069,-0.058069,-0.299903,-0.470596,-0.170693,0.626122,0.694560,0.068438,-0.228595,-0.175839,0.052756,0.067229,-0.014472,0.052756,0.000000,1,1.114,2.000,6.001,0.299903,243,2.000,3.359,-10.440582,0.299903,0.228595,243,0.299903,0.470596,2
1,32,2,255,374,120,2364;2371;2376;2388,193.661,160.859,-32.802,486.058,505.264,19.205,-0.530040,-1.717865,-1.187825,-0.624550,-1.510808,-0.886259,-0.176120,2.486354,2.662475,-0.069933,-0.095850,-0.025918,-0.025918,0.000000,-0.025918,0.000000,1,0.989,4.007,28.137,0.171238,255,2.231,1.658,-1.525327,0.171238,0.099448,255,0.171238,1.504348,6
1,32,3,376,484,109,2359;2360;2371;2376;2388,160.092,157.167,-2.926,506.051,506.336,0.285,-1.766469,-1.755978,0.010491,-1.473382,0.000001,1.473383,2.174327,0.000000,-2.174327,-0.048310,0.000000,0.048310,0.237566,-0.189256,0.048310,-0.000000,1,0.983,68.244,36.477,0.216480,383,68.244,3.040,-1.504105,-0.216480,0.047574,383,0.216480,1.616121,10
1,33,1,245,246,2,2430;2435;2442,195.000,195.089,0.089,490.663,490.597,-0.066,0.000000,0.039904,0.039904,0.373363,0.590601,0.217238,0.607463,0.671943,0.064480,0.166866,0.158029,-0.008837,-0.008837,0.000000,-0.008837,0.000000,1,5.036,18.000,18.141,0.373363,245,18.000,12.437,-10.515916,-0.373363,0.166866,245,0.373363,0.590601,2
1,33,2,262,263,2,2434;2439,197.372,197.606,0.233,495.176,495.042,-0.134,0.650760,0.684253,0.033493,0.918778,1.279150,0.360372,-0.324365,-0.252291,0.072074,0.131848,0.119597,-0.012251,-0.012251,0.000000,-0.012251,0.000000,1,0.632,2.613,2.352,0.360414,262,2.613,2.352,-1.970442,-0.360414,0.017555,262,0.360414,0.720786,2
1,33,3,271,274,4,2485;2483,200.115,201.216,1.101,494.977,493.285,-1.693,0.918868,0.985502,0.066634,1.283954,1.923897,0.639943,-1.502398,-1.918632,-0.416234,0.098371,0.069378,-0.028993,-0.043545,0.014552,-0.028993,0.000000,1,1.590,3.015,26.931,0.297237,274,1.667,25.177,0.078472,-0.297237,0.018113,271,0.297237,0.678043,4
1,33,4,285,512,228,2484;2481;2474;2476;2477;2480;2470;2467;2465;2450;2443;2427,206.380,275.713,69.333,489.125,499.520,10.395,1.171720,3.159646,1.987925,1.865059,1.425235,-0.439824,-1.280655,1.719679,3.000335,0.060918,0.066260,0.005342,0.005342,0.000000,0.005342,0.000000,1,0.335,7.000,27.446,0.117443,319,4.000,11.384,0.073109,-0.117443,0.005912,285,0.117443,3.335998,19
