run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,solver_delta_angular_velocity,correction_delta_angular_velocity,total_delta_angular_velocity,decomposition_residual,decomposition_consistent,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
1,26,1,241,244,4,1920,195.000,195.153,0.153,483.559,485.680,2.121,0.000000,0.136720,0.136720,0.090004,0.561667,0.471663,4.342937,2.940299,-1.402639,0.165129,0.172356,0.007227,0.021388,-0.014161,0.007227,0.000000,1,4.000,4.099,19.903,0.231652,244,4.099,19.903,-0.073279,-0.231652,0.165129,241,0.231652,0.561667,2
1,26,2,248,250,3,1911;1916,195.721,196.180,0.459,488.249,487.889,-0.360,0.310849,0.342013,0.031164,0.862575,1.125601,0.263027,-0.545991,-0.408974,0.137017,0.081292,0.040626,-0.040666,0.049874,-0.009248,0.040626,0.081292,0,1.270,3.468,6.998,1.057780,249,1.270,5.264,-0.477359,-1.057780,0.089094,248,1.057780,1.432929,2
1,26,3,256,484,229,1911;1916;1919;1925;1979;1983;1964;1966,197.846,236.953,39.106,487.649,501.902,14.254,0.402157,1.672331,1.270174,1.166415,-0.000000,-1.166415,-0.111666,0.000000,0.111666,0.030721,-0.000000,-0.030721,-0.030721,0.000000,-0.030721,-0.000000,1,0.744,42.189,27.161,0.264513,371,20.025,16.366,-0.996660,-0.264513,0.081940,379,0.264513,4.478666,16
1,27,1,239,480,242,1990;1991;2000;1992,195.000,182.912,-12.088,481.478,486.926,5.448,0.000000,-0.356407,-0.356407,-0.409529,-0.000001,0.409528,2.213167,0.000000,-2.213167,-0.163377,-0.000000,0.163377,-0.154406,0.122966,-0.031440,-0.194817,0,1.041,47.168,23.927,1.441807,245,1.117,15.652,-0.010119,1.441807,0.163377,239,1.441807,6.645395,10
1,28,1,238,240,3,2059,195.000,195.079,0.079,480.961,482.153,1.192,0.000000,0.104853,0.104853,0.104162,0.357474,0.253312,3.463976,2.584717,-0.879259,0.200341,0.205773,0.005432,0.006339,-0.000907,0.005432,0.000000,1,2.000,2.094,14.357,0.150135,240,2.094,14.357,-0.061666,-0.150135,0.200341,238,0.150135,0.357474,2
1,28,2,242,245,4,2058,195.250,195.711,0.461,482.903,482.322,-0.581,0.203091,0.259904,0.056813,0.460222,0.901499,0.441277,-0.427593,-0.500070,-0.072476,0.104589,0.022474,-0.082114,-0.050083,0.020405,-0.029679,0.052436,0,2.161,2.190,10.391,0.901499,245,2.190,8.249,-0.500070,-0.901499,0.100443,242,0.901499,1.350872,4
1,28,3,253,480,228,2058;2076;2077;2146;2148,197.506,240.348,42.842,481.957,497.896,15.939,0.304644,1.440005,1.135361,0.836973,0.030098,-0.806874,-0.135587,-0.006443,0.129144,0.021572,-0.000077,-0.021649,-0.021649,0.000000,-0.021649,-0.000000,1,0.992,64.733,31.934,0.252744,447,64.733,0.478,-2.139151,0.252744,0.064150,447,0.252744,4.422493,9
1,29,1,242,244,3,2153;2156;2158;2160,195.000,194.511,-0.489,483.250,481.692,-1.558,0.000000,0.033467,0.033467,-0.750471,-1.589604,-0.839133,-0.596576,-1.066098,-0.469522,0.053775,0.108460,0.054685,0.077250,-0.022565,0.054685,0.000000,1,2.032,12.000,8.838,0.750471,242,12.000,5.858,-11.648145,0.750471,0.053775,242,0.750471,1.589604,3
1,29,2,308,484,177,2161;2162;2166;2168;2178;2232;2233,171.922,171.336,-0.586,498.147,498.153,0.005,1.574759,1.552675,-0.022084,-0.213560,-0.008223,0.205338,-0.081023,-0.000219,0.080804,0.004612,0.000362,-0.004250,-0.004250,0.000000,-0.004250,0.000000,1,4.999,11.000,3.691,1.040723,308,11.000,3.384,-3.146218,-1.040723,0.080969,308,1.040723,4.661594,7
1,30,1,237,238,2,2243,195.000,194.973,-0.027,478.291,478.647,0.356,0.000000,-0.054243,-0.054243,-0.112152,-0.241721,-0.129569,1.478293,1.539638,0.061345,-0.226828,-0.208728,0.018100,0.023217,-0.005117,0.018100,0.000000,1,5.000,5.047,10.165,0.129569,238,5.047,10.165,0.061345,0.129569,0.226828,237,0.129569,0.241721,2
1,30,2,272,512,241,2290;2291;2292;2272;2268;2262;2289;2280;2285;2287;2288,193.044,195.252,2.208,500.644,502.416,1.772,-1.720319,-1.570076,0.150243,-0.398773,-0.048578,0.350195,-0.327023,-0.034204,0.292819,-0.078748,-0.002458,0.076290,0.089887,-0.013597,0.076290,0.000000,1,0.898,28.000,14.133,0.437086,414,28.000,0.300,-0.972474,0.437086,0.105600,272,0.437086,6.198380,29
