run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,solver_delta_angular_velocity,correction_delta_angular_velocity,total_delta_angular_velocity,decomposition_residual,decomposition_consistent,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
1,1,1,242,244,3,4;5;6;8;13,195.000,196.307,1.307,474.052,472.727,-1.326,0.000000,-0.088007,-0.088007,1.903476,3.053030,1.149554,-0.220617,-0.229877,-0.009260,-0.093713,-0.231547,-0.137834,-0.137168,-0.000667,-0.137834,0.000000,1,1.084,11.000,3.423,1.903476,242,11.000,0.213,-11.184089,-1.903476,0.159026,243,1.903476,3.431373,3
1,1,2,274,275,2,54;90,218.002,218.612,0.610,477.996,477.677,-0.319,-1.733411,-1.767914,-0.034504,2.401414,2.156652,-0.244762,-1.123882,-1.048750,0.075132,-0.135828,-0.115462,0.020366,0.025533,-0.005167,0.020366,0.000000,1,0.981,2.960,6.269,0.335424,274,2.960,6.269,-2.835708,0.335424,0.071738,274,0.335424,0.580187,2
1,1,3,326,484,159,11;24;60;35;47;50,243.615,218.404,-25.211,486.925,498.257,11.332,-3.106511,-4.199803,-1.093292,1.651998,0.000000,-1.651998,1.492971,0.000000,-1.492971,-0.112635,0.000000,0.112635,0.121848,-0.009212,0.112635,0.000000,1,0.286,59.058,40.214,0.348351,330,4.051,14.158,-0.206849,0.348351,0.055255,450,0.348351,5.660422,20
1,2,1,239,241,3,99;111,195.000,195.440,0.440,476.914,476.309,-0.605,0.000000,-0.056078,-0.056078,0.659950,0.900177,0.240227,-0.246209,-0.235333,0.010876,-0.070061,-0.115138,-0.045077,-0.205157,0.000000,-0.205157,-0.160081,0,3.017,6.000,1.380,0.900177,241,3.051,1.380,-0.235333,-0.900177,0.115138,241,0.900177,2.037277,3
1,2,2,286,287,2,96;97,204.739,204.799,0.060,490.722,490.594,-0.127,-1.245559,-1.241107,0.004452,0.235197,0.167300,-0.067897,-0.151689,-0.080276,0.071414,0.017526,0.026156,0.008629,0.008629,0.000000,0.008629,0.000000,1,1.594,2.534,6.034,0.527878,286,2.534,6.034,-2.772674,0.527878,0.115128,286,0.527878,0.595775,2
1,2,3,295,480,186,96;111,205.125,210.960,5.836,490.907,493.239,2.332,-1.190177,-0.964344,0.225833,0.262969,-0.000002,-0.262970,0.158260,-0.000003,-0.158262,0.021738,-0.000000,-0.021738,-0.021738,0.000000,-0.021738,0.000000,1,1.671,48.256,32.537,0.173262,333,48.256,9.679,-0.057108,0.173262,0.033215,332,0.173262,1.497451,6
1,3,1,244,247,4,186;189;184;193,195.000,194.874,-0.126,488.221,487.017,-1.204,0.000000,-0.068989,-0.068989,-0.195460,-0.100998,0.094462,3.019206,-0.108678,-3.127884,-0.262879,-0.002889,0.259990,-0.002889,0.000000,-0.002889,-0.262879,0,6.054,60.133,34.510,0.195460,244,8.000,15.312,-8.084354,0.195460,0.262879,244,0.195460,0.289922,3
1,3,2,251,484,234,184;186,194.772,195.687,0.916,486.955,488.230,1.275,-0.071907,-0.037783,0.034125,-0.074168,-0.000000,0.074168,0.091130,-0.000003,-0.091133,0.002392,0.000000,-0.002392,-0.002392,0.000000,-0.002392,-0.000000,1,6.035,59.071,35.436,0.049732,267,59.070,9.035,-0.592964,0.049732,0.015128,267,0.049732,0.776781,4
1,4,1,238,480,243,272;280;309;273;322,195.000,236.320,41.320,476.529,498.871,22.343,0.000000,1.079182,1.079182,0.269946,-0.000009,-0.269954,-0.057482,0.000003,0.057485,0.037194,-0.000000,-0.037194,-0.037194,0.000000,-0.037194,-0.000000,1,0.509,64.411,37.179,0.353287,241,5.014,2.582,0.000238,-0.353287,0.101049,410,0.353287,5.655884,15
1,5,1,238,239,2,327,195.000,194.968,-0.032,480.386,480.760,0.374,0.000000,-0.061172,-0.061172,-0.126928,-0.272431,-0.145503,1.398943,1.464426,0.065482,-0.240813,-0.218816,0.021997,0.027819,-0.005822,0.021997,0.000000,1,5.000,5.052,9.814,0.145503,239,5.052,9.814,0.065482,0.145503,0.240813,238,0.145503,0.272431,2
1,5,2,249,250,2,325,194.303,194.191,-0.112,484.931,484.844,-0.087,-0.594954,-0.634399,-0.039445,-0.440293,-0.797952,-0.357659,-0.419636,-0.347197,0.072438,-0.155281,-0.095196,0.060085,0.060085,0.000000,0.060085,0.000000,1,3.009,3.045,1.310,0.357659,250,3.009,0.066,0.072438,0.357659,0.060085,250,0.357659,0.534520,2
1,5,3,291,532,242,360;402;403;404;408;382;392,186.608,173.955,-12.653,495.695,499.141,3.445,-1.539054,-1.988507,-0.449453,-1.180662,0.000000,1.180662,0.131496,-0.000000,-0.131496,-0.053644,-0.000000,0.053644,0.053644,0.000000,0.053644,-0.000000,1,0.000,41.627,26.412,0.494259,291,7.996,5.839,-2.158619,0.494259,0.061926,326,0.494259,2.951522,15
