run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,solver_delta_angular_velocity,correction_delta_angular_velocity,total_delta_angular_velocity,decomposition_residual,decomposition_consistent,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
1,6,1,241,242,2,416;428;432,195.000,194.908,-0.092,479.235,478.316,-0.919,0.000000,-0.016005,-0.016005,-0.360422,-0.620174,-0.259752,-1.178320,-1.102979,0.075340,-0.063008,-0.031345,0.031662,0.031662,0.000000,0.031662,0.000000,1,11.015,35.000,9.905,0.360422,241,35.000,0.422,-12.187665,0.360422,0.063008,241,0.360422,0.620174,2
1,6,2,273,516,244,428;432;419,190.369,148.225,-42.144,475.944,486.759,10.815,-0.245442,-1.269167,-1.023725,-0.557707,-1.492881,-0.935175,-0.066418,0.246887,0.313304,-0.010350,-0.043037,-0.032687,-0.032687,0.000000,-0.032687,-0.000000,1,0.243,30.412,27.783,0.050161,499,30.412,13.407,-1.320762,-0.050161,0.017641,273,0.050161,3.098836,5
1,7,1,237,239,3,477;483;488,195.000,195.204,0.204,478.235,478.339,0.105,0.000000,0.079824,0.079824,0.324101,0.723753,0.399652,2.563451,2.212027,-0.351425,0.170832,0.156297,-0.014535,-0.030109,0.015574,-0.014535,0.000000,1,2.073,5.000,16.513,0.324101,237,5.000,12.603,-8.445939,-0.324101,0.170832,237,0.324101,0.723753,3
1,7,2,245,249,5,480,196.286,197.327,1.041,481.573,480.500,-1.073,0.313495,0.387525,0.074030,0.765059,1.386019,0.620960,-0.473019,-0.678035,-0.205016,0.097324,0.042020,-0.055305,-0.085853,0.030548,-0.055305,0.000000,1,3.155,3.162,14.202,0.224071,247,3.160,12.458,0.074259,-0.224071,0.056041,245,0.224071,0.675842,3
1,7,3,253,488,236,480;573;574;481,198.666,255.778,57.112,480.028,494.165,14.137,0.428122,1.963236,1.535115,1.405093,-0.000000,-1.405093,-0.418470,0.000000,0.418470,0.036695,-0.000000,-0.036695,-0.036695,0.000000,-0.036695,-0.000000,1,0.843,46.234,25.727,0.192849,421,0.921,25.235,-0.083082,0.192849,0.062225,418,0.192849,4.648767,13
1,8,1,241,243,3,581;582;584,195.000,195.150,0.150,480.838,482.611,1.773,0.000000,0.104348,0.104348,0.225666,0.497327,0.271661,5.779164,5.331323,-0.447841,0.197375,0.201676,0.004301,0.004301,0.000000,0.004301,0.000000,1,2.093,6.000,29.567,0.225666,241,6.000,24.468,-5.250481,-0.225666,0.197375,241,0.225666,0.497327,3
1,8,2,251,252,2,607;617;632;642;645;646,196.126,196.424,0.299,493.321,492.750,-0.571,0.499977,0.520881,0.020903,1.248544,1.467009,0.218465,-1.624445,-1.551931,0.072515,0.087412,0.073561,-0.013850,-0.013850,0.000000,-0.013850,0.000000,1,2.730,24.662,9.995,0.764162,251,24.662,2.316,-7.299030,-0.764162,0.109015,251,0.764162,0.982627,2
1,8,3,289,492,204,631;630;647;618,209.076,224.991,15.915,490.220,495.023,4.802,1.155272,1.619555,0.464284,1.382362,0.000000,-1.382362,0.261788,-0.000000,-0.261788,0.063983,0.000000,-0.063983,-0.063983,0.000000,-0.063983,-0.000000,1,0.915,46.043,28.552,0.189308,368,46.043,6.666,-0.729444,-0.189308,0.054192,322,0.189308,3.299926,11
1,9,1,240,246,7,652;654;656;670,195.000,195.838,0.838,479.795,486.586,6.791,0.000000,0.210511,0.210511,0.176096,1.358583,1.182486,6.950015,1.270055,-5.679960,0.203736,0.157019,-0.046717,0.493548,-0.183050,0.310498,0.357215,0,3.097,34.712,39.680,0.768029,245,3.137,39.680,-0.022589,-0.768029,0.203736,240,0.768029,1.967189,6
1,9,2,258,480,223,682;724;657,199.815,203.927,4.112,491.416,490.770,-0.646,0.670241,0.713550,0.043309,1.615808,-1.378138,-2.993947,-0.898052,0.392184,1.290236,0.106432,-0.044729,-0.151162,-0.151162,0.000000,-0.151162,0.000000,1,0.755,22.014,25.894,0.312130,258,4.052,9.765,-2.865170,-0.312130,0.044241,258,0.312130,4.444775,6
1,10,1,241,243,3,746;742;751,195.000,194.842,-0.158,486.177,485.812,-0.365,0.000000,-0.069564,-0.069564,-0.095553,-0.805334,-0.709781,3.870331,-1.416429,-5.286760,-0.200302,-0.060844,0.139458,0.139458,0.000000,0.139458,0.000000,1,7.053,49.089,23.177,0.430784,242,49.089,4.370,-5.363304,0.430784,0.200302,241,0.430784,0.805334,3
1,10,2,272,512,241,741;742;746,189.303,204.808,15.506,480.486,486.494,6.008,-0.488075,-0.033820,0.454255,-0.748774,-0.005426,0.743348,-0.483808,0.070991,0.554798,-0.035176,0.003610,0.038786,0.038786,0.000000,0.038786,-0.000000,1,0.365,48.034,23.860,0.156014,439,48.032,3.908,-1.020027,0.156014,0.026848,439,0.156014,4.481459,10
