run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,bottom_width_1px,bottom_width_2px,bottom_width_4px,bottom_width_8px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,max_speed,max_angular_velocity,min_angle,max_angle,angle_range,min_x,max_x,x_range,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices
3,27,complete,120,59,60,4.88,2744.433,3.428,6,6,9,12,12,1,10.794,2,1,10.92446,0.02752,-0.354762,0,0.354762,165.887,195,29.113,,0,1,66,132,66,70,66
3,28,complete,120,59,60,3.352,665.675,2.082,3,3,4,5,30,3,-9.773,4,2,10.92545,0.052421,0,0.710581,0.710581,195,232.955,37.95500000000001,,0,1,92,184,92,95,80
3,29,complete,120,59,60,4.632,1624.548,2.816,3,3,12,16,22,2,8.858,2,1,10.92523,0.051286,-0.657865,0,0.657865,149.2,195,45.80000000000001,,0,1,83,166,83,91,70
3,30,complete,120,59,60,3.614,888.625,5.169,11,11,11,12,12,11,6.887,4,2,10.92446,0.067538,-0.862877,0,0.862877,147.436,195,47.56399999999999,,0,1,61,122,61,63,64
3,31,complete,120,59,60,3.292,592.235,0.868,7,7,9,10,20,4,-7.363,2,1,10.92446,0.128637,0,1.468021,1.468021,195,223.221,28.221000000000004,,0,1,58,116,58,65,67
3,32,complete,121,60,60,2.092,204.507,2.907,1,1,2,3,4,26,-6.641,16,8,11.04066,0.301768,-0.730874,0,0.730874,183.566,212.249,28.682999999999993,,0,1,65,130,65,69,61
3,33,complete,121,60,60,4.174,3360.447,4.337,18,18,20,22,23,21,-12.937,10,5,11.04065,0.023058,0,0.467442,0.467442,195,213.514,18.51400000000001,,0,1,60,120,60,61,58
3,34,complete,121,60,60,5.678,3952.389,3.007,18,18,20,29,38,35,-5.645,24,12,11.03382,0.032138,0,0.332155,0.332155,195,208.26,13.259999999999991,,0,1,74,148,74,79,73
3,35,complete,122,61,60,3.648,4219.988,2.161,14,14,18,47,60,14,6.288,4,2,11.14841,0.017181,-0.155,0,0.155,191.07,195,3.930000000000007,,0,1,38,76,38,38,48
3,36,complete,120,59,60,4.756,2213.019,1.122,5,5,5,13,18,5,-19.524,4,2,10.9251,0.029145,0,0.784697,0.784697,195,229.58,34.58000000000001,,0,1,63,126,63,63,48
3,37,complete,120,59,60,3.776,957.905,2.374,13,13,14,23,27,14,15.43,8,4,10.9251,0.050531,-0.663648,0,0.663648,119.683,195,75.317,,0,1,71,142,71,83,62
