piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,bottom_width_1px,bottom_width_2px,bottom_width_4px,bottom_width_8px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices,pre_velocity_x,pre_velocity_y,pre_angular_velocity,delta_velocity_x,delta_velocity_y,delta_angular_velocity,collision_normal_x,collision_normal_y,collision_depth,collision_separation,collision_pair_count,collision_contact_count,collision_support_count,collision_contact_part_count,collision_contact_min_x,collision_contact_max_x,collision_contact_mean_x,collision_contact_center_offset_px
"37","falling","0","30.0","","195.000","96.616","0.00000","0.54390","0.54390","0.000000","0.000000","0","0","3.77600","957.905","2.374","13.000","13.000","14.000","23.000","27.000","0.000","0.000","0","0","1.5385","71","142","71","83","62","0.00000","0.00000","0.000000","0.00000","0.54390","0.000000","","","","","0","0","0","0","","","",""
"37","falling","1","33.0","","195.000","96.683","0.00000","0.57624","0.57624","0.000000","0.000000","0","0","3.77600","957.905","2.374","13.000","13.000","14.000","23.000","27.000","0.000","0.000","0","0","1.5385","71","142","71","83","62","0.00000","0.54390","0.000000","0.00000","0.03233","0.000000","","","","","0","0","0","0","","","",""
"37","falling","2","49.0","","195.000","97.445","0.00000","0.84918","0.84918","0.000000","0.000000","0","0","3.77600","957.905","2.374","13.000","13.000","14.000","23.000","27.000","0.000","0.000","0","0","1.5385","71","142","71","83","62","0.00000","0.57624","0.000000","0.00000","0.27295","0.000000","","","","","0","0","0","0","","","",""
"37","falling","3","66.0","","195.000","98.483","0.00000","1.11798","1.11798","0.000000","0.000000","0","0","3.77600","957.905","2.374","13.000","13.000","14.000","23.000","27.000","0.000","0.000","0","0","1.5385","71","142","71","83","62","0.00000","0.84918","0.000000","0.00000","0.26879","0.000000","","","","","0","0","0","0","","","",""
"37","falling","4","83.0","","195.000","99.793","0.00000","1.38268","1.38268","0.000000","0.000000","0","0","3.77600","957.905","2.374","13.000","13.000","14.000","23.000","27.000","0.000","0.000","0","0","1.5385","71","142","71","83","62","0.00000","1.11798","0.000000","0.00000","0.26470","0.000000","","","","","0","0","0","0","","","",""
"37","falling","5","99.0","","195.000","101.268","0.00000","1.62811","1.62811","0.000000","0.000000","0","0","3.77600","957.905","2.374","13.000","13.000","14.000","23.000","27.000","0.000","0.000","0","0","1.5385","71","142","71","83","62","0.00000","1.38268","0.000000","0.00000","0.24543","0.000000","","","","","0","0","0","0","","","",""
"37","falling","6","116.0","","195.000","103.092","0.00000","1.88505","1.88505","0.000000","0.000000","0","0","3.77600","957.905","2.374","13.000","13.000","14.000","23.000","27.000","0.000","0.000","0","0","1.5385","71","142","71","83","62","0.00000","1.62811","0.000000","0.00000","0.25694","0.000000","","","","","0","0","0","0","","","",""
"37","falling","7","134.0","","195.000","105.045","0.00000","2.12328","2.12328","0.000000","0.000000","0","0","3.77600","957.905","2.374","13.000","13.000","14.000","23.000","27.000","0.000","0.000","0","0","1.5385","71","142","71","83","62","0.00000","1.88505","0.000000","0.00000","0.23823","0.000000","","","","","0","0","0","0","","","",""
"37","falling","8","149.0","","195.000","107.370","0.00000","2.37270","2.37270","0.000000","0.000000","0","0","3.77600","957.905","2.374","13.000","13.000","14.000","23.000","27.000","0.000","0.000","0","0","1.5385","71","142","71","83","62","0.00000","2.12328","0.000000","0.00000","0.24941","0.000000","","","","","0","0","0","0","","","",""
"37","falling","9","166.0","","195.000","109.947","0.00000","2.61831","2.61831","0.000000","0.000000","0","0","3.77600","957.905","2.374","13.000","13.000","14.000","23.000","27.000","0.000","0.000","0","0","1.5385","71","142","71","83","62","0.00000","2.37270","0.000000","0.00000","0.24562","0.000000","","","","","0","0","0","0","","","",""
"37","falling","10","183.0","","195.000","112.598","0.00000","2.84604","2.84604","0.000000","0.000000","0","0","3.77600","957.905","2.374","13.000","13.000","14.000","23.000","27.000","0.000","0.000","0","0","1.5385","71","142","71","83","62","0.00000","2.61831","0.000000","0.00000","0.22773","0.000000","","","","","0","0","0","0","","","",""
"37","falling","11","199.0","","195.000","115.653","0.00000","3.08446","3.08446","0.000000","0.000000","0","0","3.77600","957.905","2.374","13.000","13.000","14.000","23.000","27.000","0.000","0.000","0","0","1.5385","71","142","71","83","62","0.00000","2.84604","0.000000","0.00000","0.23842","0.000000","","","","","0","0","0","0","","","",""
"37","falling","12","216.0","","195.000","118.949","0.00000","3.31925","3.31925","0.000000","0.000000","0","0","3.77600","957.905","2.374","13.000","13.000","14.000","23.000","27.000","0.000","0.000","0","0","1.5385","71","142","71","83","62","0.00000","3.08446","0.000000","0.00000","0.23479","0.000000","","","","","0","0","0","0","","","",""
"37","falling","13","233.0","","195.000","122.266","0.00000","3.53694","3.53694","0.000000","0.000000","0","0","3.77600","957.905","2.374","13.000","13.000","14.000","23.000","27.000","0.000","0.000","0","0","1.5385","71","142","71","83","62","0.00000","3.31925","0.000000","0.00000","0.21769","0.000000","","","","","0","0","0","0","","","",""
"37","falling","14","249.0","","195.000","126.020","0.00000","3.76485","3.76485","0.000000","0.000000","0","0","3.77600","957.905","2.374","13.000","13.000","14.000","23.000","27.000","0.000","0.000","0","0","1.5385","71","142","71","83","62","0.00000","3.53694","0.000000","0.00000","0.22791","0.000000","","","","","0","0","0","0","","","",""
"37","falling","15","266.0","","195.000","130.003","0.00000","3.98928","3.98928","0.000000","0.000000","0","0","3.77600","957.905","2.374","13.000","13.000","14.000","23.000","27.000","0.000","0.000","0","0","1.5385","71","142","71","83","62","0.00000","3.76485","0.000000","0.00000","0.22444","0.000000","","","","","0","0","0","0","","","",""
