run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,landing_dynamic_body_count,landing_other_dynamic_body_ids
2,1,complete,120,59,60,4.348,1775.255,7.415,3,2,1,-0.071559,0,10.93444,0,0,0,0,2.67015,-11.16495,-0.185494,2.6319,1.88837,0.182838,56.81100000000001,20.076999999999998,1.632663,0.9670000000000414,,0,1,88,176,88,91,83,2.174,3.172,1.570796,2.67312,5568;5568,2.174:48.341;3.172:48.270,2.174400;3.171841,1,
2,2,complete,120,59,60,4.144,971.803,3.723,6,2,1,0.007181,0,10.94813,0,0.22188,0,0.006688,0.22188,-10.94838,0.006688,2.15802,1.51876,0.082992,50.71200000000002,20.427999999999997,1.297999,0,,0,1,83,166,83,90,76,-2.914,0.086,1.570796,-1.413939,5653;5653,0.086:44.613;-2.914:44.592,0.086022;-2.913901,1,
2,3,complete,121,60,60,6.218,2680.781,8.535,8,2,1,0,0,11.00932,0,-0.10164,3.28878,0,-0.10164,-7.72054,-0.234538,0.21176,3.28878,0.011465,0.4609999999999843,0.757000000000005,0.058346,0.2599999999999909,,0,1,89,178,89,93,68,12.312,19.312,1.570796,15.811837,5744;5744,19.312:33.303;12.312:33.303,19.311837;12.311837,1,
2,4,complete,120,59,60,2.636,378.793,10.821,9,4,2,0,0,10.89328,0,0.3067,0,0,0.3067,-10.94152,0.040243,1.73255,2.49778,0.068187,40.33099999999999,22.84699999999998,1.110156,0.5009999999999764,,0,1,54,108,54,54,62,-7.444,1.556,1.570796,-2.943854,5799;5799;5800;5800,1.556:43.995;-7.444:43.995;0.556:44.995;-4.444:44.995,1.556146;-7.443854;0.556146;-4.443854,1,
2,5,complete,120,59,60,4.202,918.333,0.519,9,6,3,0,0,10.94813,0,0,0.79246,0,-0.40112,-10.15567,-0.213396,1.818,1.57389,0.152158,46.179,17.75799999999998,2.01973,0,,0,1,84,168,84,91,85,2.874,13.874,1.570796,8.374108,5884;5884;5885;5885;5886;5886,13.874:38.640;2.874:38.640;12.874:39.640;3.874:39.640;9.874:40.640;4.874:40.640,13.874108;2.874108;12.874108;3.874108;9.874108;4.874108,1,
2,6,complete,120,59,60,4.956,1754.612,4.805,35,1,1,0.139073,0,10.99581,0,0,0,0,0.71426,-12.73788,0.130414,1.412,2.59296,0.12843,16.295999999999992,27.451000000000022,1.9746629999999998,5.131000000000029,,0,1,63,126,63,66,67,12.002,12.002,1.570796,12.001675,5949,12.002:43.541,12.001675,1,
2,7,complete,120,59,60,4.74,1831.832,2.853,4,4,2,0,0,10.91394,0,0.20958,2.82975,0,0.20958,-8.08419,0.164113,1.41368,2.82975,0.035264,14.764999999999986,4.435000000000002,0.387969,0,,0,1,102,204,102,107,84,-15.103,-11.103,1.570796,-13.102954,6054;6054;6055;6055,-11.103:42.789;-15.103:42.789;-12.103:43.789;-14.103:43.789,-11.102954;-15.102954;-12.102954;-14.102954,1,
2,8,complete,121,60,60,5.508,2566.696,2.475,5,2,1,0.088581,0,10.99575,0,0,4.94831,0,0.43047,-6.04744,0.175474,1.21003,4.94831,0.040507,21.460000000000008,10.82099999999997,0.704274,0,,0,1,68,136,68,69,57,-30.008,-28.016,1.570796,-29.011829,6125;6125,-28.016:38.861;-30.008:38.684,-28.015750;-30.007908,1,
2,9,complete,120,59,60,5.038,2670.843,2.201,5,3,2,0.051985,0,10.9686,0,0.30352,6.75592,0,0.30352,-4.21268,0.211478,1.83439,6.75592,0.059015,22.858000000000004,11.176999999999964,0.846292,0,,0,1,78,156,78,82,79,-35.824,-31.777,1.570796,-33.800257,6204;6205;6205,-31.777:39.632;-32.828:40.579;-35.824:40.423,-31.776978;-32.827589;-35.823536,1,
2,10,complete,127,66,60,6.51,5147.624,3.157,50,1,1,0.129938,0.71678,0.4588,0.019972,0.56169,-0.07976,0.003511,-0.15509,-0.53856,-0.016461,0.82376,0.64271,0.02796,7.01400000000001,3.916999999999973,0.207615,0.19999999999998863,,0,1,97,194,97,102,84,22.433,22.433,1.570796,22.432962,6304,22.433:38.076,22.432962,1,
