run,piece,transition_index,previous_event_index,next_event_index,previous_end_substep,next_start_substep,gap_substeps,previous_duration_substeps,next_duration_substeps,previous_end_x,next_start_x,delta_x_during_gap,previous_end_y,next_start_y,delta_y_during_gap,previous_end_angle,next_start_angle,delta_angle_during_gap,previous_end_vx,next_start_vx,delta_vx_across_gap,previous_end_vy,next_start_vy,delta_vy_across_gap,previous_end_angular_velocity,next_start_angular_velocity,delta_angular_across_gap,next_start_contact_width_px,next_start_contact_offset_px,previous_max_abs_delta_vx,previous_max_abs_delta_angular,previous_max_delta_vt,loop_class,angular_persistence,linear_persistence
2,24,1,1,2,243,250,6,3,243,194.659,192.677,-1.982,487.906,492.331,4.425,-0.095756,-0.408092,-0.312337,-1.137088,-1.263471,-0.126383,2.265630,-0.768540,-3.034170,-0.179159,-0.121362,0.057798,0.397,7.885,0.509408,0.214850,0.509408,MIXED_RECONTACT_LOOP,0,0
2,25,1,1,2,239,287,47,1,3,195.000,198.930,3.930,478.489,486.576,8.087,0.000000,2.775116,2.775116,0.358630,0.432266,0.073636,-0.982792,-0.517197,0.465595,0.253214,0.095471,-0.157744,0.358,7.095,0.358630,0.253214,0.358630,MIXED_RECONTACT_LOOP,0,0
2,25,2,2,3,289,296,6,3,233,199.207,200.655,1.448,486.289,486.133,-0.156,2.813223,2.842290,0.029067,0.851818,0.775778,-0.076040,-0.371852,-0.107542,0.264310,0.017102,0.022338,0.005236,0.295,4.796,0.224891,0.116772,0.224891,ANGULAR_RECONTACT_LOOP,1,0
