piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,angular_velocity,angle,sleeping,ground_contact,contact_width_px,contact_center_offset_px,contact_points,contact_parts,pre_velocity_x,pre_velocity_y,pre_angular_velocity,delta_velocity_x,delta_velocity_y,delta_angular_velocity,collision_normal_x,collision_normal_y,collision_depth,collision_separation,collision_pair_count,collision_contact_count,collision_support_count,collision_contact_part_count
16,falling,0,29.0,,195.000,96.616,0.00000,0.54390,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,0.00000,0.000000,0.00000,0.54390,0.000000,,,,,0,0,0,0
16,falling,1,32.0,,195.000,96.719,0.00000,0.59239,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,0.54390,0.000000,0.00000,0.04848,0.000000,,,,,0,0,0,0
16,falling,2,49.0,,195.000,97.497,0.00000,0.86509,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,0.59239,0.000000,0.00000,0.27270,0.000000,,,,,0,0,0,0
16,falling,3,66.0,,195.000,98.551,0.00000,1.13364,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,0.86509,0.000000,0.00000,0.26855,0.000000,,,,,0,0,0,0
16,falling,4,83.0,,195.000,99.789,0.00000,1.38263,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,1.13364,0.000000,0.00000,0.24899,0.000000,,,,,0,0,0,0
16,falling,5,99.0,,195.000,101.366,0.00000,1.64331,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,1.38263,0.000000,0.00000,0.26068,0.000000,,,,,0,0,0,0
16,falling,6,116.0,,195.000,103.206,0.00000,1.90002,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,1.64331,0.000000,0.00000,0.25671,0.000000,,,,,0,0,0,0
16,falling,7,133.0,,195.000,105.173,0.00000,2.13804,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,1.90002,0.000000,0.00000,0.23802,0.000000,,,,,0,0,0,0
16,falling,8,149.0,,195.000,107.513,0.00000,2.38723,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,2.13804,0.000000,0.00000,0.24919,0.000000,,,,,0,0,0,0
16,falling,9,166.0,,195.000,110.105,0.00000,2.63262,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,2.38723,0.000000,0.00000,0.24540,0.000000,,,,,0,0,0,0
16,falling,10,183.0,,195.000,112.945,0.00000,2.87429,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,2.63262,0.000000,0.00000,0.24166,0.000000,,,,,0,0,0,0
16,falling,20,350.0,,195.000,152.944,0.00000,5.04909,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,4.85338,0.000000,0.00000,0.19572,0.000000,,,,,0,0,0,0
16,falling,30,516.0,,195.000,213.442,0.00000,6.93204,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,6.75306,0.000000,0.00000,0.17898,0.000000,,,,,0,0,0,0
16,falling,40,683.0,,195.000,291.422,0.00000,8.55176,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,8.39780,0.000000,0.00000,0.15396,0.000000,,,,,0,0,0,0
16,falling,50,850.0,,195.000,384.441,0.00000,9.94505,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,9.81261,0.000000,0.00000,0.13244,0.000000,,,,,0,0,0,0
16,falling,59,1000.0,,195.000,479.073,0.00000,11.02965,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,10.91396,0.000000,0.00000,0.11568,0.000000,,,,,0,0,0,0
16,falling,60,1017.0,,195.000,490.396,0.00000,11.14357,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,11.02965,0.000000,0.00000,0.11392,0.000000,,,,,0,0,0,0
