run,piece,compound_mode,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,narrow_landing_correction_latched,narrow_landing_contact_width_latched_px,narrow_landing_contact_source_latched,narrow_landing_contact_offset_latched_px,narrow_landing_angular_before_latched,narrow_landing_angular_delta_latched,narrow_landing_angular_after_latched,narrow_landing_correction_applied_latched,first_ground_contact_substep,first_ground_contact_vx_before,first_ground_contact_vx_after,first_ground_contact_delta_vx,first_ground_contact_vy_before,first_ground_contact_vy_after,first_ground_contact_delta_vy,first_ground_contact_angular_before,first_ground_contact_angular_after,first_ground_contact_delta_angular,first_ground_contact_delta_x,first_ground_contact_delta_y,first_ground_contact_width_px,first_ground_contact_offset_px,first_ground_contact_source,max_ground_delta_vx,max_ground_delta_vx_before,max_ground_delta_vx_after,max_ground_delta_vy,max_ground_delta_angular,max_ground_delta_vx_substep,max_ground_delta_vx_contact_width_px,max_ground_delta_vx_contact_offset_px,max_ground_delta_vx_contact_source,first_ground_response_normal_x,first_ground_response_normal_y,first_ground_response_normal_angle_rad,first_ground_response_tangent_x,first_ground_response_tangent_y,first_ground_response_depth,first_ground_response_separation,first_ground_response_friction,first_ground_response_friction_static,first_ground_response_delta_vn,first_ground_response_delta_vt,first_ground_response_linear_impulse_normal_proxy,first_ground_response_linear_impulse_tangent_proxy,first_ground_response_angular_impulse_proxy,first_ground_response_pair_count,first_ground_response_contact_count,first_ground_response_support_count,first_ground_response_pair_id,max_ground_response_normal_x,max_ground_response_normal_y,max_ground_response_normal_angle_rad,max_ground_response_tangent_x,max_ground_response_tangent_y,max_ground_response_depth,max_ground_response_separation,max_ground_response_friction,max_ground_response_friction_static,max_ground_response_delta_vn,max_ground_response_delta_vt,max_ground_response_linear_impulse_normal_proxy,max_ground_response_linear_impulse_tangent_proxy,max_ground_response_angular_impulse_proxy,max_ground_response_pair_count,max_ground_response_contact_count,max_ground_response_support_count,max_ground_response_pair_id
3,11,intermediate,complete,121,60,60,7.92,8547.864,7.191,25,2,1,-0.000473,0,11.05659,0,-0.04397,0.0011,-0.001062,-0.04397,-11.05549,-0.001062,0.04397,0.00114,0.001062,0.12999999999999545,0.012000000000000455,0.003041,0.008999999999957708,,0,1,78,156,78,80,67,-6.979,9.021,1.570796,1.021246,6322;6322,-6.979:36.375;9.021:36.368,-6.978753;9.021245,,,,,,,,0,242,0.000000,-0.062573,-0.062573,11.085129,-0.009157,-11.094285,0.000000,-0.001521,-0.001521,0.000000,1.105489,28.000,0.004,geometry-edge,-0.062573,0.000000,-0.062573,-11.094285,-0.001521,242,28.000,0.004,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,2.753969,,0.350000,1.000000,-11.094285,0.062573,-87.866741,0.495580,-13.002176,3,6,6,4v6:4vm,0.000000,1.000000,1.570796,-1.000000,0.000000,2.753969,,0.350000,1.000000,-11.094285,0.062573,-87.866741,0.495580,-13.002176,3,6,6,4v6:4vm
3,12,intermediate,complete,122,61,60,3.718,2601.283,4.837,6,1,1,0.078327,0,11.1369,0,0,1.82919,0,0.85777,-9.30772,0.101139,1.09512,1.82919,0.04686,8.780999999999977,5.864999999999952,0.31644700000000003,0,,0,1,65,130,65,66,71,-17.987,-17.987,1.570796,-17.987105,6395,-17.987:28.180,-17.987105,0.500000,4.000,geometry-edge,17.727,0.000000,0.197154,0.098577,1,245,0.000000,0.097471,0.097471,11.136904,3.122124,-8.014780,0.000000,0.098577,0.098577,0.000000,1.800189,4.000,17.727,geometry-edge,1.429641,0.000000,1.429641,0.020014,0.029938,253,4.109,22.146,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,0.903046,,0.350000,1.000000,-8.014780,-0.097471,-29.798952,-0.362399,256.426529,1,2,2,4xe:4xn,0.000000,1.000000,1.570796,-1.000000,0.000000,0.042080,,0.350000,1.000000,0.020014,-1.429641,0.074414,-5.315405,77.877684,1,1,2,4xe:4xn
3,13,intermediate,complete,122,61,60,4.536,3981.248,4.575,14,4,2,-0.004772,0,11.20976,0,-0.15532,0.00002,-0.00663,-0.15532,-11.20974,-0.00663,0.29057,0.13005,0.012591,4.828000000000003,0.4449999999999932,0.197324,0.008000000000038199,120,1,0,57,114,57,60,65,0.003,7.003,1.570796,3.502698,6455;6455;6456;6456,0.003:23.489;2.003:23.479;5.003:23.465;7.003:23.455,0.002738;2.002715;5.002681;7.002658,,,,,,,,0,245,0.000000,-0.159773,-0.159773,11.209760,-0.038253,-11.248013,0.000000,-0.006631,-0.006631,0.000000,1.177134,25.000,6.391,geometry-edge,-0.159773,0.000000,-0.159773,-11.248013,-0.006631,245,25.000,6.391,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,2.293523,,0.350000,1.000000,-11.248013,0.159773,-51.020988,0.724728,-26.398031,4,8,8,4z9:4zb,0.000000,1.000000,1.570796,-1.000000,0.000000,2.293523,,0.350000,1.000000,-11.248013,0.159773,-51.020988,0.724728,-26.398031,4,8,8,4z9:4zb
3,14,intermediate,complete,121,60,60,7.566,7101.376,6.276,25,4,2,0,0,11.00935,0,0,0,0,0.58473,-11.10847,0.017502,0.6022,0.09464,0.015217,11.620000000000005,1.0409999999999968,0.320855,1.0409999999999968,,0,1,71,142,71,80,78,-18.596,6.404,1.570796,-6.095691,6530;6530;6534;6534,4.404:34.931;-15.596:34.931;6.404:33.931;-18.596:33.931,4.404309;-15.595691;6.404309;-18.595691,,,,,,,,0,244,0.000000,0.584735,0.584735,11.090153,-0.099120,-11.189273,0.000000,0.017502,0.017502,0.000000,1.544841,25.000,6.096,geometry-edge,0.584735,0.000000,0.584735,-11.189273,0.017502,244,25.000,6.096,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,1.647213,,0.350000,1.000000,-11.189273,-0.584735,-84.658037,-4.424105,124.291370,2,4,4,50w:51e,0.000000,1.000000,1.570796,-1.000000,0.000000,1.647213,,0.350000,1.000000,-11.189273,-0.584735,-84.658037,-4.424105,124.291370,2,4,4,50w:51e
3,15,intermediate,complete,120,59,60,5.814,3593.304,4.465,13,4,2,0,0,10.9686,0,-0.23072,2.308,0,-0.23072,-8.66061,-0.200277,1.80622,2.78324,0.175666,53.293000000000006,10.516999999999996,2.376073,0,,0,1,55,110,55,55,49,10.756,23.756,1.570796,17.255934,6594;6594;6595;6595,23.756:37.932;10.756:37.932;23.756:36.932;11.756:36.932,23.755934;10.755934;23.755934;11.755934,0.022794,6.289,geometry-edge,6.279,-0.171673,0.051523,-0.121325,1,240,0.000000,-0.230716,-0.230716,11.054907,2.307997,-8.746910,0.000000,-0.200277,-0.200277,0.000000,2.037353,13.000,17.256,geometry-edge,-0.510522,-0.576196,-1.086718,-3.932263,0.050348,251,6.289,6.279,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,1.314429,,0.350000,1.000000,-8.746910,0.230716,-50.854534,1.341383,-719.654704,2,4,4,52x:536,0.000000,1.000000,1.570796,-1.000000,0.000000,0.975571,,0.350000,1.000000,-3.932263,0.510522,-22.862176,2.968176,180.916197,3,4,6,52x:53z
