run,piece,compound_mode,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,narrow_landing_correction_latched,narrow_landing_contact_width_latched_px,narrow_landing_contact_source_latched,narrow_landing_contact_offset_latched_px,narrow_landing_angular_before_latched,narrow_landing_angular_delta_latched,narrow_landing_angular_after_latched,narrow_landing_correction_applied_latched,first_ground_contact_substep,first_ground_contact_vx_before,first_ground_contact_vx_after,first_ground_contact_delta_vx,first_ground_contact_vy_before,first_ground_contact_vy_after,first_ground_contact_delta_vy,first_ground_contact_angular_before,first_ground_contact_angular_after,first_ground_contact_delta_angular,first_ground_contact_delta_x,first_ground_contact_delta_y,first_ground_contact_width_px,first_ground_contact_offset_px,first_ground_contact_source,max_ground_delta_vx,max_ground_delta_vx_before,max_ground_delta_vx_after,max_ground_delta_vy,max_ground_delta_angular,max_ground_delta_vx_substep,max_ground_delta_vx_contact_width_px,max_ground_delta_vx_contact_offset_px,max_ground_delta_vx_contact_source,first_ground_response_normal_x,first_ground_response_normal_y,first_ground_response_normal_angle_rad,first_ground_response_tangent_x,first_ground_response_tangent_y,first_ground_response_depth,first_ground_response_separation,first_ground_response_friction,first_ground_response_friction_static,first_ground_response_delta_vn,first_ground_response_delta_vt,first_ground_response_linear_impulse_normal_proxy,first_ground_response_linear_impulse_tangent_proxy,first_ground_response_angular_impulse_proxy,first_ground_response_pair_count,first_ground_response_contact_count,first_ground_response_support_count,first_ground_response_pair_id,max_ground_response_normal_x,max_ground_response_normal_y,max_ground_response_normal_angle_rad,max_ground_response_tangent_x,max_ground_response_tangent_y,max_ground_response_depth,max_ground_response_separation,max_ground_response_friction,max_ground_response_friction_static,max_ground_response_delta_vn,max_ground_response_delta_vt,max_ground_response_linear_impulse_normal_proxy,max_ground_response_linear_impulse_tangent_proxy,max_ground_response_angular_impulse_proxy,max_ground_response_pair_count,max_ground_response_contact_count,max_ground_response_support_count,max_ground_response_pair_id
2,1,intermediate,complete,120,59,60,4.348,1775.255,7.415,3,2,1,0,0,10.85883,0,0.09574,0.00276,0.009756,0.09574,-10.85607,0.009756,1.23531,0.44291,0.028496,30.401999999999987,4.628999999999962,0.6389,0,,0,1,88,176,88,91,83,-1.287,-0.287,1.570796,-0.787489,6;6,-0.287:48.373;-1.287:48.373,-0.287489;-1.287489,,,,,,,,0,240,0.000000,0.095741,0.095741,10.941262,0.002764,-10.938498,0.000000,0.009756,0.009756,0.000000,2.177649,1.000,0.787,geometry-edge,-0.147607,1.230230,1.082623,-0.715246,-0.013042,434,33.120,1.321,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,0.478800,,0.350000,1.000000,-10.938498,-0.095741,-47.560591,-0.416284,17.319484,1,2,2,2:6,0.000000,1.000000,1.570796,-1.000000,0.000000,0.131747,,0.350000,1.000000,-0.715246,0.147607,-3.109891,0.641796,-23.153528,2,2,4,2:3
2,2,intermediate,complete,120,59,60,4.144,971.803,3.723,6,4,2,0,0,10.91394,0,0,0,0,0.66154,-11.16097,-0.070312,0.87973,2.49822,0.111635,17.638000000000005,17.012999999999977,1.221669,0.6759999999999877,,0,1,83,166,83,90,76,-3.594,2.406,1.570796,-0.593629,98;98;110;110,0.406:44.611;-2.594:44.611;2.406:43.611;-3.594:43.611,0.406371;-2.593629;2.406371;-3.593629,0.087995,1.627,geometry-edge,6.326,-0.095382,0.094876,-0.008855,1,240,0.000000,0.661541,0.661541,11.000870,-0.247024,-11.247894,0.000000,-0.070312,-0.070312,0.000000,0.658375,6.000,0.594,geometry-edge,1.140275,0.000000,1.140275,-0.303612,-0.160637,241,3.017,0.306,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,2.679679,,0.350000,1.000000,-11.247894,-0.661541,-46.611274,-2.741424,-68.328926,2,4,4,2k:2q,0.000000,1.000000,1.570796,-1.000000,0.000000,0.520019,,0.350000,1.000000,-0.303612,-1.140275,-1.258168,-4.725300,-156.107193,1,2,2,2k:2q
2,3,intermediate,complete,121,60,60,6.218,2680.781,8.535,8,2,1,0,0,11.00933,0,-0.09004,3.29263,0,-0.09004,-7.7167,-0.235041,0.32893,3.29263,0.009188,1.1069999999999993,0.7980000000000018,0.059226,0.2909999999999968,,0,1,89,178,89,93,68,12.312,19.312,1.570796,15.811837,185;185,19.312:33.303;12.312:33.303,19.311837;12.311837,0.112623,7.000,geometry-edge,15.812,0.000000,-0.264871,-0.235041,1,244,0.000000,-0.090038,-0.090038,11.090134,3.292629,-7.797506,0.000000,-0.235041,-0.235041,0.000000,2.677578,7.000,15.812,geometry-edge,-0.090627,0.264006,0.173379,-0.044130,0.003192,262,59.071,8.992,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,0.014472,,0.350000,1.000000,-7.797506,0.090038,-48.484891,0.559857,-630.092794,1,2,2,4x:55,0.000000,1.000000,1.570796,-1.000000,0.000000,0.058143,,0.350000,1.000000,-0.044130,0.090627,-0.274403,0.563517,8.556454,2,2,4,4x:55
2,4,intermediate,complete,120,59,60,2.636,378.793,10.821,9,1,1,0.027418,0,10.94815,0,0,0.0021,0.009391,0.36918,-10.94605,0.009391,1.74,2.59869,0.070329,42.476,22.841000000000008,1.081404,0,,0,1,54,108,54,54,62,-0.678,-0.678,1.570796,-0.677589,272,-0.678:44.994,-0.677589,,,,,,,,0,238,0.000000,0.132443,0.132443,10.975400,-0.046725,-11.022126,0.000000,0.084055,0.084055,0.000000,2.251002,5.000,1.944,geometry-edge,0.386864,0.000000,0.386864,0.006396,-0.005663,241,5.028,3.269,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,0.413611,,0.350000,1.000000,-11.022126,-0.132443,-29.054323,-0.349121,31.839446,1,2,2,7g:7k,0.000000,1.000000,1.570796,-1.000000,0.000000,0.041826,,0.350000,1.000000,0.006396,-0.386864,0.016859,-1.019773,-2.145099,1,1,2,7g:7k
2,5,intermediate,complete,131,70,60,4.202,918.333,0.519,9,1,1,-2.069033,-0.58723,2.24772,-0.151752,-0.5428,0.85656,-0.094905,0.04443,-1.39116,0.056847,0.92193,1.03844,0.094905,7.027999999999992,5.2479999999999905,0.26017500000000005,3.160000000000025,,0,1,84,168,84,91,85,-24.943,-24.943,1.570796,-24.94331,392,-24.943:23.958,-24.943310,0.074191,5.000,geometry-edge,7.374,0.000000,-0.278987,-0.258288,1,239,0.000000,-0.126928,-0.126928,11.019487,1.399166,-9.620322,0.000000,-0.258288,-0.258288,0.000000,2.311375,5.000,7.374,geometry-edge,0.356231,-0.542804,-0.186572,-1.051536,0.026348,285,2.232,26.007,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,0.531409,,0.350000,1.000000,-9.620322,0.126928,-40.424592,0.533352,-237.194876,1,2,2,90:93,0.000000,1.000000,1.570796,-1.000000,0.000000,0.826795,,0.350000,1.000000,-1.051536,-0.356231,-4.418553,-1.496884,24.195840,3,3,6,90:aw
