run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_span_from_com_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_com_distance_px,landing_contact_asymmetry_px,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies
1,1,complete,120,59,60,4.348,1775.255,7.415,3,1,-0.313,2,1,0,0,0,0.97212,-10.9763,-0.093892,1.19989,2.98649,0.091936,13.863000000000028,19.149999999999977,1.022371,0,,0,1,88,176,88,91,83,-0.813,0.187,0.813,1.570796,-0.313099,0.313,0.313,90;90,-0.813:48.383;0.187:48.374,-0.813075;0.186877
1,2,complete,119,58,60,4.144,971.803,3.723,6,3,-1.094,2,1,0.09386,0,0,0.09386,-10.89128,0.031485,2.1589,1.56475,0.085299,48.244,20.43300000000005,1.317744,0.0010000000000331966,,0,1,83,166,83,90,76,-2.594,0.406,2.594,1.570796,-1.093629,1.094,1.094,175;175,0.406:44.611;-2.594:44.611,0.406371;-2.593629
1,3,complete,121,60,60,6.218,2680.781,8.535,8,7,15.812,2,1,-0.14149,3.2687,0,-0.14149,-7.74742,-0.261801,0.32572,3.2687,0.014603,0.8959999999999866,0.93100000000004,0.062559,0.41700000000003,,0,1,89,178,89,93,68,12.312,19.312,19.312,1.570796,15.811837,15.812,15.812,266;266,19.312:33.303;12.312:33.303,19.311837;12.311837
1,4,complete,142,81,60,2.636,378.793,10.821,9,0,-29.776,1,1,1.60343,2.93224,0.102139,0.72581,-1.06134,0.169763,1.60343,3.15547,0.103788,6.027000000000015,4.267000000000053,0.29090499999999997,0,,0,1,54,108,54,54,62,-29.776,-29.776,29.776,1.570796,-29.776386,29.776,29.776,274,-29.776:15.708,-29.776386
1,5,complete,120,59,60,4.202,918.333,0.519,9,4.991,9.749,2,1,0,1.16239,0,-0.64331,-9.80621,-0.188526,1.43376,2.23289,0.185658,23.352000000000004,18.399,1.957387,0,,0,1,84,168,84,91,85,7.253,12.245,12.245,1.570796,9.749112,9.749,9.749,408;408,7.253:40.283;12.245:39.990,7.253431;12.244793
1,6,complete,120,59,60,4.956,1754.612,4.805,35,35,0.422,6,3,0,0,0,-0.51529,-11.70655,-0.056044,1.09508,0.4786,0.032492,20.466999999999985,3.269999999999982,0.346814,3.269999999999982,,0,1,63,126,63,66,67,-17.078,17.922,17.922,1.570796,0.421711,0.422,0.422,471;471;472;472;473;473,17.922:41.457;15.922:41.457;-5.078:41.457;-17.078:41.457;-5.078:42.457;-16.078:42.457,17.921711;15.921711;-5.078289;-17.078289;-5.078289;-16.078289
1,7,complete,120,59,60,4.74,1831.832,2.853,4,4,-13.103,4,2,0,2.71987,0,0.3718,-8.18722,0.232737,0.79186,2.96021,0.20996,10.032999999999987,3.362000000000023,0.617067,0,,0,1,102,204,102,107,84,-15.103,-11.103,15.103,1.570796,-13.102954,13.103,13.103,576;576;577;577,-11.103:42.789;-15.103:42.789;-12.103:43.789;-14.103:43.789,-11.102954;-15.102954;-12.102954;-14.102954
1,8,complete,120,59,60,5.508,2566.696,2.475,5,6,-24.468,6,3,0.31337,5.61898,0,0.31337,-5.33599,0.250968,0.68113,6.00847,0.23613,9.39500000000001,12.175999999999988,0.73647,0,,0,1,68,136,68,69,57,-27.468,-21.468,27.468,1.570796,-24.468046,24.468,24.468,645;645;646;646;647;647,-21.468:39.187;-27.468:39.187;-22.468:40.187;-27.468:40.187;-24.468:41.187;-26.468:41.187,-21.468046;-27.468046;-22.468046;-27.468046;-24.468046;-26.468046
1,9,complete,120,59,60,5.038,2670.843,2.201,5,3,-32.175,2,1,0.07528,7.11815,0,0.07528,-3.80264,0.230268,1.67077,7.29158,0.291622,44.611999999999995,11.516999999999996,2.203176,0,,0,1,78,156,78,82,79,-33.675,-30.675,33.675,1.570796,-32.174672,32.175,32.175,727;727,-30.675:42.230;-33.675:42.230,-30.674672;-33.674672
1,10,complete,125,64,60,6.51,5147.624,3.157,50,0,-8.303,1,1,-0.98763,-0.35228,-0.041691,-0.42783,0.20225,0.023394,1.13579,0.68293,0.041691,20.74000000000001,7.3489999999999895,0.574515,2.8430000000000177,,0,1,97,194,97,102,84,-8.303,-8.303,8.303,1.570796,-8.303087,8.303,8.303,824,-8.303:38.863,-8.303087
