run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_span_from_com_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_com_distance_px,landing_contact_asymmetry_px,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies
1,11,complete,121,60,60,7.92,8547.864,7.191,25,16,1.05,2,1,-0.08275,0,-0.003169,-0.08275,-11.03075,-0.003169,0.08275,0.01925,0.003169,0.17700000000002092,0.04400000000003956,0.0070279999999999995,0.033999999999991815,120,1,0,78,156,78,80,67,-6.95,9.05,9.05,1.570796,1.049773,1.05,1.05,906;906,-6.950:36.381;9.050:36.361,-6.950221;9.049767
1,12,complete,121,60,60,3.718,2601.283,4.837,6,8,-16.727,6,3,0,2.36301,0,0.50903,-8.70702,0.179158,0.85064,2.8508,0.162116,7.419000000000011,6.156999999999982,0.601992,0,,0,1,65,130,65,66,71,-20.727,-12.727,20.727,1.570796,-16.727004,16.727,16.727,971;971;972;972;973;973,-12.727:27.501;-20.727:27.501;-14.727:28.501;-20.727:28.501;-15.727:29.501;-19.727:29.501,-12.727004;-20.727004;-14.727004;-20.727004;-15.727004;-19.727004
1,13,complete,122,61,60,4.536,3981.248,4.575,14,14,3.891,6,3,0,0.02192,0,-0.58841,-11.09482,-0.024894,0.58786,0.36051,0.025492,5.268000000000001,0.8489999999999895,0.225152,0.7549999999999955,,0,1,57,114,57,60,65,-3.109,10.891,10.891,1.570796,3.890653,3.891,3.891,1030;1030;1031;1031;1032;1032,10.891:22.489;-3.109:22.489;1.891:23.489;-0.109:23.489;6.891:23.489;4.891:23.489,10.890653;-3.109347;1.890653;-0.109347;6.890653;4.890653
1,14,complete,121,60,60,7.566,7101.376,6.276,25,20,-5.72,2,1,0,0,0,0.4999,-11.10282,0.015272,0.47978,0.08086,0.014382,10.492000000000019,0.37199999999995725,0.29114799999999996,0.37199999999995725,,0,1,71,142,71,80,78,-15.72,4.28,15.72,1.570796,-5.720158,5.72,5.72,1105;1105,4.280:34.946;-15.720:34.875,4.279778;-15.720095
1,15,complete,120,59,60,5.814,3593.304,4.465,13,13,17.256,4,2,0,2.25101,0,-0.363,-8.71758,-0.200071,1.9605,2.25101,0.062002,67.857,10.432999999999993,2.337626,0,,0,1,55,110,55,55,49,10.756,23.756,23.756,1.570796,17.255934,17.256,17.256,1161;1161;1162;1162,23.756:36.932;11.756:36.932;23.756:37.932;10.756:37.932,23.755934;11.755934;23.755934;10.755934
1,16,complete,124,63,60,3.306,3597.108,6.323,12,0,12.955,1,1,-1.50046,0.8551,-0.066007,0.30272,0.11258,-0.0059,1.50046,0.85774,0.066007,3.3160000000000025,3.0950000000000273,0.14408200000000002,2.3240000000000123,,0,1,49,98,49,49,48,12.955,12.955,12.955,1.570796,12.95495,12.955,12.955,1213,12.955:19.523,12.954950
1,17,complete,122,61,60,5.48,5629.969,2.731,19,10.009,5.497,3,2,0,0.01858,0,-1.01801,-11.09825,-0.037724,1.0118,0.42916,0.038764,11.810000000000002,2.992999999999995,0.432139,2.674000000000035,,0,1,58,116,58,59,60,0.492,10.501,10.501,1.570796,5.496911,5.497,5.497,1272;1273;1273,0.492:25.943;5.502:26.896;10.501:26.848,0.492401;5.501646;10.501422
1,18,complete,144,83,60,3.562,630.087,1.933,18,0,-9.335,1,1,1.84003,0.92418,0.100375,0.63682,-2.95982,0.154181,1.84003,0.92418,0.100375,3.4099999999999966,0.9560000000000173,0.08824399999999999,0.5250000000000341,,0,1,86,172,86,97,82,-9.335,-9.335,9.335,1.570796,-9.335076,9.335,9.335,1303,-9.335:18.458,-9.335076
1,19,complete,120,59,60,4.006,1049.179,2.425,8,7,10.832,2,1,-0.15414,2.28307,0,-0.15414,-8.64458,-0.30318,0.79613,3.69634,0.298568,5.4199999999999875,22.523000000000025,1.796952,0,,0,1,72,144,72,73,59,7.332,14.332,14.332,1.570796,10.831752,10.832,10.832,1435;1435,14.332:41.666;7.332:41.666,14.331752;7.331752
1,20,complete,120,59,60,4.246,1052.603,1.069,5,0,-0.175,1,1,0,0,-0.008748,-0.43424,-10.98481,-0.008748,0.80867,0.22028,0.017738,14.942000000000007,1.447999999999979,0.36110899999999996,0.0009999999999763531,,0,1,122,244,122,127,82,-0.175,-0.175,0.175,1.570796,-0.175298,0.175,0.175,1559,-0.175:42.065,-0.175298
