run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
1,21,1,240,480,241,1562;1563;1589;1590;1604,195.000,195.313,0.313,484.145,483.343,-0.802,0.000000,0.000007,0.000007,-0.377895,-0.000005,0.377890,-0.273647,0.000002,0.273650,-0.010029,-0.000000,0.010029,54.001,59.003,2.286,0.377895,240,59.000,2.192,-11.342014,0.377895,0.010029,240,0.377895,1.980326,4
1,22,1,243,484,242,1616;1641;1640;1638;1639;1656;1663,195.000,151.138,-43.862,485.485,497.359,11.874,0.000000,-1.466999,-1.466999,-0.139038,-1.430955,-1.291917,-0.019018,0.917084,0.936102,-0.017620,-0.061335,-0.043715,0.554,20.540,19.722,0.294501,429,4.946,5.563,0.012551,-0.294501,0.025448,429,0.294501,4.071880,11
1,23,1,247,485,239,1691;1706;1714;1721;1724,195.000,194.308,-0.692,495.153,494.178,-0.976,0.000000,-0.021729,-0.021729,0.199562,0.000003,-0.199559,-0.157837,0.000002,0.157839,0.008145,-0.000000,-0.008145,9.001,57.000,14.881,0.199562,247,57.000,8.598,-11.334365,-0.199562,0.010601,276,0.199562,1.044104,4
1,24,1,244,248,5,1759;1761;1762,195.000,194.316,-0.684,487.068,489.683,2.615,0.000000,-0.209583,-0.209583,-0.295523,-1.323830,-1.028307,3.221025,2.688121,-0.532904,-0.269104,-0.166929,0.102175,2.220,7.000,18.230,0.311786,248,2.372,18.230,-0.109567,0.311786,0.269104,244,0.311786,1.323830,5
1,24,2,252,484,233,1817;1818;1819;1820;1821;1813;1814;1816;1804;1808;1810;1811;1812;1799,192.979,152.013,-40.966,492.574,500.745,8.171,-0.378229,-1.834312,-1.456083,-1.425554,0.000000,1.425554,-0.669251,0.000000,0.669251,-0.097188,0.000000,0.097188,0.369,41.225,25.874,1.304363,253,0.391,8.072,-0.640841,1.304363,0.073083,359,1.304363,5.275734,21
1,25,1,237,237,1,1825;1829;1832,195.000,195.000,0.000,478.487,478.487,0.000,0.000000,0.000000,0.000000,0.317679,0.317679,0.000000,-1.013891,-1.013891,0.000000,0.264676,0.264676,0.000000,16.000,16.000,4.436,0.317679,237,16.000,4.436,-12.023282,-0.317679,0.264676,237,0.317679,0.317679,1
1,25,2,284,284,1,1878,198.418,198.418,0.000,486.109,486.109,0.000,2.847694,2.847694,0.000000,0.423384,0.423384,0.000000,-0.616211,-0.616211,0.000000,0.091141,0.091141,0.000000,0.290,0.290,4.610,0.156145,284,0.290,4.610,-2.703639,-0.156145,0.131510,284,0.156145,0.156145,1
1,25,3,288,290,3,1830,198.846,199.122,0.277,485.664,485.414,-0.250,2.939773,2.963627,0.023854,0.517601,0.691834,0.174233,-0.548768,-0.411731,0.137037,0.060913,0.025004,-0.035910,4.114,4.119,12.601,0.121669,289,4.116,12.098,0.068642,-0.121669,0.029186,288,0.121669,0.273290,1
1,25,4,294,522,229,1830;1878;1863;1869,199.801,172.667,-27.134,485.186,497.314,12.128,2.988151,2.092516,-0.895635,0.681617,-0.630692,-1.312309,-0.168587,-0.287497,-0.118909,0.022333,-0.180911,-0.203244,0.226,30.527,25.638,0.413614,521,3.080,2.233,-0.175747,-0.413614,0.062849,521,0.413614,3.451989,6
