run,piece,event_index,change_index,substep,reason,part_ids,contact_width_px,contact_offset_px,vx_before,vx_after,delta_vx,vy_before,vy_after,delta_vy,angular_before,angular_after,delta_angular,delta_vn,delta_vt,x,angle,cumulative_delta_x,cumulative_delta_angle,contact_points,support_count
1,21,1,1,241,START,1562;1563;1589;1590;1604,59.000,2.192,0.000000,-0.377952,-0.377952,11.070030,-0.273688,-11.343719,0.000000,-0.010030,-0.010030,-11.343719,0.377952,195.000,0.000000,0.000,0.000000,10,10
1,21,1,2,242,PART_CHANGE,1562;1590,59.002,2.286,-0.377952,-0.352247,0.025705,-0.273688,-0.258022,0.015666,-0.010030,-0.009386,0.000644,0.015666,-0.025705,194.904,-0.002548,-0.096,-0.002548,4,4
1,21,1,3,243,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,1590,54.004,0.125,-0.352247,-0.324499,0.027748,-0.258022,-0.232883,0.025139,-0.009386,-0.009080,0.000306,0.025139,-0.027748,194.815,-0.004932,-0.185,-0.004932,1,2
1,21,1,4,276,PART_CHANGE+WIDTH_CHANGE,1562;1590,59.001,2.139,0.375812,0.285931,-0.089881,0.271719,-0.057162,-0.328881,0.009968,0.001791,-0.008177,-0.328881,0.089881,195.061,0.001407,0.061,0.001407,4,4
1,22,1,1,243,START,1616,4.000,1.032,0.000000,-0.156961,-0.156961,11.066387,-0.017667,-11.084053,0.000000,-0.015697,-0.015697,-11.084053,0.156961,195.000,0.000000,0.000,0.000000,2,2
1,22,1,2,405,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,1616;1641,20.546,11.543,-1.177212,-1.200472,-0.023260,0.692384,0.071518,-0.620866,-0.039152,-0.040223,-0.001072,-0.620866,0.023260,175.637,-0.573052,-19.363,-0.573052,2,4
1,22,1,3,406,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,1641,0.550,1.829,-1.200472,-1.235192,-0.034720,0.071518,0.073934,0.002416,-0.040223,-0.036937,0.003286,0.002416,0.034720,175.349,-0.582671,-19.651,-0.582671,1,2
1,22,1,4,424,PART_CHANGE+WIDTH_CHANGE,1637;1641,2.104,6.440,-1.219431,-1.233415,-0.013984,0.295188,0.250783,-0.044406,-0.042411,-0.042674,-0.000263,-0.044406,0.013984,169.918,-0.761977,-25.082,-0.761977,2,4
1,22,1,5,425,PART_CHANGE+WIDTH_CHANGE,1636;1637;1641,3.526,6.048,-1.233415,-1.259200,-0.025784,0.250783,0.206253,-0.044530,-0.042674,-0.041530,0.001144,-0.044530,0.025784,169.605,-0.772817,-25.395,-0.772817,3,6
1,22,1,6,426,PART_CHANGE+WIDTH_CHANGE,1635;1636;1637;1641,4.948,5.648,-1.259200,-1.228435,0.030765,0.206253,0.175918,-0.030334,-0.041530,-0.044810,-0.003280,-0.030334,-0.030765,169.285,-0.783367,-25.715,-0.783367,4,8
