run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,landing_dynamic_body_count,landing_other_dynamic_body_ids
3,21,complete,120,59,60,8.592,8519.244,3.325,59,8,4,0,0,10.97541,0,-0.16709,0,-0.004433,-0.16709,-11.09493,-0.004433,0.16709,0.07615,0.004433,0.17199999999999704,0.6230000000000473,0.00451,0.6230000000000473,,0,1,50,100,50,50,44,-27.308,31.692,1.570796,2.191574,7086;7086;7087;7087;7088;7088;7089;7089,25.692:36.681;-27.308:36.681;31.692:36.681;26.692:36.681;26.692:37.681;-27.308:37.681;31.692:37.681;27.692:37.681,25.691574;-27.308426;31.691574;26.691574;26.691574;-27.308426;31.691574;27.691574,1,
3,22,complete,121,60,60,3.966,1328.128,2.502,5,2,1,-0.018442,0,11.02965,0,0,0,0,0.80316,-11.06303,-0.103769,1.51418,1.03632,0.070857,54.02099999999999,14.37299999999999,2.038329,0,,0,1,67,134,67,70,54,-0.313,3.686,1.570796,1.68672,7158;7158,-0.313:35.551;3.686:35.477,-0.312940;3.686380,1,
3,23,complete,121,60,60,3.404,1817.289,0.999,56,5,3,-0.055276,0,11.09686,0,0,0,-0.014729,-0.40885,-11.92048,-0.014729,0.64258,1.113,0.018282,5.025000000000006,4.994000000000028,0.067858,4.646000000000015,,0,1,71,142,71,78,70,-35.656,11.382,1.570796,-12.137008,7231;7226;7226;7229;7229,11.382:26.482;-35.656:27.082;-29.666:26.750;-34.603:28.025;-30.609:27.804,11.382347;-35.656364;-29.665528;-34.602643;-30.608753,1,
3,24,complete,121,60,60,4.054,1448.135,12.846,7,6,3,0,0,11.00925,0,-0.33063,2.63368,0,-0.33063,-8.37558,-0.218322,1.68907,2.63368,0.110912,45.391999999999996,13.677000000000021,1.866283,0,,0,1,66,132,66,67,62,10.557,17.557,1.570796,14.056734,7297;7297;7298;7298;7299;7299,12.557:34.289;10.557:34.289;17.557:33.289;14.557:33.289;16.557:34.289;14.557:34.289,12.556734;10.556734;17.556734;14.556734;16.556734;14.556734,1,
3,25,complete,120,59,60,2.958,422.016,3.375,16,6,3,0,0,10.92081,0,0.31621,0,0,0.31621,-11.92904,0.263419,1.06494,1.97701,0.259412,15.676999999999992,11.018000000000029,3.098577,1.6160000000000423,,0,1,85,170,85,88,80,-12.436,3.564,1.570796,-4.435767,7384;7384;7385;7385;7386;7386,-8.436:42.203;-12.436:42.203;3.564:42.203;0.564:42.203;-11.436:43.203;-12.436:43.203,-8.435767;-12.435767;3.564233;0.564233;-11.435767;-12.435767,1,
3,26,complete,120,59,60,4.034,1163.861,2.725,11,2,1,0,0,10.9686,0,0.09,4.34494,0,0.09,-6.62366,0.192682,1.71202,4.34494,0.089102,48.07300000000001,18.34699999999998,1.703968,0,,0,1,76,152,76,82,72,-17.004,-13.004,1.570796,-15.004214,7464;7464,-13.004:37.467;-17.004:37.467,-13.004214;-17.004214,1,
3,27,complete,120,59,60,4.88,2744.433,3.428,6,2,1,-0.033366,0,10.97541,0,0,1.39091,0,-0.70031,-9.58449,-0.117039,1.39799,1.39091,0.041707,14.933999999999997,5.75,0.387807,0,,0,1,66,132,66,70,66,11.63,12.629,1.570796,12.129381,7532;7532,11.630:39.848;12.629:39.815,11.629660;12.629103,1,
3,28,complete,121,60,60,3.352,665.675,2.082,3,1,1,0.191218,0,11.02288,0,0.31011,0,0,0.31011,-11.47517,0.149516,1.59274,1.95908,0.063294,37.70600000000002,17.590000000000032,1.2687179999999998,2.7110000000000127,,0,1,92,184,92,95,80,11.722,11.722,1.570796,11.721842,7623,11.722:37.985,11.721842,1,
3,29,complete,121,60,60,4.632,1624.548,2.816,3,1,1,-0.079402,0,11.00933,0,0,1.33828,0,-0.67268,-9.67104,-0.131813,1.8579,1.90614,0.129925,49.61200000000002,11.19599999999997,2.13381,0,,0,1,83,166,83,91,70,10.929,10.929,1.570796,10.928595,7711,10.929:38.279,10.928595,1,
3,30,complete,128,67,60,3.614,888.625,5.169,11,3,2,-1.824756,-0.21497,3.3486,-0.201763,-0.83495,-0.40559,-0.039345,-0.61998,-3.75419,0.162418,0.99852,0.62828,0.052911,12.400000000000006,4.838000000000022,0.6044739999999997,1.9950000000000045,,0,1,61,122,61,63,64,-9.133,-8.165,1.570796,-8.649174,7739;7739;7740,-9.133:21.600;-8.165:21.349;-8.165:21.349,-9.133137;-8.165212;-8.165212,1,
