run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,landing_dynamic_body_count,landing_other_dynamic_body_ids
3,1,complete,120,59,60,4.348,1775.255,7.415,3,2,1,-0.065637,0,10.93444,0,0,0,0,2.58449,-11.1623,-0.179614,2.54518,1.90573,0.176882,51.548,20.12099999999998,1.548415,0.9979999999999905,,0,1,88,176,88,91,83,1.888,2.886,1.570796,2.386994,5568;5568,1.888:48.353;2.886:48.288,1.888070;2.885917,1,
3,2,complete,120,59,60,4.144,971.803,3.723,6,1,1,-0.052986,0,10.95496,0,0,0,0,0.97482,-11.17122,-0.151039,0.95999,2.40275,0.148741,10.042000000000002,15.759000000000015,1.887906,0.06799999999998363,,0,1,83,166,83,90,76,-0.227,-0.227,1.570796,-0.227305,5653,-0.227:44.686,-0.227305,1,
3,3,complete,121,60,60,6.218,2680.781,8.535,8,4,2,0,0,11.02286,0,-0.19514,3.04855,0,-0.19514,-7.97431,-0.252629,0.39001,3.04855,0.011738,1.742999999999995,1.1519999999999868,0.067897,1.117999999999995,,0,1,89,178,89,93,68,11.312,19.312,1.570796,15.311837,5743;5743;5744;5744,19.312:32.303;11.312:32.303;19.312:33.303;12.312:33.303,19.311837;11.311837;19.311837;12.311837,1,
3,4,complete,120,59,60,2.636,378.793,10.821,9,3,2,-0.057224,0,10.94132,0,0,0,0,1.19982,-11.70932,-0.144873,1.25513,2.71109,0.092837,12.431999999999988,35.54599999999999,1.571958,2.2250000000000227,,0,1,54,108,54,54,62,-4.915,3.129,1.570796,-0.893404,5799;5800;5800,-4.915:44.349;-1.863:45.176;3.129:44.890,-4.915453;-1.863171;3.128645,1,
3,5,complete,132,71,60,4.202,918.333,0.519,9,1,1,-2.102573,-0.57882,2.48076,-0.149579,0.22352,0.23022,0.009505,0.80235,-2.25054,0.159084,0.72056,0.85813,0.032399,3.6450000000000102,2.8719999999999573,0.13795200000000007,0,,0,1,84,168,84,91,85,-24.126,-24.126,1.570796,-24.125875,5811,-24.126:24.781,-24.125875,1,
3,6,complete,120,59,60,4.956,1754.612,4.805,35,2,1,-0.042852,0,10.98902,0,0,0,0,2.76692,-13.57316,-0.177382,2.72483,2.6623,0.174683,92.406,32.59800000000001,3.100797,12.504000000000019,,0,1,63,126,63,66,67,-14.245,-3.255,1.570796,-8.749752,5951;5951,-14.245:43.107;-3.255:42.636,-14.244703;-3.254801,1,
3,7,complete,120,59,60,4.74,1831.832,2.853,4,4,2,0,0,10.91394,0,0.2366,2.81327,0,0.2366,-8.10067,0.162564,1.4263,2.81327,0.035093,14.662000000000006,4.434000000000026,0.381657,0,,0,1,102,204,102,107,84,-15.103,-11.103,1.570796,-13.102954,6054;6054;6055;6055,-11.103:42.789;-15.103:42.789;-12.103:43.789;-14.103:43.789,-11.102954;-15.102954;-12.102954;-14.102954,1,
3,8,complete,121,60,60,5.508,2566.696,2.475,5,2,1,0.083778,0,11.00256,0,0,4.96486,0,0.38269,-6.0377,0.177477,1.00198,4.96486,0.036983,18.935000000000002,10.98599999999999,0.602371,0,,0,1,68,136,68,69,57,-29.822,-27.829,1.570796,-28.825236,6125;6125,-27.829:38.995;-29.822:38.828,-27.828743;-29.821728,1,
3,9,complete,120,59,60,5.038,2670.843,2.201,5,4,2,0.03699,0,10.95496,0,0.2864,6.07132,0,0.2864,-4.88364,0.17297,2.00435,6.07132,0.062523,25.445999999999998,11.684000000000026,0.889899,0,,0,1,78,156,78,82,79,-36.176,-31.179,1.570796,-33.677408,6204;6204;6205;6205,-31.179:40.104;-36.176:39.920;-32.215:41.067;-35.213:40.956,-31.179119;-36.175698;-32.215416;-35.213364,1,
3,10,complete,130,69,60,6.51,5147.624,3.157,50,1,1,-0.560201,-1.04012,-0.37472,-0.022297,-0.98938,-0.33217,-0.018143,0.05074,0.04255,0.004154,1.26961,0.73277,0.038616,27.161,9.379999999999995,0.728311,1.839999999999975,,0,1,97,194,97,102,84,-18.307,-18.307,1.570796,-18.306812,6286,-18.307:41.994,-18.306812,1,
