run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,bottom_width_1px,bottom_width_2px,bottom_width_4px,bottom_width_8px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,max_speed,max_angular_velocity,min_angle,max_angle,angle_range,min_x,max_x,x_range,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices
4,1,complete,120,59,60,4.348,1775.255,7.415,3,3,11,12,12,12,0.713,20,10,10.93257,0.062105,-1.063622,0.006662,1.070284,194.256,201.638,7.382000000000005,,0,1,88,176,88,91,83
4,2,complete,120,59,60,4.144,971.803,3.723,6,6,6,7,10,8,-1.594,8,4,10.92482,0.118562,-1.472135,0,1.472135,195,200.988,5.9879999999999995,,0,1,83,166,83,90,76
4,3,complete,121,60,60,6.218,2680.781,8.535,8,8,60,61,61,61,-10.188,18,9,11.04121,0.02499,-0.037955,0.083502,0.12145700000000001,174.829,195.037,20.208,,0,1,89,178,89,93,68
4,4,complete,120,59,60,2.636,378.793,10.821,9,9,10,11,11,11,-3.944,14,7,10.93142,0.110664,-1.805777,0.012499,1.818276,195,205.853,10.853000000000009,,0,1,54,108,54,54,62
4,5,complete,120,59,60,4.202,918.333,0.519,9,9,11,12,16,9,8.374,4,2,10.92459,0.086454,-0.677048,0.013026,0.690074,169.58,195,25.419999999999987,,0,1,84,168,84,91,85
4,6,complete,120,59,60,4.956,1754.612,4.805,35,35,35,37,39,37,1.422,16,8,10.92473,0.06772,-0.081464,0.179171,0.260635,185.917,196.711,10.794000000000011,,0,1,63,126,63,66,67
4,7,complete,119,58,60,4.74,1831.832,2.853,4,4,5,7,12,5,-12.603,6,3,10.89843,0.049701,0,0.343894,0.343894,195,213.343,18.34299999999999,,0,1,102,204,102,107,84
4,8,complete,120,59,60,5.508,2566.696,2.475,5,5,6,10,22,6,-24.468,6,3,10.93156,0.024592,0,0.563013,0.563013,195,208.7,13.699999999999989,,0,1,68,136,68,69,57
4,9,complete,120,59,60,5.038,2670.843,2.201,5,5,7,9,37,8,-32.675,8,4,10.92473,0.027102,0,0.594781,0.594781,195,218.58,23.580000000000013,,0,1,78,156,78,82,79
4,10,complete,120,59,60,6.51,5147.624,3.157,50,50,52,53,55,55,2.677,26,13,11.04235,0.007649,-0.027642,0.007664,0.035306,193.97,195.753,1.782999999999987,,0,1,97,194,97,102,84
