run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,bottom_width_1px,bottom_width_2px,bottom_width_4px,bottom_width_8px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,max_speed,max_angular_velocity,min_angle,max_angle,angle_range,min_x,max_x,x_range,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices
5,1,complete,120,59,60,4.348,1775.255,7.415,3,3,11,12,12,12,0.713,20,10,10.92544,0.070807,-0.759636,0.043441,0.8030769999999999,194.759,201.253,6.494,,0,1,88,176,88,91,83
5,2,complete,120,59,60,4.144,971.803,3.723,6,6,6,7,10,8,-1.594,8,4,10.92482,0.074426,-0.961391,0.064755,1.026146,182.304,200.641,18.33699999999999,,0,1,83,166,83,90,76
5,3,complete,121,60,60,6.218,2680.781,8.535,8,8,60,61,61,61,-10.188,18,9,11.04148,0.023325,-0.046313,0.085442,0.131755,182.549,195.009,12.45999999999998,,0,1,89,178,89,93,68
5,4,complete,120,59,60,2.636,378.793,10.821,9,9,10,11,11,11,-3.944,14,7,10.92448,0.106267,-1.739353,0.06442,1.8037729999999998,195,206.112,11.111999999999995,,0,1,54,108,54,54,62
5,5,complete,120,59,60,4.202,918.333,0.519,9,9,11,12,16,9,8.374,4,2,10.93147,0.063729,-0.556831,0,0.556831,186.046,195,8.954000000000008,,0,1,84,168,84,91,85
5,6,complete,120,59,60,4.956,1754.612,4.805,35,35,35,37,39,37,1.422,16,8,10.92469,0.146126,-0.00445,0.325841,0.330291,185.208,195,9.792000000000002,,0,1,63,126,63,66,67
5,7,complete,119,58,60,4.74,1831.832,2.853,4,4,5,7,12,4,-13.103,4,2,10.89149,0.061317,0,0.260149,0.260149,195,230.486,35.48599999999999,,0,1,102,204,102,107,84
5,8,complete,120,59,60,5.508,2566.696,2.475,5,5,6,10,22,6,-24.468,6,3,10.9315,0.023356,0,0.542424,0.542424,195,209.747,14.747000000000014,,0,1,68,136,68,69,57
5,9,complete,120,59,60,5.038,2670.843,2.201,5,5,7,9,37,8,-32.675,8,4,10.92492,0.027102,0,0.600372,0.600372,195,214.664,19.663999999999987,,0,1,78,156,78,82,79
5,10,complete,120,59,60,6.51,5147.624,3.157,50,50,52,53,55,55,2.677,26,13,11.03552,0.007637,-0.027617,0.007659,0.035276,193.97,195.753,1.782999999999987,,0,1,97,194,97,102,84
5,11,complete,120,59,60,7.92,8547.864,7.191,25,25,28,31,47,42,2.004,16,8,11.01502,0.002407,-0.020652,0.001796,0.022448,194.555,195.299,0.7439999999999998,,0,1,78,156,78,80,67
5,12,complete,121,60,60,3.718,2601.283,4.837,6,6,8,11,15,6,-17.727,4,2,11.04084,0.02399,0,0.349439,0.349439,195,208.488,13.488,,0,1,65,130,65,66,71
5,13,complete,122,61,60,4.536,3981.248,4.575,14,14,25,41,75,48,12.891,22,11,11.15506,0.016047,-0.026307,0,0.026307,192.983,195,2.016999999999996,,0,1,57,114,57,60,65
5,14,complete,120,59,60,7.566,7101.376,6.276,25,25,30,43,64,48,-3.596,14,7,11.02868,0.002624,-0.000764,0.019095,0.019859,193.886,195.182,1.2959999999999923,,0,1,71,142,71,80,78
5,15,complete,121,60,60,5.814,3593.304,4.465,13,13,13,15,27,34,6.756,20,10,11.04116,0.036099,-0.456382,0,0.456382,189.145,201.348,12.203000000000003,,0,1,55,110,55,55,49
5,16,complete,122,61,60,3.306,3597.108,6.323,12,12,15,21,23,21,6.308,14,7,11.15512,0.00796,-0.215191,0,0.215191,189.44,195,5.560000000000002,,0,1,49,98,49,49,48
5,17,complete,122,61,60,5.48,5629.969,2.731,19,19,25,42,47,49,4.747,30,15,11.15506,0.00537,-0.116367,0,0.116367,191.203,195,3.796999999999997,,0,1,58,116,58,59,60
5,18,complete,120,59,60,3.562,630.087,1.933,18,18,18,19,21,19,-2.396,12,6,10.9253,0.347208,-0.465807,2.900038,3.3658449999999998,192.189,211.162,18.973000000000013,,0,0,86,172,86,97,82
5,19,complete,120,59,60,4.006,1049.179,2.425,8,8,9,11,12,9,9.832,6,3,10.93166,0.089601,-1.390029,0.021543,1.411572,165.111,195,29.88900000000001,,0,1,72,144,72,73,59
5,20,complete,120,59,60,4.246,1052.603,1.069,5,5,5,6,27,26,-8.641,10,5,10.95352,0.061799,-0.057091,0.371104,0.428195,192.337,209.151,16.81400000000002,,0,1,122,244,122,127,82
5,21,complete,121,60,60,8.592,8519.244,3.325,59,59,59,60,60,60,1.692,20,10,11.0411,0,0,0,0,195,195.001,0.0010000000000047748,,0,1,50,100,50,50,44
5,22,complete,121,60,60,3.966,1328.128,2.502,5,5,6,7,17,15,-2.468,14,7,11.04069,0.033143,-0.57056,0.096506,0.6670659999999999,194.455,200.036,5.580999999999989,,0,1,67,134,67,70,54
