run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,solver_delta_angular_velocity,correction_delta_angular_velocity,total_delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
1,31,1,239,240,2,2305,195.000,195.031,0.031,481.111,481.575,0.464,0.000000,0.068751,0.068751,0.122231,0.255242,0.133011,1.821386,1.885253,0.063867,0.270648,0.249117,-0.021531,,,,4.000,4.059,10.054,0.133011,240,4.059,10.054,0.063867,-0.133011,0.270648,239,0.133011,0.255242,2
1,31,2,269,271,3,2356,196.773,197.020,0.247,501.013,500.778,-0.235,1.768929,1.806622,0.037693,0.386980,0.690287,0.303307,-0.540195,-0.394675,0.145520,0.085487,0.050453,-0.035034,,,,5.834,5.883,2.298,0.197101,270,5.856,1.875,0.072900,-0.197101,0.138890,269,0.197101,0.460393,2
1,31,3,275,480,206,2338;2356;2352;2339,197.717,187.874,-9.844,500.492,503.517,3.025,1.857594,1.315003,-0.542591,0.580355,-0.000000,-0.580355,-0.419566,-0.000000,0.419566,0.017085,0.000000,-0.017085,,,,0.950,27.607,24.843,0.179279,366,24.735,4.551,-0.531113,-0.179279,0.039571,366,0.179279,3.721101,11
1,32,1,241,241,1,2366,195.000,195.000,0.000,482.991,482.991,0.000,0.000000,0.000000,0.000000,-0.138110,-0.138110,0.000000,1.175217,1.175217,0.000000,-0.313287,-0.313287,0.000000,,,,1.000,1.000,3.859,0.138110,241,1.000,3.859,-9.881554,0.138110,0.313287,241,0.138110,0.138110,1
1,32,2,250,250,1,2364,194.697,194.697,0.000,486.136,486.136,0.000,-0.687282,-0.687282,0.000000,-0.297981,-0.297981,0.000000,0.905053,0.905053,0.000000,-0.273497,-0.273497,0.000000,,,,2.180,2.180,3.694,0.163919,250,2.180,3.694,-0.778617,0.163919,0.030605,250,0.163919,0.163919,1
1,32,3,272,512,241,2359;2360;2364;2371;2376;2388,193.113,205.302,12.188,493.833,506.332,12.499,-2.140852,-1.756846,0.384006,-0.238271,0.000015,0.238286,1.252911,0.000000,-1.252911,-0.163306,0.000000,0.163306,,,,0.983,69.220,36.451,0.175415,274,2.203,26.331,-0.534573,-0.175415,0.089271,272,0.175415,2.969078,9
1,33,1,245,246,2,2430;2435;2442,195.000,195.107,0.107,490.664,490.630,-0.034,0.000000,0.041940,0.041940,0.421492,0.666387,0.244895,0.602855,0.671383,0.068527,0.165102,0.155193,-0.009909,,,,5.038,18.000,18.202,0.421492,245,18.000,12.437,-10.520557,-0.421492,0.165102,245,0.421492,0.666387,2
1,33,2,261,504,244,2434;2439;2483;2485;2484;2435,197.532,190.610,-6.922,495.126,494.156,-0.970,0.606756,0.361645,-0.245111,0.790199,-0.400846,-1.191045,-0.299318,-0.175121,0.124197,0.136239,-0.012654,-0.148893,,,,0.426,32.185,27.146,0.352265,263,0.620,0.873,0.067500,-0.352265,0.039153,273,0.352265,5.639137,20
1,34,1,240,480,241,2490;2492;2508;2515;2551,195.000,224.212,29.212,484.896,492.816,7.921,0.000000,0.878877,0.878877,0.112030,-0.000000,-0.112030,3.102663,-0.000000,-3.102663,0.057128,-0.000000,-0.057128,,,,0.294,38.414,20.929,0.701417,245,2.045,18.804,-0.009831,-0.701417,0.057128,240,0.701417,5.513473,17
1,35,1,247,248,2,2565;2569;2571,195.000,194.748,-0.252,504.260,503.357,-0.903,0.000000,-0.015156,-0.015156,-0.992695,-1.035169,-0.042474,-0.214678,-0.143023,0.071654,-0.059664,-0.058728,0.000936,,,,5.015,18.000,9.049,0.992695,247,18.000,4.288,-11.480247,0.992695,0.059664,247,0.992695,1.035169,2
1,35,2,268,488,221,2577;2595;2597;2571;2569;2565,189.790,189.091,-0.699,504.265,504.564,0.299,-0.296420,-0.279002,0.017418,-0.678266,0.136776,0.815042,-0.554519,0.001560,0.556078,-0.019116,0.008310,0.027426,,,,0.182,29.396,29.413,0.285947,268,22.129,18.244,-1.690655,-0.285947,0.035587,268,0.285947,2.325710,20
