run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,solver_delta_angular_velocity,correction_delta_angular_velocity,total_delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
1,26,1,242,243,2,1920;1935;1943,195.000,195.073,0.073,484.559,484.790,0.231,0.000000,0.084493,0.084493,0.286080,0.370797,0.084717,3.473972,3.531517,0.057545,0.332616,0.320611,-0.012005,,,,4.070,14.000,18.070,0.286080,242,14.000,17.004,-7.597747,-0.286080,0.332616,242,0.286080,0.370797,2
1,26,2,247,248,2,1911;1916;1919,195.431,195.623,0.192,487.957,487.568,-0.388,0.394241,0.444546,0.050305,0.804728,1.336666,0.531938,-1.432674,-1.360849,0.071824,0.210362,0.147582,-0.062781,,,,3.569,4.845,4.950,0.531938,248,3.569,2.650,0.071824,-0.531938,0.106727,247,0.531938,0.969942,2
1,26,3,296,488,193,1941;1953;1966;1925;1979;1983,210.339,201.272,-9.067,491.747,501.896,10.149,2.069335,1.673136,-0.396199,1.008938,0.000000,-1.008938,0.324551,0.000000,-0.324551,0.031804,0.000000,-0.031804,,,,0.862,44.181,27.228,0.341952,373,44.181,7.817,-1.741275,-0.341952,0.091786,296,0.341952,3.947579,14
1,27,1,239,480,242,1990;1991;2000;1992,195.000,182.200,-12.800,481.477,486.928,5.451,0.000000,-0.356847,-0.356847,-0.362766,-0.000000,0.362766,2.240406,0.000000,-2.240406,-0.165585,-0.000000,0.165585,,,,1.039,47.169,23.925,1.397504,245,1.117,15.670,-0.007853,1.397504,0.165585,239,1.397504,7.307458,13
1,28,1,238,239,2,2059;2063,195.000,195.058,0.058,481.461,481.578,0.117,0.000000,0.059014,0.059014,0.227379,0.327783,0.100404,3.046873,2.754455,-0.292419,0.232317,0.231911,-0.000406,,,,2.055,3.000,12.588,0.227379,238,3.000,9.773,-7.984479,-0.227379,0.232317,238,0.227379,0.327783,2
1,28,2,242,243,2,2058;2066,195.297,195.536,0.239,483.119,482.651,-0.468,0.228219,0.228838,0.000620,1.001471,1.188213,0.186742,-0.587956,-0.519173,0.068783,0.002591,-0.019872,-0.022463,,,,2.175,4.123,9.424,0.676118,242,4.123,8.700,-3.459242,-0.676118,0.227602,242,0.676118,0.862859,2
1,28,3,263,504,242,2059;2058,201.276,202.805,1.528,482.546,483.217,0.671,0.132841,0.176915,0.044075,1.081920,0.001472,-1.080449,0.361303,0.015266,-0.346037,-0.006278,0.001221,0.007499,,,,2.114,30.590,17.006,0.131434,272,30.590,3.001,-0.605168,0.131434,0.016971,272,0.131434,4.534245,10
1,29,1,242,244,3,2153;2156;2158;2160,195.000,194.511,-0.489,483.250,481.692,-1.558,0.000000,0.033467,0.033467,-0.750471,-1.589604,-0.839133,-0.596576,-1.066098,-0.469522,0.053775,0.108460,0.054685,,,,2.032,12.000,8.838,0.750471,242,12.000,5.858,-11.648145,0.750471,0.053775,242,0.750471,1.589604,3
1,29,2,308,484,177,2161;2162;2166;2168;2178;2232;2233,171.922,171.686,-0.236,498.147,498.151,0.004,1.574757,1.552382,-0.022375,-0.213563,-0.002414,0.211149,-0.081022,-0.000063,0.080960,0.004611,0.000537,-0.004074,,,,4.999,11.000,3.673,1.040721,308,11.000,3.384,-3.146217,-1.040721,0.080969,308,1.040721,4.421901,15
1,30,1,237,238,2,2243,195.000,194.968,-0.032,478.293,478.671,0.378,0.000000,-0.057092,-0.057092,-0.126609,-0.271957,-0.145347,1.468905,1.534120,0.065215,-0.224748,-0.204585,0.020163,,,,5.000,5.049,10.284,0.145347,238,5.049,10.284,0.065215,0.145347,0.224748,237,0.145347,0.271957,2
1,30,2,273,516,244,2280;2288;2289;2290;2291;2292;2295;2285;2287,192.743,195.911,3.168,500.840,502.403,1.563,-1.730463,-1.572113,0.158350,-0.846200,-0.000000,0.846200,-0.497873,-0.000000,0.497873,-0.041128,-0.000000,0.041128,,,,0.908,28.000,12.854,0.606820,273,8.057,8.244,-4.066473,0.606820,0.138951,273,0.606820,5.885918,21
