piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,angular_velocity,angle,sleeping,ground_contact,contact_width_px,contact_center_offset_px,contact_points,contact_parts,pre_velocity_x,pre_velocity_y,pre_angular_velocity,delta_velocity_x,delta_velocity_y,delta_angular_velocity,collision_normal_x,collision_normal_y,collision_depth,collision_separation,collision_pair_count,collision_contact_count,collision_support_count,collision_contact_part_count
6,post_landing,71,1189.0,59,203.038,477.431,0.59640,1.60118,0.108894,1.568354,0,0,0.000,0.000,0,0,0.60561,1.33985,0.110576,-0.00921,0.26133,-0.001682,,,,,0,0,0,0
6,post_landing,72,1206.0,59,203.606,479.114,0.58786,1.84348,0.107334,1.671955,0,0,0.000,0.000,0,0,0.59640,1.60118,0.108894,-0.00854,0.24230,-0.001560,,,,,0,0,0,0
6,post_landing,73,1222.0,59,204.199,481.156,0.57892,2.09715,0.105702,1.780393,0,0,0.000,0.000,0,0,0.58786,1.84348,0.107334,-0.00894,0.25367,-0.001633,,,,,0,0,0,0
6,post_landing,74,1239.0,59,204.784,483.455,0.57011,2.34695,0.104094,1.887182,0,0,0.000,0.000,0,0,0.57892,2.09715,0.105702,-0.00881,0.24981,-0.001608,,,,,0,0,0,0
6,post_landing,75,1256.0,59,205.327,485.847,0.56195,2.57857,0.102603,1.986215,0,0,0.000,0.000,0,0,0.57011,2.34695,0.104094,-0.00817,0.23162,-0.001491,,,,,0,0,0,0
6,post_landing,76,1273.0,59,205.894,488.407,0.40214,0.47280,0.052807,2.089873,0,1,2.233,19.986,2,2,0.56195,2.57857,0.102603,-0.15981,-2.10577,-0.049796,0.000000,1.000000,0.205295,-0.057205,2,2,4,2
6,post_landing,77,1289.0,59,206.276,487.725,0.39186,-0.24138,0.013132,2.118851,0,1,0.000,20.146,1,1,0.40214,0.47280,0.052807,-0.01028,-0.71419,-0.039674,0.000000,1.000000,0.036805,0.032518,1,1,2,1
6,post_landing,78,1306.0,59,206.615,487.499,0.29352,-0.17741,0.010199,2.130430,0,1,0.000,19.759,1,1,0.39186,-0.24138,0.013132,-0.09833,0.06397,-0.002933,0.000000,1.000000,0.045600,0.023655,1,1,2,1
6,post_landing,79,1323.0,59,206.873,487.318,0.19025,-0.11448,0.007202,2.139728,0,1,0.000,19.446,1,1,0.29352,-0.17741,0.010199,-0.10328,0.06294,-0.002998,0.000000,1.000000,0.050536,0.025080,1,1,2,1
6,post_landing,80,1339.0,59,207.027,487.198,0.08921,-0.05546,0.004218,2.145908,0,1,0.000,19.238,1,1,0.19025,-0.11448,0.007202,-0.10103,0.05901,-0.002984,0.000000,1.000000,0.050454,0.025045,1,1,2,1
6,post_landing,81,1356.0,59,207.080,487.142,-0.00372,-0.00235,0.001398,2.148854,0,1,0.000,19.138,1,1,0.08921,-0.05546,0.004218,-0.09294,0.05312,-0.002820,0.000000,1.000000,0.047216,0.022006,1,1,2,1
6,post_landing,82,1373.0,59,207.038,487.136,-0.10197,0.05265,-0.001459,2.149255,0,1,0.000,19.124,1,1,-0.00372,-0.00235,0.001398,-0.09825,0.05500,-0.002857,0.000000,1.000000,0.051908,0.023232,1,1,2,1
6,post_landing,83,1389.0,59,206.898,487.185,-0.19838,0.10783,-0.004289,2.146697,0,1,0.000,19.211,1,1,-0.10197,0.05265,-0.001459,-0.09641,0.05519,-0.002830,0.000000,1.000000,0.051813,0.023240,1,1,2,1
6,post_landing,84,1406.0,59,206.676,487.282,-0.28703,0.16044,-0.007012,2.141545,0,1,0.000,19.385,1,1,-0.19838,0.10783,-0.004289,-0.08865,0.05261,-0.002723,0.000000,1.000000,0.047209,0.022006,1,1,2,1
6,post_landing,85,1422.0,59,206.348,487.443,-0.38089,0.21818,-0.009802,2.133419,0,1,0.000,19.659,1,1,-0.28703,0.16044,-0.007012,-0.09387,0.05774,-0.002790,0.000000,1.000000,0.051873,0.023235,1,1,2,1
6,post_landing,86,1439.0,59,205.926,487.662,-0.47283,0.27923,-0.012624,2.122392,0,1,0.000,20.028,1,1,-0.38089,0.21818,-0.009802,-0.09193,0.06105,-0.002822,0.000000,1.000000,0.051907,0.023232,1,1,2,1
6,post_landing,87,1456.0,59,205.444,487.925,-0.55711,0.34030,-0.015377,2.109277,0,1,0.000,20.464,1,1,-0.47283,0.27923,-0.012624,-0.08428,0.06106,-0.002753,0.000000,1.000000,0.047422,0.021988,1,1,2,1
6,post_landing,88,1473.0,59,204.843,488.273,-0.64601,0.41040,-0.018225,2.092618,0,1,0.000,21.012,1,1,-0.55711,0.34030,-0.015377,-0.08890,0.07010,-0.002848,0.000000,1.000000,0.052055,0.023219,1,1,2,1
6,post_landing,89,1489.0,59,204.197,488.665,-0.72655,0.48194,-0.021059,2.074132,0,1,0.000,21.614,1,1,-0.64601,0.41040,-0.018225,-0.08055,0.07154,-0.002835,0.000000,1.000000,0.047543,0.021978,1,1,2,1
6,post_landing,90,1506.0,59,203.424,489.188,-0.81664,0.51421,-0.025758,2.051195,0,1,2.236,21.233,2,2,-0.72655,0.48194,-0.021059,-0.09008,0.03227,-0.004699,0.000000,1.000000,0.016053,0.005975,2,2,4,2
6,post_landing,91,1523.0,59,202.565,489.778,-0.89252,0.59937,-0.028520,2.023992,0,1,2.236,22.091,2,2,-0.81664,0.51421,-0.025758,-0.07589,0.08516,-0.002762,0.000000,1.000000,0.047371,0.036310,2,2,4,2
6,post_landing,92,1539.0,59,201.629,490.410,-0.97726,0.69672,-0.030187,1.994013,0,1,0.000,21.901,1,1,-0.89252,0.59937,-0.028520,-0.08474,0.09736,-0.001667,0.000000,1.000000,0.049450,0.023443,1,1,2,1
6,post_landing,93,1556.0,59,200.678,491.096,-1.03260,0.78917,-0.034173,1.963225,0,1,0.000,22.833,1,1,-0.97726,0.69672,-0.030187,-0.05534,0.09245,-0.003985,0.000000,1.000000,0.036554,0.022922,1,1,2,1
6,post_landing,94,1573.0,59,199.603,491.935,-1.08305,0.89322,-0.039136,1.927381,0,1,0.000,23.891,1,1,-1.03260,0.78917,-0.034173,-0.05045,0.10405,-0.004963,0.000000,1.000000,0.040723,0.024192,1,1,2,1
6,post_landing,95,1589.0,59,198.448,492.895,-1.23352,0.82118,-0.043790,1.887000,0,1,3.162,20.302,2,2,-1.08305,0.89322,-0.039136,-0.15047,-0.07204,-0.004655,0.000000,1.000000,0.025392,0.035034,2,2,4,2
6,post_landing,96,1606.0,59,197.250,493.709,-1.27635,0.92987,-0.046395,1.844444,0,1,0.000,19.901,1,1,-1.23352,0.82118,-0.043790,-0.04284,0.10869,-0.002604,0.000000,1.000000,0.042865,0.022380,1,1,2,1
6,post_landing,97,1623.0,59,195.910,494.648,-1.36070,0.88100,-0.053031,1.794615,0,1,0.000,17.115,1,1,-1.27635,0.92987,-0.046395,-0.08435,-0.04887,-0.006636,0.000000,1.000000,0.038368,0.024395,1,1,2,1
6,post_landing,98,1639.0,59,194.521,495.633,-1.37913,1.01019,-0.056443,1.739380,0,1,0.000,18.545,1,1,-1.36070,0.88100,-0.053031,-0.01843,0.12919,-0.003413,0.000000,1.000000,0.032445,0.024903,1,1,2,1
6,post_landing,99,1656.0,59,193.196,496.690,-1.39237,1.14888,-0.059464,1.684325,0,1,0.000,19.914,1,1,-1.37913,1.01019,-0.056443,-0.01323,0.13869,-0.003021,0.000000,1.000000,0.029440,0.023533,1,1,2,1
6,post_landing,100,1673.0,59,191.779,497.967,-1.41607,1.31297,-0.061484,1.622586,0,1,0.000,21.378,1,1,-1.39237,1.14888,-0.059464,-0.02371,0.16409,-0.002019,0.000000,1.000000,0.032324,0.024914,1,1,2,1
6,post_landing,101,1689.0,59,190.327,499.356,-1.47644,1.34939,-0.068190,1.558021,0,1,0.000,19.821,1,1,-1.41607,1.31297,-0.061484,-0.06037,0.03642,-0.006706,0.000000,1.000000,0.031446,0.024989,1,1,2,1
6,post_landing,102,1706.0,59,189.008,499.340,-1.06355,-0.02487,-0.000911,1.525006,0,1,0.999,-38.004,3,2,-1.47644,1.34939,-0.068190,0.41289,-1.37426,0.067279,0.000000,1.000000,0.019468,0.001113,2,3,4,2
6,post_landing,103,1723.0,59,188.273,499.240,-0.28413,-0.15197,-0.004002,1.522336,0,1,0.999,-37.946,3,2,-1.06355,-0.02487,-0.000911,0.77942,-0.12710,-0.003091,0.000000,1.000000,0.019319,0.001279,2,3,4,2
6,post_landing,104,1739.0,59,188.115,499.112,-0.02196,-0.04273,-0.001101,1.518966,0,1,0.999,-37.873,3,2,-0.28413,-0.15197,-0.004002,0.26217,0.10925,0.002900,0.000000,1.000000,0.017505,-0.000404,2,3,4,2
6,post_landing,105,1756.0,59,188.128,499.132,0.07412,0.12664,0.003388,1.519526,0,1,0.999,-37.885,3,2,-0.02196,-0.04273,-0.001101,0.09608,0.16937,0.004489,0.000000,1.000000,0.014097,-0.001624,2,3,4,2
6,post_landing,106,1773.0,59,188.242,499.332,0.17504,0.30285,0.008077,1.524762,0,1,0.999,-37.999,3,2,0.07412,0.12664,0.003388,0.10092,0.17621,0.004690,0.000000,1.000000,0.019645,0.002491,2,3,4,2
6,post_landing,107,1789.0,59,188.457,499.712,0.27067,0.47914,0.012707,1.534737,0,1,0.999,-38.214,3,2,0.17504,0.30285,0.008077,0.09564,0.17628,0.004629,0.000000,1.000000,0.023959,0.007474,2,3,4,2
6,post_landing,108,1806.0,59,188.600,499.755,-0.00211,0.00400,0.000258,1.538153,0,1,0.000,20.248,1,1,0.27067,0.47914,0.012707,-0.27278,-0.47514,-0.012448,0.000000,1.000000,0.070357,0.020018,1,1,2,1
6,post_landing,109,1823.0,59,188.580,499.783,0.00105,0.00030,0.000013,1.537300,0,1,59.034,-9.251,2,2,-0.00211,0.00400,0.000258,0.00315,-0.00369,-0.000245,0.000000,1.000000,0.032483,0.012444,2,2,4,2
6,post_landing,110,1839.0,59,188.580,499.783,0.00000,0.00000,0.000000,1.537303,0,1,59.034,-9.251,2,2,0.00105,0.00030,0.000013,-0.00105,-0.00030,-0.000013,0.000000,1.000000,0.033320,0.012258,2,2,4,2
6,post_landing,111,1856.0,59,188.580,499.782,0.00000,0.00000,0.000000,1.537303,0,1,59.034,-9.251,2,2,0.00000,0.00000,0.000000,-0.00000,-0.00000,-0.000000,0.000000,1.000000,0.029606,0.010949,2,2,4,2
6,post_landing,112,1873.0,59,188.580,499.783,-0.00000,-0.00000,-0.000000,1.537303,0,1,59.034,-9.251,2,2,0.00000,0.00000,0.000000,-0.00000,-0.00000,-0.000000,0.000000,1.000000,0.033319,0.012258,2,2,4,2
6,post_landing,113,1889.0,59,188.580,499.783,-0.00000,-0.00000,-0.000000,1.537303,0,1,59.034,-9.251,2,2,-0.00000,-0.00000,-0.000000,0.00000,0.00000,0.000000,0.000000,1.000000,0.033320,0.012258,2,2,4,2
