piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,angular_velocity,angle,sleeping,ground_contact,contact_width_px,contact_center_offset_px,contact_points,contact_parts,pre_velocity_x,pre_velocity_y,pre_angular_velocity,delta_velocity_x,delta_velocity_y,delta_angular_velocity,collision_normal_x,collision_normal_y,collision_depth,collision_separation,collision_pair_count,collision_contact_count,collision_support_count,collision_contact_part_count
6,falling,0,8.0,,195.000,96.616,0.00000,0.54390,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,0.00000,0.000000,0.00000,0.54390,0.000000,,,,,0,0,0,0
6,falling,1,20.0,,195.000,97.191,0.00000,0.76932,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,0.54390,0.000000,0.00000,0.22541,0.000000,,,,,0,0,0,0
6,falling,2,37.0,,195.000,98.148,0.00000,1.03933,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,0.76932,0.000000,0.00000,0.27001,0.000000,,,,,0,0,0,0
6,falling,3,54.0,,195.000,99.296,0.00000,1.28967,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,1.03933,0.000000,0.00000,0.25034,0.000000,,,,,0,0,0,0
6,falling,4,70.0,,195.000,100.779,0.00000,1.55176,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,1.28967,0.000000,0.00000,0.26209,0.000000,,,,,0,0,0,0
6,falling,5,87.0,,195.000,102.527,0.00000,1.80987,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,1.55176,0.000000,0.00000,0.25811,0.000000,,,,,0,0,0,0
6,falling,6,104.0,,195.000,104.408,0.00000,2.04918,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,1.80987,0.000000,0.00000,0.23931,0.000000,,,,,0,0,0,0
6,falling,7,120.0,,195.000,106.658,0.00000,2.29972,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,2.04918,0.000000,0.00000,0.25054,0.000000,,,,,0,0,0,0
6,falling,8,137.0,,195.000,109.162,0.00000,2.54644,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,2.29972,0.000000,0.00000,0.24673,0.000000,,,,,0,0,0,0
6,falling,9,154.0,,195.000,111.744,0.00000,2.77520,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,2.54644,0.000000,0.00000,0.22876,0.000000,,,,,0,0,0,0
6,falling,10,170.0,,195.000,114.727,0.00000,3.01470,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,2.77520,0.000000,0.00000,0.23949,0.000000,,,,,0,0,0,0
6,falling,20,337.0,,195.000,156.337,0.00000,5.18204,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,4.97602,0.000000,0.00000,0.20601,0.000000,,,,,0,0,0,0
6,falling,30,504.0,,195.000,218.069,0.00000,7.04640,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,6.86918,0.000000,0.00000,0.17721,0.000000,,,,,0,0,0,0
6,falling,40,671.0,,195.000,296.590,0.00000,8.64121,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,8.49769,0.000000,0.00000,0.14352,0.000000,,,,,0,0,0,0
6,falling,50,838.0,,195.000,390.439,0.00000,10.02200,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,9.89075,0.000000,0.00000,0.13125,0.000000,,,,,0,0,0,0
6,falling,57,954.0,,195.000,463.939,0.00000,10.87271,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,10.75460,0.000000,0.00000,0.11811,0.000000,,,,,0,0,0,0
6,falling,58,971.0,,195.000,474.443,0.00000,10.98221,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,10.87271,0.000000,0.00000,0.10951,0.000000,,,,,0,0,0,0
6,post_landing,59,988.0,59,195.235,478.241,0.00000,0.00000,0.000000,-0.018423,0,1,0.000,-15.293,2,2,0.00000,10.98221,0.000000,0.61737,-11.68667,-0.041922,0.000000,1.000000,0.048544,0.073962,2,2,4,2
6,post_landing,60,1004.0,59,195.858,477.563,0.60797,-0.41203,-0.041284,-0.060776,0,0,0.000,0.000,0,0,0.00000,0.00000,0.000000,0.60797,-0.41203,-0.041284,,,,,0,0,0,0
6,post_landing,61,1021.0,59,196.345,477.325,0.40796,-0.14090,-0.005344,-0.083056,0,0,0.000,0.000,0,0,0.60797,-0.41203,-0.041284,-0.20001,0.27113,0.035940,,,,,0,0,0,0
6,post_landing,62,1038.0,59,196.744,477.349,0.33258,0.09902,0.009839,-0.085670,0,1,0.000,-12.386,2,2,0.40796,-0.14090,-0.005344,-0.07538,0.23991,0.015184,0.000000,1.000000,0.035225,0.024416,2,2,4,2
6,post_landing,63,1055.0,59,197.109,477.464,0.39760,0.13423,0.009870,-0.076597,0,1,0.000,-12.782,2,2,0.33258,0.09902,0.009839,0.06502,0.03521,0.000031,0.000000,1.000000,0.044654,0.023855,2,2,4,2
6,post_landing,64,1072.0,59,197.515,477.593,0.48209,0.13854,0.007420,-0.066456,0,1,0.000,-13.223,2,2,0.39760,0.13423,0.009870,0.08449,0.00431,-0.002450,0.000000,1.000000,0.033794,0.023159,2,2,4,2
6,post_landing,65,1088.0,59,198.019,477.738,0.52193,0.18049,0.012177,-0.055780,0,1,0.000,-13.686,2,2,0.48209,0.13854,0.007420,0.03984,0.04196,0.004757,0.000000,1.000000,0.033663,0.024799,2,2,4,2
