run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,landing_dynamic_body_count,landing_other_dynamic_body_ids,narrow_landing_evaluated,narrow_landing_contact_width_px,narrow_landing_contact_source,narrow_landing_contact_offset_px,narrow_landing_angular_before,narrow_landing_angular_delta,narrow_landing_angular_after,narrow_landing_width_condition,narrow_landing_offset_condition,narrow_landing_delta_condition,narrow_landing_correction,narrow_landing_correction_applied
1,21,complete,121,60,60,8.592,8519.244,3.325,59,1,1,-0.002865,0,11.06329,0,-0.09672,0,-0.002507,-0.09672,-11.13296,-0.002507,0.09672,0.05977,0.002507,0.1670000000000016,0.12100000000003774,0.004404,0.038000000000010914,120,1,0,50,100,50,50,44,-27.2,-27.2,1.570796,-27.200362,1610,-27.200:37.759,-27.200362,1,,0,,,,0.000000,,0.000000,0,0,0,0.000000,0
1,22,complete,121,60,60,3.966,1328.128,2.502,5,2,1,-0.003988,0,11.00932,0,-0.19272,0,-0.011631,-0.19272,-11.01628,-0.011631,1.42875,0.96408,0.06114,43.542,12.25,1.486662,0.007999999999981355,,0,1,67,134,67,70,54,-0.827,3.173,1.570796,1.173224,1680;1680,-0.827:35.542;3.173:35.526,-0.826760;3.173208,1,,1,0.997,geometry-edge,15.225,-0.060135,-0.001005,-0.061140,1,1,0,0.000000,0
1,23,complete,121,60,60,3.404,1817.289,0.999,56,5,3,-0.055276,0,11.09686,0,0,0,-0.014729,-0.40885,-11.92048,-0.014729,0.66885,1.09727,0.018263,5.364000000000004,5.021999999999991,0.051288,4.6650000000000205,,0,1,71,142,71,78,70,-35.656,11.382,1.570796,-12.137008,1753;1748;1748;1751;1751,11.382:26.482;-35.656:27.082;-29.666:26.750;-34.603:28.025;-30.609:27.804,11.382347;-35.656364;-29.665528;-34.602643;-30.608753,1,,1,55.030,geometry-edge,8.046,0.000000,0.000000,0.000000,0,1,0,0.000000,0
1,24,complete,121,60,60,4.054,1448.135,12.846,7,4,2,0,0,11.00245,0,-0.19897,2.7045,0,-0.19897,-8.29795,-0.206166,1.36081,2.7045,0.086412,45.078,13.884999999999991,1.853111,0,,0,1,66,132,66,67,62,10.557,16.557,1.570796,13.556734,1819;1819;1821;1821,12.557:34.289;10.557:34.289;16.557:34.289;14.557:34.289,12.556734;10.556734;16.556734;14.556734,1,,1,2.881,geometry-edge,25.549,-0.004824,0.001006,-0.003818,1,1,0,0.000000,0
1,25,complete,134,73,60,2.958,422.016,3.375,16,1,1,2.814132,0.65379,-0.27095,0.019274,0.61582,-0.0986,0.021093,-0.03797,0.17235,0.001819,1.50864,1.59227,0.063842,44.02800000000002,14.535000000000025,1.627529,0.7549999999999955,,0,1,85,170,85,88,80,5.923,5.923,1.570796,5.923475,1826,5.923:34.737,5.923475,1,,1,1.940,geometry-edge,10.148,-0.061318,-0.002524,-0.063842,1,1,0,0.000000,0
1,26,complete,133,72,60,4.034,1163.861,2.725,11,1,1,1.131757,1.13862,1.62513,0.058821,1.2039,1.35428,0.064627,0.06528,-0.27085,0.005806,1.88378,1.76922,0.09574,15.810000000000002,9.75200000000001,0.584346,0,,0,1,76,152,76,82,72,-16.787,-16.787,1.570796,-16.787312,1974,-16.787:28.870,-16.787312,1,,1,42.189,geometry-edge,8.660,-0.000000,0.000000,-0.000000,0,1,0,0.000000,0
1,27,complete,120,59,60,4.88,2744.433,3.428,6,2,1,-0.031972,0,10.98222,0,0,1.43092,0,-0.62067,-9.55129,-0.121353,1.38292,1.43092,0.04147,14.579999999999984,5.767999999999972,0.383956,0,,0,1,66,132,66,70,66,11.574,12.574,1.570796,12.073853,2054;2054,11.574:39.864;12.574:39.832,11.574109;12.573598,1,,1,47.166,geometry-edge,1.008,0.000000,-0.000000,0.000000,0,0,0,0.000000,0
1,28,complete,122,61,60,3.352,665.675,2.082,3,1,1,0.242027,0.32419,2.9923,0.2411,0.79038,-0.45623,0.030242,0.46619,-3.44853,-0.210858,0.80448,0.45623,0.030242,16.448000000000008,1.2169999999999845,0.35848599999999997,1.2169999999999845,,0,1,92,184,92,95,80,9.778,9.778,1.570796,9.777555,2145,9.778:38.531,9.777555,1,,1,2.215,geometry-edge,4.905,0.005925,0.003440,0.009365,1,0,0,0.000000,0
1,29,complete,121,60,60,4.632,1624.548,2.816,3,1,1,-0.079402,0,11.00933,0,0,1.33828,0,-0.67268,-9.67104,-0.131602,1.84847,1.90234,0.129717,49.483000000000004,11.157999999999959,2.142074,0,,0,1,83,166,83,91,70,10.929,10.929,1.570796,10.928595,2233,10.929:38.279,10.928595,1,,1,4.432,geometry-edge,8.665,-0.004261,-0.000237,-0.004497,1,1,0,0.000000,0
1,30,complete,129,68,60,3.614,888.625,5.169,11,3,2,-1.791887,-0.24166,3.35219,-0.196474,-0.63773,-0.42803,-0.051698,-0.39607,-3.78022,0.144776,0.94774,0.62589,0.051698,11.751000000000005,4.492000000000019,0.5693329999999999,1.9230000000000018,,0,1,61,122,61,63,64,-9.838,-8.862,1.570796,-9.350224,2261;2261;2262,-9.838:21.289;-8.862:21.069;-8.862:21.069,-9.838053;-8.862394;-8.862394,1,,1,28.000,geometry-edge,0.257,-0.000000,0.000000,0.000000,0,0,0,0.000000,0
