run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
1,36,1,239,480,242,2605;2608;2604;2611;2624;2626;2628;2658;2660;2662;2663;2664;2665;2666,195.000,214.496,19.496,481.517,501.946,20.429,0.000000,0.785238,0.785238,0.188422,0.000000,-0.188422,4.444849,0.000000,-4.444849,0.161095,0.000000,-0.161095,0.471,42.445,34.773,1.243328,249,3.137,26.783,0.023839,-1.243328,0.161095,239,1.243328,11.111598,32
1,37,1,239,239,1,2671;2675,195.000,195.000,0.000,478.907,478.907,0.000,0.000000,0.000000,0.000000,-0.194292,-0.194292,0.000000,3.853993,3.853993,0.000000,-0.397520,-0.397520,0.000000,9.000,9.000,13.930,0.194292,239,9.000,13.930,-7.151944,0.194292,0.397520,239,0.194292,0.194292,1
1,37,2,254,254,1,2684;2687,194.290,194.290,0.000,494.745,494.745,0.000,-1.452361,-1.452361,0.000000,-0.520013,-0.520013,0.000000,-1.243702,-1.243702,0.000000,-0.246264,-0.246264,0.000000,3.972,3.972,5.008,0.335704,254,3.972,5.008,-5.851191,0.335704,0.130830,254,0.335704,0.335704,1
1,37,3,272,274,3,2683;2693;2697;2701;2702,192.017,191.545,-0.472,491.588,490.402,-1.186,-2.528771,-2.561309,-0.032538,-0.910246,-1.217229,-0.306983,-1.721318,-1.575854,0.145465,-0.077632,-0.039408,0.038224,0.548,6.148,20.306,0.422592,272,6.148,18.491,-1.707340,0.422592,0.153308,272,0.422592,0.729575,3
1,37,4,301,512,212,2683;2693;2697;2701;2702;2739,183.763,201.804,18.041,486.257,495.556,9.299,-2.813259,-2.250706,0.562552,-1.014516,0.863891,1.878408,-0.215787,-0.306827,-0.091041,-0.019498,0.035213,0.054712,0.367,33.298,25.019,0.175793,505,0.744,10.868,-0.119949,0.175793,0.049803,504,0.175793,3.768226,8
