run,piece,transition_index,previous_event_index,next_event_index,previous_end_substep,next_start_substep,gap_substeps,previous_duration_substeps,next_duration_substeps,previous_end_x,next_start_x,delta_x_during_gap,previous_end_y,next_start_y,delta_y_during_gap,previous_end_angle,next_start_angle,delta_angle_during_gap,previous_end_vx,next_start_vx,delta_vx_across_gap,previous_end_vy,next_start_vy,delta_vy_across_gap,previous_end_angular_velocity,next_start_angular_velocity,delta_angular_across_gap,next_start_contact_width_px,next_start_contact_offset_px,previous_max_abs_delta_vx,previous_max_abs_delta_angular,previous_max_delta_vt,loop_class,angular_persistence,linear_persistence
1,16,1,1,2,248,256,7,2,233,194.924,193.737,-1.187,500.033,501.615,1.581,-0.028340,-0.239871,-0.211531,-0.591971,-0.505108,0.086863,0.614341,-1.135282,-1.749624,-0.105491,-0.025876,0.079615,14.312,36.956,0.299375,0.111564,0.299375,MIXED_RECONTACT_LOOP,0,0
1,17,1,1,2,245,253,7,2,232,194.922,193.675,-1.247,494.177,494.925,0.747,-0.017958,-0.129165,-0.111207,-0.626534,-0.826873,-0.200339,0.091100,-0.491095,-0.582195,-0.055863,-0.031510,0.024353,29.274,1.005,0.318748,0.070692,0.318748,ANGULAR_RECONTACT_LOOP,1,0
1,18,1,1,2,240,297,56,1,184,195.000,198.544,3.544,478.438,488.340,9.902,0.000000,2.452326,2.452326,0.277050,-0.018912,-0.295963,-1.245695,0.499605,1.745301,0.191718,0.028711,-0.163007,5.495,17.743,0.277050,0.191718,0.277050,MIXED_RECONTACT_LOOP,0,0
1,19,1,1,2,239,266,26,2,243,194.949,192.852,-2.097,480.011,498.262,18.250,-0.071402,-1.862186,-1.790784,-0.327328,0.555474,0.882802,2.010484,0.706941,-1.303543,-0.279510,0.024572,0.304082,11.398,26.709,0.213220,0.298585,0.213220,MIXED_RECONTACT_LOOP,0,0
1,20,1,1,2,242,294,51,2,243,194.782,177.274,-17.508,478.906,493.844,14.938,0.020111,2.181740,2.161629,-1.486452,-1.271800,0.214652,-0.479326,1.038307,1.517633,0.183523,-0.032809,-0.216331,7.455,23.702,0.856296,0.104353,0.856296,MIXED_RECONTACT_LOOP,0,0
