run,piece,event_index,change_index,substep,reason,part_ids,contact_width_px,contact_offset_px,vx_before,vx_after,delta_vx,vy_before,vy_after,delta_vy,angular_before,angular_after,delta_angular,delta_vn,delta_vt,x,angle,cumulative_delta_x,cumulative_delta_angle,contact_points,support_count
1,1,1,1,242,START,4;5;6;8;13,11.000,0.213,0.000000,1.903473,1.903473,10.963465,-0.220616,-11.184080,0.000000,-0.093712,-0.093712,-11.184080,-1.903473,195.000,0.000000,0.000,0.000000,10,10
1,1,1,2,243,PART_CHANGE+WIDTH_CHANGE+RESPONSE,6;13,3.047,0.317,1.903473,3.242194,1.338721,-0.220616,-0.301865,-0.081250,-0.093712,-0.252738,-0.159026,-0.081250,-1.338721,195.484,-0.023805,0.484,-0.023805,4,4
1,1,1,3,244,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,6,1.084,3.423,3.242194,3.053023,-0.189171,-0.301865,-0.229877,0.071988,-0.252738,-0.230879,0.021859,0.071988,0.189171,196.307,-0.088007,1.307,-0.088007,2,2
1,1,2,1,274,START,54,0.989,7.990,2.739306,2.574046,-0.165259,1.696636,-1.224495,-2.921131,-0.207155,-0.145308,0.061847,-2.921131,0.165259,217.839,-1.716342,0.000,0.000000,1,2
1,1,2,2,275,RESPONSE,54,0.983,6.401,2.574046,2.265674,-0.308372,-1.224495,-1.148978,0.075517,-0.145308,-0.116420,0.028887,0.075517,0.308372,218.493,-1.753253,0.654,-0.036912,1,2
1,1,3,1,329,START,11,4.031,13.371,1.855905,1.736980,-0.118925,2.408086,1.383270,-1.024816,-0.095365,-0.108919,-0.013555,-1.024816,0.118925,246.152,-3.174501,0.000,0.000000,2,2
1,1,3,2,330,RESPONSE,11,4.052,14.218,1.736980,1.551597,-0.185383,1.383270,1.241693,-0.141576,-0.108919,-0.100165,0.008755,-0.141576,0.185383,246.568,-3.200548,0.415,-0.026047,1,2
1,1,3,3,331,RESPONSE,11,4.069,14.989,1.551597,1.253005,-0.298592,1.241693,1.096682,-0.145011,-0.100165,-0.082983,0.017182,-0.145011,0.298592,246.939,-3.224501,0.786,-0.050000,1,2
1,1,3,4,332,RESPONSE,11,4.081,15.621,1.253005,0.844910,-0.408095,1.096682,0.850043,-0.246639,-0.082983,-0.070547,0.012436,-0.246639,0.408095,247.238,-3.244345,1.086,-0.069844,1,2
1,1,3,5,333,RESPONSE,11,4.091,16.186,0.844910,0.408305,-0.436605,0.850043,0.651951,-0.198092,-0.070547,-0.056873,0.013673,-0.198092,0.436605,247.453,-3.262266,1.301,-0.087764,1,2
