run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_span_from_com_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_com_distance_px,landing_contact_asymmetry_px
2,11,complete,121,60,60,7.92,8547.864,7.191,25,16,1.039,2,1,-0.09663,0,-0.003526,-0.09663,-11.04562,-0.003526,0.09663,0.01699,0.003526,0.2779999999999916,0.03499999999996817,0.005237,0.03299999999995862,,0,1,78,156,78,80,67,-6.961,9.039,9.039,1.570796,1.039284,1.039,1.039
2,12,complete,121,60,60,3.718,2601.283,4.837,6,0,-17.086,1,1,0,3.15508,0,0.41336,-7.92167,0.183741,1.00243,3.15508,0.036888,12.448000000000008,6.3910000000000196,0.55211,0,,0,1,65,130,65,66,71,-17.086,-17.086,17.086,1.570796,-17.085926,17.086,17.086
2,13,complete,122,61,60,4.536,3981.248,4.575,14,14,3.891,6,3,0,0.02192,0,-0.5884,-11.09465,-0.024894,0.58785,0.39153,0.025491,5.485000000000014,0.7819999999999823,0.222491,0.6730000000000018,,0,1,57,114,57,60,65,-3.109,10.891,10.891,1.570796,3.890653,3.891,3.891
2,14,complete,121,60,60,7.566,7101.376,6.276,25,22.002,-4.669,3,2,0.25684,0,0.007811,0.25684,-11.08309,0.007811,0.25684,0.075,0.007811,2.1430000000000007,0.6900000000000546,0.065604,0.6900000000000546,120,1,0,71,142,71,80,78,-15.67,6.332,15.67,1.570796,-4.66933,4.669,4.669
2,15,complete,123,62,60,5.814,3593.304,4.465,13,2.235,-6.984,2,2,-0.69425,-1.16856,-0.117148,-0.52712,-3.76455,0.082654,1.63956,1.16856,0.117148,41.528999999999996,6.949999999999989,1.877332,2.209000000000003,,0,1,55,110,55,55,49,-8.101,-5.867,8.101,1.570796,-6.98412,6.984,6.984
2,16,complete,122,61,60,3.306,3597.108,6.323,12,0,11.405,1,1,0,1.09672,0,-1.1001,-10.11304,-0.09616,0.53799,1.17761,0.027635,4.792999999999978,4.823000000000036,0.26418600000000003,3.105000000000018,,0,1,49,98,49,49,48,11.405,11.405,11.405,1.570796,11.405198,11.405,11.405
2,17,complete,122,61,60,5.48,5629.969,2.731,19,5,8.049,2,1,0,0.2193,0,-1.42023,-10.89089,-0.041495,1.2881,0.55217,0.046754,15.833999999999975,3.965000000000032,0.552746,3.376000000000033,,0,1,58,116,58,59,60,5.549,10.549,10.549,1.570796,8.048915,8.049,8.049
2,18,complete,120,59,60,3.562,630.087,1.933,18,0,4.574,1,1,0,0,0,-1.00924,-11.64108,0.102074,0.99389,3.21155,0.100521,14.052999999999997,22.51800000000003,1.659037,0.8330000000000268,,0,1,86,172,86,97,82,4.574,4.574,4.574,1.570796,4.574061,4.574,4.574
2,19,complete,129,68,60,4.006,1049.179,2.425,8,0,9.147,1,1,-1.66467,1.23113,-0.134426,-0.91522,-1.99377,0.015646,2.163,1.36065,0.134426,12.186999999999983,6.4950000000000045,0.5361420000000001,4.086000000000013,,0,1,72,144,72,73,59,9.147,9.147,9.147,1.570796,9.146727,9.147,9.147
2,20,complete,120,59,60,4.246,1052.603,1.069,5,0,-0.175,1,1,0,0,-0.008754,-0.43421,-10.98481,-0.008754,0.79064,0.23226,0.017702,15.044000000000011,1.4490000000000123,0.421065,0.0009999999999763531,,0,1,122,244,122,127,82,-0.175,-0.175,0.175,1.570796,-0.175232,0.175,0.175
