run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_span_from_com_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_com_distance_px,landing_contact_asymmetry_px
2,21,complete,120,59,60,8.592,8519.244,3.325,59,0,-27.268,1,1,-0.1618,0,-0.003061,-0.1618,-11.08248,-0.003061,0.1618,0.08829,0.003239,0.25200000000000955,0.06600000000003092,0.003185,0.047000000000025466,119,1,0,50,100,50,50,44,-27.268,-27.268,27.268,1.570796,-27.267522,27.268,27.268
2,22,complete,127,66,60,3.966,1328.128,2.502,5,0,3.403,1,1,0.08009,0.14931,-0.045098,-0.64075,-1.28533,0.0451,1.33354,0.90998,0.061895,37.11699999999999,9.069000000000017,1.451098,0,,0,1,67,134,67,70,54,3.403,3.403,3.403,1.570796,3.403454,3.403,3.403
2,23,complete,122,61,60,3.404,1817.289,0.999,56,56,-8.19,6,3,0,0,0.010967,0.39014,-11.39116,0.010967,0.37654,0.18325,0.014047,1.4230000000000018,1.1940000000000168,0.054973999999999995,1.1940000000000168,,0,1,71,142,71,78,70,-36.19,19.81,36.19,1.570796,-8.189715,8.19,8.19
2,24,complete,121,60,60,4.054,1448.135,12.846,7,6,13.557,4,2,0,2.61893,0,-0.35298,-8.38332,-0.238841,1.5433,2.8608,0.235207,32.99000000000001,14.004000000000019,1.869717,0,,0,1,66,132,66,67,62,10.557,16.557,16.557,1.570796,13.556734,13.557,13.557
2,25,complete,126,65,60,2.958,422.016,3.375,16,0,9.311,1,1,0.53636,-1.47956,0.116511,0.17243,-3.40428,-0.28718,1.71396,2.21104,0.116511,53.888000000000005,20.115999999999985,2.1259150000000004,3.585999999999956,,0,1,85,170,85,88,80,9.311,9.311,9.311,1.570796,9.310853,9.311,9.311
2,26,complete,121,60,60,4.034,1163.861,2.725,11,0,-15.881,1,1,0,3.78607,0,0.39696,-7.22322,0.307648,1.93687,3.78607,0.101002,24.53400000000002,17.19300000000004,1.627187,0,,0,1,76,152,76,82,72,-15.881,-15.881,15.881,1.570796,-15.881342,15.881,15.881
2,27,complete,121,60,60,4.88,2744.433,3.428,6,0,12.929,1,1,0,1.18594,0,-1.52095,-9.81639,-0.091902,1.18975,1.37974,0.028333,18.81899999999999,5.347000000000037,0.482957,0,,0,1,66,132,66,70,66,12.929,12.929,12.929,1.570796,12.928646,12.929,12.929
2,28,complete,130,69,60,3.352,665.675,2.082,3,0,3.666,1,1,0.83076,-0.0559,-0.002126,-0.31382,-0.74428,0.044065,1.19223,0.49099,0.03037,36.05799999999999,3.809000000000026,0.744723,0.16300000000001091,,0,1,92,184,92,95,80,3.666,3.666,3.666,1.570796,3.666397,3.666,3.666
2,29,complete,120,59,60,4.632,1624.548,2.816,3,1.997,10.825,2,1,0,1.56004,0,-0.88023,-9.42898,-0.15309,2.18391,1.56004,0.074914,64.35199999999998,11.426000000000045,2.188622,0,,0,1,83,166,83,91,70,9.826,11.823,11.823,1.570796,10.824614,10.825,10.825
2,30,complete,125,64,60,3.614,888.625,5.169,11,0,16.722,1,1,-0.83554,1.26031,-0.073061,-0.10817,0.00369,0.002979,1.67656,2.1407,0.080771,34.25699999999998,19.639999999999986,1.4118600000000001,0,,0,1,61,122,61,63,64,16.722,16.722,16.722,1.570796,16.722037,16.722,16.722
