run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_span_from_com_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_com_distance_px,landing_contact_asymmetry_px
2,1,complete,120,59,60,4.348,1775.255,7.415,3,1,-0.313,2,1,0,0,0,0.97212,-10.97629,-0.093892,1.19989,2.98649,0.091936,13.863000000000028,19.149999999999977,1.022371,0,,0,1,88,176,88,91,83,-0.813,0.187,0.813,1.570796,-0.313099,0.313,0.313
2,2,complete,120,59,60,4.144,971.803,3.723,6,3,-1.094,2,1,0.20439,0,0.010456,0.20439,-10.89966,0.010456,2.17217,1.58246,0.084666,45.17400000000001,20.45300000000003,1.323775,0.0010000000000331966,,0,1,83,166,83,90,76,-2.594,0.406,2.594,1.570796,-1.093629,1.094,1.094
2,3,complete,121,60,60,6.218,2680.781,8.535,8,0,19.161,1,1,0,0,0.014422,-1.02235,-11.41526,0.014422,0.75848,0.30896,0.022992,3.754000000000019,0.742999999999995,0.053108,0.13700000000000045,,0,1,89,178,89,93,68,19.161,19.161,19.161,1.570796,19.160929,19.161,19.161
2,4,complete,120,59,60,2.636,378.793,10.821,9,5,-1.944,2,1,0.23495,0,0,0.23495,-10.92018,0.052004,1.75044,2.66586,0.072009,40.065,22.839,1.115466,0,,0,1,54,108,54,54,62,-4.444,0.556,4.444,1.570796,-1.943854,1.944,1.944
2,5,complete,120,59,60,4.202,918.333,0.519,9,11,8.374,6,3,0,0.67424,0,-0.63034,-10.28072,-0.173925,2.07376,1.45548,0.082613,65.01499999999999,18.052999999999997,2.026455,0.29899999999997817,,0,1,84,168,84,91,85,2.874,13.874,13.874,1.570796,8.374108,8.374,8.374
2,6,complete,120,59,60,4.956,1754.612,4.805,35,35,0.422,6,3,0,0,0,-0.51552,-11.69924,-0.055945,1.0819,0.47814,0.033073,20.680000000000007,3.3280000000000314,0.39727,3.3280000000000314,,0,1,63,126,63,66,67,-17.078,17.922,17.922,1.570796,0.421711,0.422,0.422
2,7,complete,123,62,60,4.74,1831.832,2.853,4,0,11.677,1,1,0.80646,-0.28848,0.022235,0.10358,0.18993,-0.015028,0.80646,0.28848,0.022235,9.302000000000021,1.5629999999999882,0.21915300000000004,1.5629999999999882,,0,1,102,204,102,107,84,11.677,11.677,11.677,1.570796,11.676722,11.677,11.677
2,8,complete,120,59,60,5.508,2566.696,2.475,5,1.996,-28.072,2,1,0.33321,5.88248,0,0.33321,-5.0793,0.244161,0.59187,6.0747,0.240447,7.710000000000008,11.586000000000013,0.6138319999999999,0,,0,1,68,136,68,69,57,-29.07,-27.074,29.07,1.570796,-28.07216,28.072,28.072
2,9,complete,120,59,60,5.038,2670.843,2.201,5,5,-32.175,4,2,0.16163,6.97372,0,0.16163,-3.96077,0.230988,1.82488,7.14934,0.278624,46.78299999999999,11.350999999999999,2.231787,0,,0,1,78,156,78,82,79,-34.675,-29.675,34.675,1.570796,-32.174672,32.175,32.175
2,10,complete,121,60,60,6.51,5147.624,3.157,50,8,22.995,2,1,0,0,0,0.76393,-12.05984,0.022067,0.86338,0.72619,0.025863,7.555000000000007,4.450999999999965,0.21542100000000003,3.8149999999999977,,0,1,97,194,97,102,84,18.995,26.995,26.995,1.570796,22.995299,22.995,22.995
