run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_span_from_com_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_com_distance_px,landing_contact_asymmetry_px,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies
2,1,complete,132,71,60,4.348,1775.255,7.415,3,0,34.238,1,1,0.36855,2.49797,-0.072322,-0.41701,-0.14157,0.002574,0.71303,2.49797,0.072322,0.2580000000000098,2.4879999999999995,0.07990799999999998,0,,0,1,88,176,88,91,83,34.238,34.238,34.238,1.570796,34.238473,34.238,34.238,86,34.238:31.720,34.238473
2,2,complete,132,71,60,4.144,971.803,3.723,6,0,10.565,1,1,0.69832,1.80701,-0.168064,-0.20762,-0.86955,-0.024082,0.69832,1.80701,0.168064,0.7279999999999802,0.6329999999999814,0.07331100000000013,0,,0,1,83,166,83,90,76,10.565,10.565,10.565,1.570796,10.565174,10.565,10.565,137,10.565:28.745,10.565174
2,3,complete,121,60,60,6.218,2680.781,8.535,8,7,15.812,2,1,-0.15973,3.25951,0,-0.15973,-7.74984,-0.260655,0.23139,3.25951,0.011078,0.7630000000000052,0.7830000000000155,0.058707,0.2740000000000009,,0,1,89,178,89,93,68,12.312,19.312,19.312,1.570796,15.811837,15.812,15.812,266;266,19.312:33.303;12.312:33.303,19.311837;12.311837
2,4,complete,142,81,60,2.636,378.793,10.821,9,0,-29.776,1,1,1.60344,2.93223,0.102139,0.72582,-1.06135,0.169763,1.60344,3.16934,0.104049,4.324000000000012,4.263000000000034,0.2862910000000001,0,,0,1,54,108,54,54,62,-29.776,-29.776,29.776,1.570796,-29.776344,29.776,29.776,274,-29.776:15.708,-29.776344
2,5,complete,120,59,60,4.202,918.333,0.519,9,4.991,9.749,2,1,0,1.16239,0,-0.64331,-9.80621,-0.188526,1.58369,2.21817,0.185826,22.973000000000013,18.437999999999988,1.9646069999999998,0,,0,1,84,168,84,91,85,7.253,12.245,12.245,1.570796,9.749114,9.749,9.749,408;408,7.253:40.283;12.245:39.990,7.253433;12.244795
2,6,complete,120,59,60,4.956,1754.612,4.805,35,35,0.422,6,3,0,0,0,-0.51529,-11.70655,-0.056044,1.08291,0.4786,0.032492,19.901999999999987,3.358000000000004,0.39289300000000005,3.358000000000004,,0,1,63,126,63,66,67,-17.078,17.922,17.922,1.570796,0.421711,0.422,0.422,471;471;472;472;473;473,17.922:41.457;15.922:41.457;-5.078:41.457;-17.078:41.457;-5.078:42.457;-16.078:42.457,17.921711;15.921711;-5.078289;-17.078289;-5.078289;-16.078289
2,7,complete,120,59,60,4.74,1831.832,2.853,4,5,-12.603,6,3,0,2.34385,0,0.57434,-8.57696,0.208539,1.06384,2.57551,0.179397,16.521000000000015,3.774000000000001,0.583885,0,,0,1,102,204,102,107,84,-15.103,-10.103,15.103,1.570796,-12.602954,12.603,12.603,575;575;576;576;577;577,-10.103:41.789;-15.103:41.789;-11.103:42.789;-15.103:42.789;-12.103:43.789;-14.103:43.789,-10.102954;-15.102954;-11.102954;-15.102954;-12.102954;-14.102954
2,8,complete,120,59,60,5.508,2566.696,2.475,5,6,-24.468,6,3,0,5.59703,0,0.35377,-5.3511,0.248504,0.77149,5.97585,0.235781,11.61699999999999,11.954999999999984,0.90709,0,,0,1,68,136,68,69,57,-27.468,-21.468,27.468,1.570796,-24.468046,24.468,24.468,645;645;646;646;647;647,-21.468:39.187;-27.468:39.187;-22.468:40.187;-27.468:40.187;-24.468:41.187;-26.468:41.187,-21.468046;-27.468046;-22.468046;-27.468046;-24.468046;-26.468046
2,9,complete,120,59,60,5.038,2670.843,2.201,5,7,-33.175,6,3,0.27709,6.92193,0,0.27709,-4.01256,0.230109,1.94756,7.09834,0.282236,48.77099999999999,10.788999999999987,2.222615,0,,0,1,78,156,78,82,79,-36.675,-29.675,36.675,1.570796,-33.174672,33.175,33.175,725;725;726;726;727;727,-29.675:40.230;-36.675:40.230;-29.675:41.230;-34.675:41.230;-30.675:42.230;-33.675:42.230,-29.674672;-36.674672;-29.674672;-34.674672;-30.674672;-33.674672
2,10,complete,121,60,60,6.51,5147.624,3.157,50,8,22.788,2,1,0,0,0,0.80955,-11.95813,0.023066,0.8434,0.63919,0.027076,7.4339999999999975,3.915999999999997,0.224524,3.1229999999999905,,0,1,97,194,97,102,84,18.788,26.787,26.787,1.570796,22.787574,22.788,22.788,826;826,26.787:35.149;18.788:35.060,26.787325;18.787822
