run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_span_from_com_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_com_distance_px,landing_contact_asymmetry_px,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies
2,11,complete,121,60,60,7.92,8547.864,7.191,25,25,1.508,4,2,-0.00247,0.00006,0.000047,-0.00247,-11.02956,0.000047,0.01707,0.00049,0.000597,0.025999999999982037,0.5060000000000286,0.001132,0.5060000000000286,120,1,0,78,156,78,80,67,-10.992,14.008,14.008,1.570796,1.508349,1.508,1.508,905;905;906;906,-10.992:35.373;14.008:35.370;-6.992:36.373;9.008:36.371,-10.991651;14.008349;-6.991529;9.008471
2,12,complete,121,60,60,3.718,2601.283,4.837,6,0,-17.165,1,1,0,3.14237,0,0.46606,-7.93436,0.182036,1.06798,3.14237,0.038046,13.566999999999979,6.343000000000018,0.576359,0,,0,1,65,130,65,66,71,-17.165,-17.165,17.165,1.570796,-17.165053,17.165,17.165,973,-17.165:28.688,-17.165053
2,13,complete,122,61,60,4.536,3981.248,4.575,14,5,2.518,3,2,-0.16135,0.00012,-0.006887,-0.16135,-11.18985,-0.006887,0.28795,0.1852,0.012468,4.599000000000018,0.43600000000003547,0.19705899999999998,0.012000000000000455,121,1,0,57,114,57,60,65,0.018,5.018,5.018,1.570796,2.517896,2.518,2.518,1031;1031;1032,0.018:23.489;2.018:23.478;5.018:23.462,0.017933;2.017903;5.017859
2,14,complete,121,60,60,7.566,7101.376,6.276,25,20,-5.72,2,1,0,0,0,0.4999,-11.10284,0.015272,0.47978,0.09849,0.014382,10.540999999999997,0.3919999999999959,0.294522,0.3919999999999959,,0,1,71,142,71,80,78,-15.72,4.28,15.72,1.570796,-5.720159,5.72,5.72,1105;1105,4.280:34.946;-15.720:34.875,4.279778;-15.720095
2,15,complete,121,60,60,5.814,3593.304,4.465,13,0,15.844,1,1,0,2.15731,0,-1.54317,-8.89926,-0.134673,1.97961,2.15731,0.062412,66.18,9.12700000000001,2.217928,0,,0,1,55,110,55,55,49,15.844,15.844,15.844,1.570796,15.844154,15.844,15.844,1162,15.844:36.104,15.844154
2,16,complete,124,63,60,3.306,3597.108,6.323,12,0,12.953,1,1,-1.50072,0.8549,-0.066003,0.30084,0.09633,-0.005951,1.50072,0.87043,0.066003,3.2319999999999993,3.072999999999979,0.143418,2.291999999999973,,0,1,49,98,49,49,48,12.953,12.953,12.953,1.570796,12.952747,12.953,12.953,1213,12.953:19.524,12.952747
2,17,complete,122,61,60,5.48,5629.969,2.731,19,10.009,5.482,3,2,0,0.01799,0,-1.01586,-11.10551,-0.037805,1.01214,0.42603,0.03877,11.869,2.984999999999957,0.434265,2.6689999999999827,,0,1,58,116,58,59,60,0.478,10.487,10.487,1.570796,5.482282,5.482,5.482,1272;1273;1273,0.478:25.943;5.487:26.899;10.487:26.854,0.478023;5.486740;10.486541
2,18,complete,123,62,60,3.562,630.087,1.933,18,0,-6.093,1,1,-0.49779,-0.08872,-0.008254,-0.21244,0.12162,0.059776,1.90344,2.68512,0.101818,38.202,25.523000000000025,1.3125049999999998,0.4200000000000159,,0,1,86,172,86,97,82,-6.093,-6.093,6.093,1.570796,-6.093012,6.093,6.093,1361,-6.093:43.796,-6.093012
2,19,complete,120,59,60,4.006,1049.179,2.425,8,8,10.332,4,2,-0.33446,1.89363,0,-0.33446,-9.04086,-0.263849,0.87021,3.55819,0.227916,8.316000000000003,22,1.879597,0,,0,1,72,144,72,73,59,6.332,14.332,14.332,1.570796,10.331752,10.332,10.332,1434;1434;1435;1435,14.332:40.666;6.332:40.666;14.332:41.666;7.332:41.666,14.331752;6.331752;14.331752;7.331752
2,20,complete,120,59,60,4.246,1052.603,1.069,5,0,-0.295,1,1,-0.28422,0,-0.007787,-0.28422,-10.98611,-0.007787,0.76053,0.21146,0.018076,13.070999999999998,1.38900000000001,0.377946,0,,0,1,122,244,122,127,82,-0.295,-0.295,0.295,1.570796,-0.295493,0.295,0.295,1559,-0.295:42.064,-0.295493
