run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_span_from_com_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_com_distance_px,landing_contact_asymmetry_px,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies
2,21,complete,121,60,60,8.592,8519.244,3.325,59,59,2.212,4,2,-0.05585,0,-0.001441,-0.05585,-11.05754,-0.001441,0.05585,0.02418,0.001441,0.04399999999998272,0.03699999999997772,0.001201,0.03699999999997772,120,1,0,50,100,50,50,44,-27.288,31.712,31.712,1.570796,2.212436,2.212,2.212,1610;1610;1611;1611,-27.288:37.696;26.712:37.666;27.712:37.665;31.712:37.663,-27.287559;26.712433;27.712433;31.712432
2,22,complete,121,60,60,3.966,1328.128,2.502,5,6,1.032,6,3,0,0,0,1.36917,-11.37018,-0.173737,2.54948,1.78784,0.298279,61.08800000000002,17.041999999999973,2.601565,3.524000000000001,,0,1,67,134,67,70,54,-1.968,4.032,4.032,1.570796,1.031518,1.032,1.032,1678;1678;1679;1679;1680;1680,4.032:33.539;-1.968:33.539;3.032:34.539;-1.968:34.539;3.032:35.539;-0.968:35.539,4.031518;-1.968482;3.031518;-1.968482;3.031518;-0.968482
2,23,complete,122,61,60,3.404,1817.289,0.999,56,56,-8.19,6,3,0,0,0.010967,0.39014,-11.39116,0.010967,0.36362,0.18768,0.01488,1.2150000000000034,1.1920000000000073,0.052611000000000005,1.1920000000000073,,0,1,71,142,71,78,70,-36.19,19.81,36.19,1.570796,-8.189715,8.19,8.19,1751;1751;1752;1752;1753;1753,-32.190:25.958;-36.190:25.943;19.810:26.140;7.810:26.098;18.807:27.137;9.807:27.105,-32.189567;-36.189542;19.810112;7.810186;18.806603;9.806658
2,24,complete,121,60,60,4.054,1448.135,12.846,7,6,13.557,4,2,0,2.61894,0,-0.35298,-8.38333,-0.238841,1.61822,2.84666,0.23542,32.385999999999996,14.008000000000038,1.870973,0,,0,1,66,132,66,67,62,10.557,16.557,16.557,1.570796,13.556734,13.557,13.557,1819;1819;1821;1821,12.557:34.289;10.557:34.289;16.557:34.289;14.557:34.289,12.556734;10.556734;16.556734;14.556734
2,25,complete,126,65,60,2.958,422.016,3.375,16,0,9.397,1,1,0.51496,-1.4737,0.119562,0.15134,-3.41162,-0.283384,1.67021,2.17073,0.119562,49.676000000000016,20.114000000000033,2.1203269999999996,3.608000000000004,,0,1,85,170,85,88,80,9.397,9.397,9.397,1.570796,9.396838,9.397,9.397,1826,9.397:33.963,9.396838
2,26,complete,121,60,60,4.034,1163.861,2.725,11,0,-16.025,1,1,0,3.76604,0,0.44679,-7.23647,0.302062,0.88877,3.76604,0.126479,11.427000000000021,17.128999999999962,1.803286,0,,0,1,76,152,76,82,72,-16.025,-16.025,16.025,1.570796,-16.024979,16.025,16.025,1986,-16.025:36.278,-16.024979
2,27,complete,121,60,60,4.88,2744.433,3.428,6,0,12.931,1,1,0,1.18751,0,-1.52179,-9.82162,-0.091947,2.17403,1.3685,0.062183,18.75399999999999,5.347000000000037,0.48351600000000006,0,,0,1,66,132,66,70,66,12.931,12.931,12.931,1.570796,12.930845,12.931,12.931,2054,12.931:39.445,12.930845
2,28,complete,120,59,60,3.352,665.675,2.082,3,1.993,-13.521,2,1,0,2.89389,0,0.50445,-8.08832,0.292306,1.63637,2.89389,0.066167,38.05199999999999,16.662000000000035,1.380775,0.5800000000000409,,0,1,92,184,92,95,80,-14.518,-12.524,14.518,1.570796,-13.521087,13.521,13.521,2148;2148,-12.524:39.170;-14.518:39.006,-12.524450;-14.517724
2,29,complete,120,59,60,4.632,1624.548,2.816,3,1.998,10.754,2,1,0,1.63124,0,-0.78042,-9.36457,-0.162196,2.18557,1.63124,0.076583,63.75199999999998,11.469000000000051,2.1841340000000002,0,,0,1,83,166,83,91,70,9.755,11.753,11.753,1.570796,10.754102,10.754,10.754,2233;2233,9.755:38.595;11.753:38.497,9.755297;11.752908
2,30,complete,122,61,60,3.614,888.625,5.169,11,0,10.669,1,1,-1.09167,0.35205,-0.036137,-0.23317,-0.11319,0.026405,2.04378,2.26087,0.081939,48.25200000000001,23.055999999999983,1.690869,0,,0,1,61,122,61,63,64,10.669,10.669,10.669,1.570796,10.668977,10.669,10.669,2296,10.669:41.729,10.668977
