run,piece,transition_index,previous_event_index,next_event_index,previous_end_substep,next_start_substep,gap_substeps,previous_duration_substeps,next_duration_substeps,previous_end_x,next_start_x,delta_x_during_gap,previous_end_y,next_start_y,delta_y_during_gap,previous_end_angle,next_start_angle,delta_angle_during_gap,previous_end_vx,next_start_vx,delta_vx_across_gap,previous_end_vy,next_start_vy,delta_vy_across_gap,previous_end_angular_velocity,next_start_angular_velocity,delta_angular_across_gap,next_start_contact_width_px,next_start_contact_offset_px,previous_max_abs_delta_vx,previous_max_abs_delta_angular,previous_max_delta_vt,loop_class,angular_persistence,linear_persistence
1,6,1,1,2,240,305,64,4,216,195.210,205.556,10.346,477.375,484.560,7.186,0.147247,2.318091,2.170843,0.717959,0.317858,-0.400101,-1.855116,-0.005081,1.850034,0.150645,0.000515,-0.150130,8.533,15.957,0.244155,0.225777,0.244155,MIXED_RECONTACT_LOOP,0,0
1,9,1,1,2,247,257,9,8,5,196.451,200.796,4.345,487.136,491.534,4.397,0.258363,0.635453,0.377089,1.781081,1.827080,0.045998,1.400795,-0.955608,-2.356403,0.154582,0.120259,-0.034323,1.781,11.850,1.060365,0.204335,1.060365,ANGULAR_RECONTACT_LOOP,1,0
1,9,2,2,3,261,267,5,5,370,202.868,206.256,3.387,490.560,489.548,-1.011,0.738483,0.864952,0.126468,2.310954,2.197883,-0.113072,-0.832290,-1.223579,-0.391289,0.086278,0.074027,-0.012251,0.761,25.602,0.208706,0.029217,0.208706,RECONTACT,1,0
1,10,1,1,2,243,272,28,3,349,194.842,189.303,-5.539,485.812,480.486,-5.326,-0.069564,-0.488074,-0.418511,-0.805334,-0.748774,0.056560,-1.416429,-0.483808,0.932621,-0.060844,-0.035176,0.025668,4.885,19.312,0.430784,0.200302,0.430784,ANGULAR_RECONTACT_LOOP,1,0
