run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,landing_dynamic_body_count,landing_other_dynamic_body_ids,narrow_landing_evaluated,narrow_landing_contact_width_px,narrow_landing_contact_source,narrow_landing_contact_offset_px,narrow_landing_angular_before,narrow_landing_angular_delta,narrow_landing_angular_after,narrow_landing_width_condition,narrow_landing_offset_condition,narrow_landing_delta_condition,narrow_landing_correction,narrow_landing_correction_applied,narrow_landing_correction_latched,narrow_landing_contact_width_latched_px,narrow_landing_contact_source_latched,narrow_landing_contact_offset_latched_px,narrow_landing_angular_before_latched,narrow_landing_angular_delta_latched,narrow_landing_angular_after_latched,narrow_landing_width_condition_latched,narrow_landing_offset_condition_latched,narrow_landing_delta_condition_latched,narrow_landing_correction_applied_latched
1,1,complete,120,59,60,4.348,1775.255,7.415,3,2,1,0.002333,0,10.88643,0,0.13644,0.0066,0.004954,0.13644,-10.87983,0.004954,1.19356,0.48535,0.031163,30.812000000000012,4.6229999999999905,0.612808,0,,0,1,88,176,88,91,83,-1.4,-0.4,1.570796,-0.900341,90;90,-0.400:48.372;-1.400:48.370,-0.400342;-1.400340,1,,1,0.577,geometry-edge,16.925,0.000774,-0.000361,0.000412,1,1,0,0.000000,0,,,,,,,,0,0,0,0
1,2,complete,120,59,60,4.144,971.803,3.723,6,4,2,0,0,10.90709,0,0,0,0,0.58123,-11.15254,-0.07644,0.82568,2.52001,0.11337,14.741000000000014,17.007000000000005,1.234737,0.6700000000000159,,0,1,83,166,83,90,76,-3.594,2.406,1.570796,-0.593629,174;174;175;175,2.406:43.611;-3.594:43.611;0.406:44.611;-2.594:44.611,2.406371;-3.593629;0.406371;-2.593629,1,,1,48.256,geometry-edge,9.687,-0.000004,0.000008,0.000004,0,1,0,0.000000,0,0.066530,2.540,geometry-edge,6.170,-0.096821,0.131363,0.025803,1,1,1,1
1,3,complete,120,59,60,6.218,2680.781,8.535,8,2,1,0,0,11.0026,0,-0.10164,3.2868,0,-0.10164,-7.71581,-0.234395,0.31787,3.2868,0.009631,0.8299999999999841,0.6569999999999823,0.055092,0.13900000000001,,0,1,89,178,89,93,68,12.312,19.312,1.570796,15.811837,266;266,19.312:33.303;12.312:33.303,19.311837;12.311837,1,,1,59.072,geometry-edge,8.963,0.000000,-0.000000,-0.000000,0,1,0,0.000000,0,0.112623,7.000,geometry-edge,15.812,0.000000,-0.264144,-0.234395,1,1,1,1
1,4,complete,120,59,60,2.636,378.793,10.821,9,1,1,0.02177,0,10.96179,0,0,0.00838,0.013477,0.38905,-10.95341,0.013477,1.80077,2.55635,0.069572,46.053,22.849999999999966,1.1197489999999999,0,,0,1,54,108,54,54,62,-0.423,-0.423,1.570796,-0.423476,322,-0.423:44.997,-0.423476,1,,1,64.411,geometry-edge,5.858,-0.000001,0.000001,0.000000,0,1,0,0.000000,0,,,,,,,,0,0,0,0
1,5,complete,120,59,60,4.202,918.333,0.519,9,2,1,-0.065366,0,10.97541,0,0,1.26281,0,-0.38927,-9.71259,-0.236997,0.90384,2.46794,0.233391,9.463999999999999,18.351,1.9537999999999998,0,,0,1,84,168,84,91,85,7.518,12.508,1.570796,10.012919,408;408,7.518:40.235;12.508:39.908,7.518257;12.507580,1,,1,40.309,geometry-edge,6.633,0.000000,-0.000000,-0.000000,0,1,0,0.000000,0,0.152798,5.055,geometry-edge,9.980,-0.257320,0.023988,-0.236997,1,1,1,1
1,6,complete,128,67,60,4.956,1754.612,4.805,35,1,1,-0.228149,-0.55117,0.82184,-0.02775,-0.52633,-0.06055,-0.009405,0.02484,-0.88239,0.018345,0.65409,0.14669,0.014376,16.48599999999999,1.031000000000006,0.347319,0.40800000000001546,,0,1,63,126,63,66,67,-6.059,-6.059,1.570796,-6.058905,473,-6.059:44.994,-6.058905,1,,1,0.544,geometry-edge,9.346,-0.016124,0.001748,-0.014376,1,1,0,0.000000,0,,,,,,,,0,0,0,0
1,7,complete,120,59,60,4.74,1831.832,2.853,4,4,2,0,0,10.91396,0,0.2366,2.81328,0,0.2366,-8.10068,0.162564,1.43086,2.81328,0.035006,14.670999999999992,4.430999999999983,0.378404,0,,0,1,102,204,102,107,84,-15.103,-11.103,1.570796,-13.102954,576;576;577;577,-11.103:42.789;-15.103:42.789;-12.103:43.789;-14.103:43.789,-11.102954;-15.102954;-12.102954;-14.102954,1,,1,42.718,geometry-edge,4.068,-0.002856,0.003094,0.000238,0,0,0,0.000000,0,0.337623,4.000,geometry-edge,13.103,0.000000,0.245426,0.162564,1,1,1,1
1,8,complete,120,59,60,5.508,2566.696,2.475,5,2,1,0.101791,0,11.0026,0,0,5.21337,0,0.49754,-5.78923,0.196597,0.7316,5.40393,0.193781,5.6769999999999925,10.576999999999998,0.517212,0,,0,1,68,136,68,69,57,-30.516,-28.527,1.570796,-29.521439,647;647,-28.527:38.487;-30.516:38.284,-28.526615;-30.516263,1,,1,21.937,geometry-edge,1.386,0.000140,0.000837,0.000977,0,0,0,0.000000,0,0.250000,6.000,geometry-edge,24.468,0.000000,0.256464,0.192348,1,1,1,1
1,9,complete,120,59,60,5.038,2670.843,2.201,5,2,1,0.076767,0,10.98902,0,0,5.88983,0,0.44596,-5.09919,0.17319,1.93127,5.88983,0.061168,24.888000000000005,10.808999999999969,0.8367669999999999,0,,0,1,78,156,78,82,79,-36.814,-33.823,1.570796,-35.31861,727;727,-33.823:39.753;-36.814:39.523,-33.823028;-36.814192,1,,1,0.553,geometry-edge,19.766,0.000000,-0.000000,0.000000,1,1,0,0.000000,0,0.375000,5.000,geometry-edge,32.175,0.000000,0.233597,0.145998,1,1,1,1
1,10,complete,129,68,60,6.51,5147.624,3.157,50,1,1,-0.239437,-0.95354,0.83269,-0.021762,-0.71485,-0.15098,-0.01238,0.23869,-0.98367,0.009382,0.92376,0.59416,0.029836,11.263000000000005,4.319999999999993,0.331433,0.8559999999999945,,0,1,97,194,97,102,84,-12.201,-12.201,1.570796,-12.201297,824,-12.201:37.821,-12.201297,1,,1,48.036,geometry-edge,4.053,-0.000000,-0.000000,-0.000000,0,0,0,0.000000,0,,,,,,,,0,0,0,0
