run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,landing_dynamic_body_count,landing_other_dynamic_body_ids,narrow_landing_evaluated,narrow_landing_contact_width_px,narrow_landing_contact_source,narrow_landing_contact_offset_px,narrow_landing_angular_before,narrow_landing_angular_delta,narrow_landing_angular_after,narrow_landing_width_condition,narrow_landing_offset_condition,narrow_landing_delta_condition,narrow_landing_correction,narrow_landing_correction_applied,narrow_landing_correction_latched,narrow_landing_contact_width_latched_px,narrow_landing_contact_source_latched,narrow_landing_contact_offset_latched_px,narrow_landing_angular_before_latched,narrow_landing_angular_delta_latched,narrow_landing_angular_after_latched,narrow_landing_width_condition_latched,narrow_landing_offset_condition_latched,narrow_landing_delta_condition_latched,narrow_landing_correction_applied_latched
1,11,complete,121,60,60,7.92,8547.864,7.191,25,2,1,-0.00002,0,11.07675,0,-0.16615,0,-0.001433,-0.16615,-11.0799,-0.001433,0.16615,0.01491,0.002613,0.3480000000000132,0.024999999999977263,0.0039369999999999995,0.024999999999977263,119,1,0,78,156,78,80,67,-6.995,9.005,1.570796,1.004751,906;906,-6.995:36.372;9.005:36.372,-6.995249;9.004751,1,,0,,,,0.000000,,0.000000,0,0,0,0.000000,0,,,,,,,,0,0,0,0
1,12,complete,122,61,60,3.718,2601.283,4.837,6,1,1,0.1089,0,11.1369,0,0,2.38175,0,1.11231,-8.75515,0.125823,0.2566,2.38175,0.005404,7.555000000000007,5.268000000000029,0.249707,0,,0,1,65,130,65,66,71,-18.84,-18.84,1.570796,-18.840113,973,-18.840:27.616,-18.840113,1,,1,50.920,geometry-edge,3.165,-0.000000,0.000000,-0.000000,0,0,0,0.000000,0,0.250000,6.000,geometry-edge,17.727,0.000000,0.193366,0.145024,1,1,1,1
1,13,complete,122,61,60,4.536,3981.248,4.575,14,2,1,-0.017525,0,11.20976,0,0,0.00735,0,-0.5702,-11.20242,-0.024291,0.576,0.27136,0.024934,5.162000000000006,0.5920000000000414,0.19914500000000002,0.16100000000000136,,0,1,57,114,57,60,65,0.302,2.302,1.570796,1.302124,1031;1031,0.302:23.487;2.302:23.452,0.302277;2.301970,1,,1,37.852,geometry-edge,12.418,-0.000000,0.000000,-0.000000,0,1,0,0.000000,0,,,,,,,,0,0,0,0
1,14,complete,120,59,60,7.566,7101.376,6.276,25,2,1,0,0,10.99581,0,0.1413,0,0,0.1413,-11.14489,0.035917,0.58096,0.09468,0.023112,11.591000000000008,0.6280000000000427,0.337293,0.6280000000000427,,0,1,71,142,71,80,78,-15.596,4.404,1.570796,-5.595691,1105;1105,4.404:34.931;-15.596:34.931,4.404309;-15.595691,1,,1,0.165,geometry-edge,1.343,-0.004033,-0.000123,-0.004156,1,0,0,0.000000,0,,,,,,,,0,0,0,0
1,15,complete,120,59,60,5.814,3593.304,4.465,13,1,1,-0.049802,0,10.99581,0,-0.28359,2.32784,0,-0.28359,-8.66797,-0.19617,1.72598,2.81669,0.193186,38.74000000000001,10.449999999999989,2.333946,0,,0,1,55,110,55,55,49,12.631,12.631,1.570796,12.630933,1162,12.631:37.350,12.630933,1,,1,0.967,geometry-edge,12.952,0.017164,-0.000656,0.016508,1,1,0,0.000000,0,0.138620,3.174,geometry-edge,7.758,-0.190247,0.070343,-0.129655,1,1,1,1
1,16,complete,122,61,60,3.306,3597.108,6.323,12,3,2,-0.014323,0,11.17672,0,0,0.2844,0,-1.19184,-10.89232,-0.056508,1.08892,0.68014,0.054473,5.366000000000014,1.9379999999999882,0.25003600000000004,0,,0,1,49,98,49,49,48,5.098,16.111,1.570796,10.604465,1212;1213;1213,5.098:20.208;10.112:21.136;16.111:21.050,5.097868;10.111677;16.111062,1,,1,46.314,geometry-edge,14.077,-0.000000,0.000000,-0.000000,0,1,0,0.000000,0,0.172383,6.026,geometry-edge,13.381,0.000000,-0.056421,-0.046695,1,1,1,1
1,17,complete,121,60,60,5.48,5629.969,2.731,19,4,2,0,0,11.08346,0,-0.30945,0.13491,0,-0.30945,-10.94854,-0.07077,1.04982,0.49996,0.048407,13.853000000000009,3.4740000000000464,0.501766,3.1790000000000305,,0,1,58,116,58,59,60,0.247,19.247,1.570796,9.746715,1272;1272;1273;1273,19.247:25.947;0.247:25.947;10.247:26.947;5.247:26.947,19.246715;0.246715;10.246715;5.246715,1,,1,5.055,geometry-edge,5.993,0.008250,-0.000354,0.007896,1,1,0,0.000000,0,0.099247,5.016,geometry-edge,8.193,0.000000,-0.061833,-0.055696,1,1,1,1
1,18,complete,127,66,60,3.562,630.087,1.933,18,1,1,-0.295793,1.10826,0.76362,-0.053782,0.77522,-0.0141,0.01928,-0.33305,-0.77772,0.073062,1.7572,2.37677,0.080467,62.03000000000003,23.05200000000002,1.789457,0.013000000000033651,,0,1,86,172,86,97,82,1.034,1.034,1.570796,1.034438,1361,1.034:44.206,1.034438,1,,1,1.994,geometry-edge,0.954,0.059101,-0.001833,0.057268,1,0,0,0.000000,0,,,,,,,,0,0,0,0
1,19,complete,127,66,60,4.006,1049.179,2.425,8,1,1,-1.779665,-0.33623,3.51242,-0.234066,-0.22628,0.98348,0.028414,0.10996,-2.52895,0.26248,0.63577,0.99386,0.03211,3.6850000000000023,2.1129999999999995,0.23415300000000006,0,,0,1,72,144,72,73,59,-29.568,-29.568,1.570796,-29.567762,1370,-29.568:21.261,-29.567762,1,,1,17.024,geometry-edge,3.745,-0.002052,0.000194,-0.001857,0,0,0,0.000000,0,0.085792,7.053,geometry-edge,13.696,-0.276733,0.021436,-0.257136,1,1,1,1
1,20,complete,121,60,60,4.246,1052.603,1.069,5,1,1,0.080238,0,11.0229,0,0,0,0,-1.56566,-11.24459,0.186633,1.54184,2.6433,0.183794,43.742999999999995,19.09699999999998,2.054721,0.04399999999998272,,0,1,122,244,122,127,82,-0.023,-0.023,1.570796,-0.022834,1559,-0.023:42.194,-0.022834,1,,1,2.934,geometry-edge,2.351,0.012454,0.001584,0.014038,1,0,0,0.000000,0,,,,,,,,0,0,0,0
