run,piece,compound_mode,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_solver_angular_velocity,landing_solver_delta_angular_velocity,landing_correction_delta_angular_velocity,landing_total_delta_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,stable_frame,stable_confirmed,stable_required_frames,stable_confirmation_frames,measurement_end_frame,measurement_end_reason,stable_detection_mode,sleep_ground_contact_end_substep,sleep_ground_contact_gap_substeps,sleep_stable_confirmation_frame,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,landing_contact_world_xy_px,landing_contact_relative_xy_px,landing_contact_normal_xy,landing_contact_omega_cross_r_px_per_frame,landing_contact_point_velocity_px_per_frame,narrow_landing_correction_latched,narrow_landing_contact_width_latched_px,narrow_landing_contact_source_latched,narrow_landing_contact_offset_latched_px,narrow_landing_angular_before_latched,narrow_landing_angular_delta_latched,narrow_landing_angular_after_latched,narrow_landing_correction_applied_latched,first_ground_contact_substep,first_ground_contact_vx_before,first_ground_contact_vx_after,first_ground_contact_delta_vx,first_ground_contact_vy_before,first_ground_contact_vy_after,first_ground_contact_delta_vy,first_ground_contact_angular_before,first_ground_contact_angular_after,first_ground_contact_delta_angular,first_ground_contact_delta_x,first_ground_contact_delta_y,first_ground_contact_width_px,first_ground_contact_offset_px,first_ground_contact_source,max_ground_delta_vx,max_ground_delta_vx_before,max_ground_delta_vx_after,max_ground_delta_vy,max_ground_delta_angular,max_ground_delta_vx_substep,max_ground_delta_vx_contact_width_px,max_ground_delta_vx_contact_offset_px,max_ground_delta_vx_contact_source,first_ground_response_normal_x,first_ground_response_normal_y,first_ground_response_normal_angle_rad,first_ground_response_tangent_x,first_ground_response_tangent_y,first_ground_response_depth,first_ground_response_separation,first_ground_response_friction,first_ground_response_friction_static,first_ground_response_delta_vn,first_ground_response_delta_vt,first_ground_response_linear_impulse_normal_proxy,first_ground_response_linear_impulse_tangent_proxy,first_ground_response_angular_impulse_proxy,first_ground_response_angular_impulse_solver_proxy,first_ground_response_pair_count,first_ground_response_contact_count,first_ground_response_support_count,first_ground_response_pair_id,max_ground_response_normal_x,max_ground_response_normal_y,max_ground_response_normal_angle_rad,max_ground_response_tangent_x,max_ground_response_tangent_y,max_ground_response_depth,max_ground_response_separation,max_ground_response_friction,max_ground_response_friction_static,max_ground_response_delta_vn,max_ground_response_delta_vt,max_ground_response_linear_impulse_normal_proxy,max_ground_response_linear_impulse_tangent_proxy,max_ground_response_angular_impulse_proxy,max_ground_response_angular_impulse_solver_proxy,max_ground_response_pair_count,max_ground_response_contact_count,max_ground_response_support_count,max_ground_response_pair_id
1,1,intermediate,complete,109,59,49,4.348,1775.255,7.415,3,4,2,0,0,10.86575,0,-0.054572,-0.054572,0,-0.054572,0,0,0,0.64386,-11.00438,-0.054572,1.25048,2.46197,0.126769,20.819999999999993,19.14399999999995,1.254434,0.5029999999999859,,0,1,89,1,20,20,108,stable_confirmed,CONTACT_MOTION,,,,88,176,88,91,83,-2.287,0.713,1.570796,-0.787489,6;6;13;13,:;:;:;:,-0.287489;-1.287489;0.712511;-2.287489,194.713:521.524;193.713:521.524;195.713:520.524;192.713:520.524,-0.287:48.373;-1.287:48.373;0.713:47.373;-2.287:47.373,0.000000:1.000000;0.000000:1.000000;0.000000:1.000000;0.000000:1.000000,0.000000:0.000000;0.000000:0.000000;0.000000:0.000000;0.000000:0.000000,0.000000:0.000000;0.000000:0.000000;0.000000:0.000000;0.000000:0.000000,0.646995,2.824,geometry-edge,25.348,-0.110333,0.138130,-0.061573,1,240,0.000000,0.643862,0.643862,10.948107,-0.138630,-11.086737,0.000000,-0.054572,-0.054572,0.000000,2.015042,3.000,0.787,geometry-edge,1.178488,0.000000,1.178488,-0.076016,-0.117990,241,1.014,0.124,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,1.143044,,0.350000,1.000000,-11.086737,-0.643862,-48.205134,-2.799512,-96.878605,-96.878605,2,4,4,2:6,0.000000,1.000000,1.570796,-1.000000,0.000000,0.520046,,0.350000,1.000000,-0.076016,-1.178488,-0.330518,-5.124066,-209.462947,-209.462947,1,2,2,2:6
1,2,intermediate,complete,147,59,87,4.144,971.803,3.723,6,2,1,0.004949,0,10.92077,0,0.008996,-0.010484,0,-0.010484,0.2109,0,0.008996,0.2109,-10.92241,0.008996,2.14307,1.55262,0.082026,51.958,20.461000000000013,1.3086209999999998,0.0010000000000331966,,0,1,127,1,20,20,146,stable_confirmed,CONTACT_MOTION,,,,83,166,83,90,76,-2.814,0.186,1.570796,-1.314377,99;99,:;:,0.185605;-2.814358,195.225:521.025;192.226:521.011,0.186:44.613;-2.814:44.598,0.000000:1.000000;0.000000:1.000000,-0.401342:0.001670;-0.401208:-0.025318,-0.190441:0.001670;-0.190307:-0.025318,,,,,,,,0,239,0.000000,0.157034,0.157034,10.978784,-0.009755,-10.988538,0.000000,0.019481,0.019481,0.000000,2.309098,3.000,1.094,geometry-edge,0.274686,1.683960,1.958647,-0.698832,0.009756,442,17.018,22.132,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,0.523346,,0.350000,1.000000,-10.988538,-0.157034,-45.536502,-0.650749,18.931244,18.931244,1,2,2,2k:2r,0.000000,1.000000,1.570796,-1.000000,0.000000,0.115053,,0.350000,1.000000,-0.698832,-0.274686,-2.895958,-1.138300,9.481118,9.481118,2,2,4,2k:2q
1,3,intermediate,complete,110,60,49,6.218,2680.781,8.535,8,2,1,0,0,11.00934,0,-0.264305,-0.264305,0.033038,-0.231267,-0.10164,3.28879,0,-0.10164,-7.72055,-0.231267,0.30493,3.28879,0.009232,1.0209999999999866,0.63900000000001,0.054917,0.132000000000005,,0,1,90,1,20,20,109,stable_confirmed,CONTACT_MOTION,,,,89,178,89,93,68,12.312,19.312,1.570796,15.811837,186;186,:;:,19.311837;12.311837,214.312:521.026;207.312:521.026,19.312:33.303;12.312:33.303,0.000000:1.000000;0.000000:1.000000,0.000000:0.000000;0.000000:0.000000,-0.101645:3.288789;-0.101645:3.288789,0.125000,7.000,geometry-edge,15.812,0.000000,-0.264305,-0.231267,1,244,0.000000,-0.101645,-0.101645,11.095182,3.288789,-7.806393,0.000000,-0.231267,-0.231267,0.000000,2.171994,7.000,15.812,geometry-edge,-0.101645,0.000000,-0.101645,-7.806393,-0.231267,244,7.000,15.812,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,0.690018,,0.350000,1.000000,-7.806393,0.101645,-48.540155,0.632027,-619.975974,-708.543970,1,2,2,4x:56,0.000000,1.000000,1.570796,-1.000000,0.000000,0.690018,,0.350000,1.000000,-7.806393,0.101645,-48.540155,0.632027,-619.975974,-708.543970,1,2,2,4x:56
1,4,intermediate,complete,129,59,69,2.636,378.793,10.821,9,2,1,0,0,10.88625,0,0.078715,0.078715,0,0.078715,0.14952,0,0,0.14952,-10.93085,0.078715,1.70734,2.56894,0.069288,39.51400000000001,22.833000000000027,1.11065,0,,0,1,109,1,20,20,128,stable_confirmed,CONTACT_MOTION,,,,54,108,54,54,62,-4.444,0.556,1.570796,-1.943854,272;272,:;:,0.556146;-4.443854,195.556:521.026;190.556:521.026,0.556:44.995;-4.444:44.995,0.000000:1.000000;0.000000:1.000000,0.000000:0.000000;0.000000:0.000000,0.149516:0.000000;0.149516:0.000000,0.005896,5.026,geometry-edge,3.190,0.038516,-0.028492,0.010193,1,240,0.000000,0.149516,0.149516,10.973496,-0.044598,-11.018095,0.000000,0.078715,0.078715,0.000000,2.467900,5.000,1.944,geometry-edge,-0.200116,0.907024,0.706908,-0.084837,0.003376,404,0.888,25.634,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,0.363201,,0.350000,1.000000,-11.018095,-0.149516,-29.043698,-0.394125,29.816733,29.816733,1,2,2,7g:7k,0.000000,1.000000,1.570796,-1.000000,0.000000,0.049382,,0.350000,1.000000,-0.084837,0.200116,-0.223629,0.527506,1.278730,1.278730,1,1,2,7g:8y
1,5,intermediate,complete,135,59,75,4.202,918.333,0.519,9,2,1,0,0,10.93446,0,-0.279032,-0.279032,0.038141,-0.240891,-0.12693,1.39939,0,-0.12693,-9.53507,-0.240891,1.81171,1.39939,0.079477,59.88300000000001,18.746999999999957,2.02098,0,,0,1,115,1,20,20,134,stable_confirmed,CONTACT_MOTION,,,,84,168,84,91,85,4.874,9.874,1.570796,7.374108,327;327,:;:,9.874108;4.874108,204.874:521.026;199.874:521.026,9.874:40.640;4.874:40.640,0.000000:1.000000;0.000000:1.000000,0.000000:0.000000;0.000000:0.000000,-0.126928:1.399387;-0.126928:1.399387,0.136691,5.000,geometry-edge,7.374,0.000000,-0.279032,-0.240891,1,240,0.000000,-0.126928,-0.126928,11.021152,1.399387,-9.621765,0.000000,-0.240891,-0.240891,0.000000,2.151024,5.000,7.374,geometry-edge,-1.258330,-0.126928,-1.385258,0.022365,-0.024164,249,5.094,16.700,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,0.692183,,0.350000,1.000000,-9.621765,0.126928,-40.430657,0.533352,-221.218007,-256.244255,1,2,2,90:93,0.000000,1.000000,1.570796,-1.000000,0.000000,0.037903,,0.350000,1.000000,0.022365,1.258330,0.093979,5.287504,-22.191065,-34.847665,1,1,2,90:93
