run,piece,event_index,change_index,substep,reason,part_ids,contact_width_px,contact_offset_px,vx_before,vx_after,delta_vx,vy_before,vy_after,delta_vy,angular_before,angular_after,delta_angular,solver_delta_angular,correction_delta_angular,total_delta_angular,delta_vn,delta_vt,x,angle,cumulative_delta_x,cumulative_delta_angle,contact_points,support_count
1,11,1,1,242,START,844;850,25.000,1.504,0.000000,-0.105204,-0.105204,11.070020,-0.000260,-11.070280,0.000000,-0.001414,-0.001414,-0.001414,0.000000,-0.001414,-11.070280,0.105204,195.000,0.000000,0.000,0.000000,4,4
1,11,1,2,243,PART_CHANGE+WIDTH_CHANGE,844,16.000,1.016,-0.105204,-0.094302,0.010902,-0.000260,-0.011378,-0.011118,-0.001414,-0.001260,0.000154,0.000154,0.000000,0.000154,-0.011118,-0.010902,194.975,-0.000338,-0.025,-0.000338,2,2
1,12,1,1,243,START,917;920;925,8.000,16.727,0.000000,0.366254,0.366254,11.153526,2.539070,-8.614456,0.000000,0.195980,0.195980,0.195980,0.000000,0.195980,-8.614456,-0.366254,195.000,0.000000,0.000,0.000000,6,6
1,12,1,2,244,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,917,4.045,19.148,0.366254,0.594413,0.228159,2.539070,2.600191,0.061121,0.195980,0.185850,-0.010130,-0.010130,0.000000,-0.010130,0.061121,-0.228159,195.093,0.049784,0.093,0.049784,2,2
1,12,2,1,252,START,960;961,1.717,21.367,0.579072,0.969141,0.390069,3.011041,-1.159204,-4.170245,0.181053,0.139716,-0.041337,-0.137791,0.096454,-0.041337,-4.170245,-0.390069,196.250,0.411671,0.000,0.000000,2,4
1,12,2,2,253,RESPONSE,960;961,1.766,20.539,0.969141,1.369156,0.400015,-1.159204,-2.043898,-0.884695,0.139716,0.126871,-0.012845,-0.042816,0.029971,-0.012845,-0.884695,-0.400015,196.497,0.447162,0.246,0.035491,2,4
1,12,2,3,254,PART_CHANGE+WIDTH_CHANGE+RESPONSE,960,0.461,19.090,1.369156,1.667334,0.298177,-2.043898,-2.106955,-0.063057,0.126871,0.111716,-0.015155,-0.015155,0.000000,-0.015155,-0.063057,-0.298177,196.844,0.479391,0.594,0.067720,1,2
1,12,2,4,255,RESPONSE,960,0.486,18.385,1.667334,1.870958,0.203624,-2.106955,-2.028062,0.078892,0.111716,0.103621,-0.008095,-0.008095,0.000000,-0.008095,0.078892,-0.203624,197.268,0.507769,1.018,0.096098,1,2
1,12,3,1,265,START,970,1.379,21.073,1.809160,1.916472,0.107312,-1.349412,-1.696640,-0.347228,0.100199,0.082628,-0.017571,-0.017571,0.000000,-0.017571,-0.347228,-0.107312,201.832,0.760545,0.000,0.000000,1,2
1,12,3,2,301,PART_CHANGE+WIDTH_CHANGE,923;970,5.091,4.132,1.903195,1.874626,-0.028569,-0.108228,-0.302962,-0.194734,0.053217,0.051940,-0.001278,-0.001278,0.000000,-0.001278,-0.194734,0.028569,220.193,1.317252,18.361,0.556708,2,4
1,12,3,3,303,PART_CHANGE+WIDTH_CHANGE,923,0.974,5.238,1.842357,1.849207,0.006849,-0.267604,-0.243153,0.024452,0.052760,0.051519,-0.001241,-0.001241,0.000000,-0.001241,0.024452,-0.006849,221.137,1.343849,19.305,0.583304,1,2
1,12,3,4,319,PART_CHANGE,921;923,1.999,1.406,1.738040,1.730338,-0.007702,0.093682,0.066982,-0.026700,0.048114,0.048180,0.000066,0.000066,0.000000,0.000066,-0.026700,0.007702,228.328,1.540660,26.496,0.780115,3,4
1,12,3,5,320,PART_CHANGE+WIDTH_CHANGE,919;921;923,3.000,1.351,1.730338,1.728188,-0.002150,0.066982,0.040528,-0.026454,0.048180,0.047880,-0.000300,-0.000300,0.000000,-0.000300,-0.026454,0.002150,228.768,1.552899,26.936,0.792354,5,6
1,12,3,6,321,PART_CHANGE+WIDTH_CHANGE,915;919;921;923,4.000,1.267,1.728188,1.733347,0.005159,0.040528,-0.031726,-0.072254,0.047880,0.046972,-0.000908,-0.000908,0.000000,-0.000908,-0.072254,-0.005159,229.181,1.564349,27.349,0.803804,8,8
1,12,3,7,322,PART_CHANGE+WIDTH_CHANGE,915;919;921;923;928;930;972,10.000,1.326,1.733347,1.637172,-0.096175,-0.031726,-0.289352,-0.257626,0.046972,0.048687,0.001716,0.001716,0.000000,0.001716,-0.257626,0.096175,229.596,1.575581,27.764,0.815037,14,14
1,12,3,8,323,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,928;930;972,3.000,4.403,1.637172,1.657247,0.020075,-0.289352,-0.274520,0.014832,0.048687,0.046716,-0.001971,-0.001971,0.000000,-0.001971,0.014832,-0.020075,229.987,1.587224,28.155,0.826680,6,6
1,12,3,9,324,PART_CHANGE+WIDTH_CHANGE,930;972,1.999,4.496,1.657247,1.651193,-0.006053,-0.274520,-0.257645,0.016876,0.046716,0.046153,-0.000562,-0.000562,0.000000,-0.000562,0.016876,0.006053,230.384,1.598396,28.552,0.837851,3,4
1,12,3,10,328,PART_CHANGE,972,0.997,3.299,1.623922,1.626765,0.002843,-0.187773,-0.168479,0.019294,0.045105,0.044175,-0.000931,-0.000931,0.000000,-0.000931,0.019294,-0.002843,232.046,1.644848,30.214,0.884303,1,2
1,12,3,11,391,PART_CHANGE+WIDTH_CHANGE,972;973,2.133,20.170,1.590148,1.612320,0.022171,1.035918,1.006526,-0.029392,0.051566,0.052759,0.001194,0.001194,0.000000,0.001194,-0.029392,-0.022171,256.243,2.338597,54.411,1.578052,2,4
