run,piece,event_index,change_index,substep,reason,part_ids,contact_width_px,contact_offset_px,vx_before,vx_after,delta_vx,vy_before,vy_after,delta_vy,angular_before,angular_after,delta_angular,solver_delta_angular,correction_delta_angular,total_delta_angular,delta_vn,delta_vt,x,angle,cumulative_delta_x,cumulative_delta_angle,contact_points,support_count
1,21,1,1,240,START,1562;1563;1589;1590;1604,59.000,2.192,0.000000,-0.377907,-0.377907,11.070042,-0.273654,-11.343697,0.000000,-0.010028,-0.010028,-0.010028,0.000000,-0.010028,-11.343697,0.377907,195.000,0.000000,0.000,0.000000,10,10
1,21,1,2,241,PART_CHANGE+RESPONSE,1562;1590,59.002,2.286,0.000000,-0.352222,-0.352222,0.000000,-0.257910,-0.257910,-0.010028,-0.009384,0.000644,0.000644,0.000000,0.000644,-0.257910,0.352222,194.904,-0.002547,-0.096,-0.002547,4,4
1,21,1,3,242,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,1590,54.004,0.125,-0.352222,-0.324637,0.027585,-0.257910,-0.232965,0.024945,-0.009384,-0.009067,0.000317,0.000317,0.000000,0.000317,0.024945,-0.027585,194.815,-0.004931,-0.185,-0.004931,1,2
1,21,1,4,275,PART_CHANGE+WIDTH_CHANGE,1562;1590,59.002,2.133,0.378254,0.292619,-0.085635,0.273659,-0.055892,-0.329552,0.010043,0.001821,-0.008222,-0.008222,0.000000,-0.008222,-0.329552,0.085635,195.067,0.001581,0.067,0.001581,4,4
1,22,1,1,243,START,1616,4.000,1.032,0.000000,-0.156961,-0.156961,11.073408,-0.017685,-11.091093,0.000000,-0.015717,-0.015717,-0.015717,0.000000,-0.015717,-11.091093,0.156961,195.000,0.000000,0.000,0.000000,2,2
1,22,1,2,408,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,1616;1641,20.549,11.492,-1.173006,-1.219896,-0.046890,0.694512,0.070455,-0.624057,-0.038119,-0.036940,0.001179,0.001179,0.000000,0.001179,-0.624057,0.046890,175.734,-0.571271,-19.266,-0.571271,2,4
1,22,1,3,409,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,1641,0.548,1.752,-1.219896,-1.205313,0.014583,0.070455,0.077567,0.007112,-0.036940,-0.038091,-0.001151,-0.001151,0.000000,-0.001151,0.007112,-0.014583,175.443,-0.580105,-19.557,-0.580105,1,2
1,22,1,4,427,PART_CHANGE+WIDTH_CHANGE,1640;1641,2.101,6.330,-1.208093,-1.229727,-0.021634,0.288029,0.256312,-0.031717,-0.041809,-0.041141,0.000668,0.000668,0.000000,0.000668,-0.031717,0.021634,170.099,-0.758215,-24.901,-0.758215,2,4
1,22,1,5,428,PART_CHANGE+WIDTH_CHANGE,1639;1640;1641,3.523,5.928,-1.229727,-1.167120,0.062606,0.256312,0.239232,-0.017080,-0.041141,-0.047344,-0.006203,-0.006203,0.000000,-0.006203,-0.017080,-0.062606,169.787,-0.768666,-25.213,-0.768666,3,6
1,22,1,6,429,PART_CHANGE+WIDTH_CHANGE,1638;1639;1640;1641,4.946,5.570,-1.167120,-1.252825,-0.085705,0.239232,0.148821,-0.090411,-0.047344,-0.041070,0.006274,0.006274,0.000000,0.006274,-0.090411,0.085705,169.490,-0.780693,-25.510,-0.780693,4,8
1,22,1,7,431,PART_CHANGE+WIDTH_CHANGE,1638;1639;1640,3.546,5.452,-1.276351,-1.193695,0.082656,0.178442,0.177729,-0.000713,-0.038930,-0.046514,-0.007584,-0.007584,0.000000,-0.007584,-0.000713,-0.082656,168.848,-0.801015,-26.152,-0.801015,3,6
